[00:00:54.760] 残念。橋本の冒険派。ここで終わって
[00:00:59.160] しまった。
[00:01:45.200] オース、オース、モニターの前でマ顔で
[00:01:47.680] 待機してるの知ってるんだぞ。待ち時間
[00:01:50.560] なっ。
[00:03:05.680] ロブロクスチェア休み
[00:03:19.599] の前日だもの。
[00:03:27.720] ロブロクスチェアロブロクスチェアロブロクスチェアさすがに明日は休みよな。
[00:03:52.720] ん、下か。
[00:04:41.639] とんでもねえの額。
[00:04:43.160] 来る。
[00:04:50.840] はい、どうも。は、チャバゲームです。はい、どうもこんばんは。はい、やってきます。はい、どうも久しぶりです。だいぶだいぶ時間が空いてしまいましたけども。
[00:05:06.520] だいぶ時間が空いてしまいましたけども。どうもちゃまゲームです。はい。え、こ、こんばんは。え、ひめちゃんこんばんは。
[00:05:12.240] え、そのちゃんこんばんは。え、にこんばんは。え、りさんこんばんは。
[00:05:16.280] 話はクレオレンジだ。
[00:05:19.919] 8
[00:05:20.080] 割のお猫くん。はい、どうもこんばんは。はい、やってきます。ちなみに明日仕事です。はい、ちなちないいですか?ちな、はい。ちなはい。
[00:05:31.400] 泣いた
[00:05:32.080] ちな。明日仕事。
[00:05:34.720] あ、今日普通に12時で終わりです。
[00:05:39.160] もうなんでさ、俺おめらみてえなよ。な
[00:05:44.800] んでおめえらみてなよ。のんびさんこんばんは。うん。全くクリアしてないよ。全くクリアしてない。なんなら前回
[00:05:50.199] 2時間配信やったけど
[00:05:52.000] 2時間違う3時間配信やって進捗ドア
[00:05:55.600] 1枚だったんで。前回進捗ドア
[00:05:59.639] 1枚だったんで。
[00:06:00.720] 苗日夜勤の民
[00:06:02.319] わあ。もあ、夜勤も大変だよな。夜勤も大変だよな。わかる。
[00:06:07.080] 俺もやってたもん。夜勤やってた頃。俺も夜勤やってた頃はもうぶっちゃけ体めっちゃしんどかった。しんどいよな、夜勤って。でも稼げるんよ。でも稼げるんよ。はい。すいません。やってきますよ、今日。はい。ええ、すいません。ね。
[00:06:20.800] おおいっす。
[00:06:21.520] あの、日曜日やるこ鼻のここカサカサのこ
[00:06:25.479] 疲様です。お疲れは休んどきます。
[00:06:28.160] なんで明日休みなんか明日お前らふざけんなよ。なんでお前ら明日休みの奴らのためにこんなゲームやらなあかんねん、俺。
[00:06:37.080] こんなゲームって言ってますけども。
[00:06:39.479] こんなゲーム言うとりますけども。今日も
[00:06:41.360] やってきます。こんなゲーム。もうほんま
[00:06:43.160] 賞味明日休みで、明日休みでもやるか迷う
