[00:00:17.840] ケムっす。
[00:00:42.120] 待ち時間ゲの
[00:01:11.159] 待ってたんだよ。お前をよ。投げえわな。
[00:01:42.200] レうん。
[00:02:48.080] おずつちゃまあ
[00:03:46.599] そろぼち寝てえか。
[00:03:53.799] 残り1分服の色何色か選手権しようぜ。
[00:04:01.680] オレンジ、紫、
[00:04:06.959] ピンク、
[00:04:08.920] ピンクパーカー。
[00:04:11.640] コムったは間違いなく緑白だね。
[00:04:22.400] 盛り上がって草。ひ、
[00:04:27.000] ピンクはソピさんに譲ります。それぞれの
[00:04:30.759] ちゃまゲームがいるの草。今大急ぎで
[00:04:34.280] パーカー来てたらどうしよう。
[00:04:41.400] 当たったらご褒美ください。兄様から
[00:04:44.199] ピンク奪ったからピンクですまん。さすが
[00:04:47.320] に青行くわ。
[00:04:53.720] くくくる
[00:05:01.639] 来いな。
[00:05:04.000] やばなん
[00:05:06.440] なん今日
[00:05:08.000] 今日なんなんそのその感じ。
[00:05:10.120] 笑笑やんけ。すごでした。
[00:05:13.639] いや、もうなんかおもろいことしなきゃいけないかと思って。
[00:05:16.759] なんか裸で出てやろうと思ったけど
[00:05:19.400] 着替えてきて
[00:05:21.479] 裸で出てやろうと思ったけどさすがだね蜂ね
[00:05:25.280] 笑笑
[00:05:26.039] 青とかねえしお前俺の配信あんま知らねえだろ青いパーカーとかないからないんでどうもこんばんはどうも
[00:05:35.440] 待ちだった
[00:05:36.199] どうもちゃまゲームです
[00:05:39.400] えどうもこんばんは皆さん何今日集まりがいいじゃん
[00:05:44.039] なんで今日集まりいいじゃねえかよ
[00:05:45.880] え、こんばんは、こんばんは。さん、こんばんは。えさん、こんばんは。みーちゃんこんばんは。え、ハこんばんは。え、チズピこんばんは。え、言った?全部行った?全部行ったか?
[00:05:58.880] あ、なちゃんこんばんは。えー、お味噌なめこんばんはぐらいですかね。の金曜日。
[00:06:06.599] はい、どうもこんばんは。13
[00:06:07.800] 日の金曜日か、今日。
[00:06:09.240] どうも元気ですか?えっとですね、シャドウゲート
[00:06:14.160] 64日目ということで
[00:06:15.960] 前なので女たちが
[00:06:17.319] あ、なるほどな。チま、チマギャルズがな、チャマギャルズからな。チマギャルズから今年もたくさんもらえるといいですね。ということで確かにそうか。もうバレンタインなのか。バレンタインなんだな。お前ら分かってるよね。男、男の子からも、え、僕は、え、募集してますから。
[00:06:36.639] 魔村がステアムで90%オフの29
[00:06:40.880] 使えるから
[00:06:41.720] ちゃうねんな。じゃ、安いの魔帰ってきた。魔村持ってる
[00:06:48.280] 配信でやろうと思ってもうもう
[00:06:50.080] 3
[00:06:50.280] 年ぐらい寝かしてるね。持ってるね。俺たちでくまちゃん。どうもこんばんは。え、皆さんのくまちゃんことチまゲームです。
[00:06:56.440] あの、今日はね、
