[00:00:54.960] チまど可愛い。チまど可愛い。チまど
[00:00:57.760] 可愛い。
[00:01:02.480] きは。
[00:01:06.960] 今日はさすがに黄色。
[00:01:25.079] 白なんだよな。
[00:01:38.880] カールスミね。
[00:02:06.600] うお。
[00:02:47.120] ウインクウインクウインク
[00:03:02.000] 白に黒いんな。
[00:03:38.480] 待1時間なっ
[00:04:37.840] ສ
[00:04:44.280] え、どうもこんばんは。どうもちもゲムです。え、いくこんばんは。うんちゃんこんばんは。にナこんばんは。ペペペロンこんばんは。はい、どうも。残念。紫でした。あの、
[00:04:55.120] 外れ帰るわ。
[00:04:58.360] あのさ、に君、あの、あれですわな。あの、高々か
[00:05:01.840] 3
[00:05:02.080] 連続視長でそんななんか偉そうになんか、あの、出さないでください。
[00:05:05.919] だか連続視張記録33連続視張で出さない
[00:05:10.600] でもらっていいすか?その程度で上には上
[00:05:13.759] がいるんで。ということでどうも
[00:05:15.039] こんばんは。はい、ちゃバゲームです。
[00:05:16.919] はい、今日も今日もえーはい、ジョゼカス
[00:05:20.960] やってきます。ワンダープロジェクトJ2
[00:05:23.600] ね。ジョゼカス。今日もやってきますわ。
[00:05:25.600] よろしい
[00:05:27.160] よろしい。頼んますぜ。よろしい頼んます
[00:05:29.319] ぜ。えー、明日休みだからな。明日休みだ
[00:05:33.160] からな。今日は12時までやります。
[00:05:35.960] 明日休みなんで12
[00:05:37.120] 時までやろう。わかんない。なんかどうしようかな。ま、ちょっと長めにやってもいいかもなと思いながら。いぞさんもこんばんは。いさんこんばんは。やりますよ。
[00:05:47.160] 昼の、
[00:05:48.160] 昼のじゃないわ。昼。いや、明日は明日は明日で配信しようと思ってんだけど、明日は明日で配信しようと思ってんだけど、ちょっと明日ちょっと違うゲームやろうかなと思って。明日ちょっと違うゲームやりたいなと思って。
[00:05:59.680] ま、単発だろうけどちょっとなんか、ま、なんかあんまり、ま、ま、何やるかわかんないけど、ま、なんかちょっと別のゲームやりたい。うん。いや、もちろんあれですよ。
[00:06:09.680] ほう。
[00:06:10.599] もちろんワンダプロジェクト
[00:06:12.400] 2
[00:06:12.520] から逃げるわけではなく、ま、ちょっと違うゲームやってもいいんじゃないのかな。
[00:06:16.400] そのメモリーカードいい。
