[00:00:36.399] ひ下
[00:00:41.399] の人におしっこかけとこう。
[00:02:46.120] イ
[00:02:58.680] 。
[00:03:00.760] キ
[00:04:24.360] はい、どうもこんばんは。こんにちは。
[00:04:26.160] どうもちゃもけです。はい、どうもきます
[00:04:29.120] 。え、あらゲマさん、こんばんは。え、
[00:04:31.360] シゼロさん、こんばんは。ナッカさん、
[00:04:33.000] こんばんは。はい、どうもやってきますよ
[00:04:34.840] 。今日は、え、いつもやってるね、あの、
[00:04:37.479] なんだっけ?最近やってるワンダー
[00:04:39.960] プロジェクトJ2ってやつやってんだけど
[00:04:41.759] 、今日はちょっと土曜日なんで、ちょっと
[00:04:43.440] 違うゲームやりたいなということで、ま、
[00:04:45.360] 単発かもしれませんが、単発かもしれない
[00:04:49.560] んだが、今日はこちらやっていきます。
[00:04:52.880] グラディウス2やってきますから。こちら
[00:04:54.960] ね。こちらやっていきますよ。これMSX
[00:04:57.680] のね。MSXやで、お前らついに
[00:05:01.479] 分かる。この意味が分かるか。最強って
[00:05:04.800] ことだよ。MSXのゲームちょっとやっと
[00:05:09.080] 配信できるようになりましたということ。
[00:05:10.479] ま、ちょっと配信でも、ま、ちょっと触れ
[00:05:12.120] たけど、触れたけど、もう今日はもう
[00:05:14.960] なんかしんないけど、なんか今日ね、
[00:05:16.160] すっげえレトロゲーやりたいな。十分ね、
[00:05:18.800] 普段やってるね、こっちのワンダー
[00:05:21.080] プロジェクトJ2もまあ64なんで十分
[00:05:23.560] レトロなんですけど、もうそんなもん、
[00:05:26.039] そんなどころじゃない。そんなどころじゃ
[00:05:29.160] ない。MSXのグラディウス2ね。あの、
[00:05:33.199] グラディウス2とは違いますからね。
[00:05:36.080] グラディウス2じゃないですから。
[00:05:37.479] グラディウス2。これが結構、これがあの
[00:05:41.479] 厄介なもんで。厄介なもんで、あ、ま、
[00:05:44.680] こんなこと言ったらあんま怒られるかも
[00:05:45.880] しれないけど、やっぱりMSX世代の人は
[00:05:47.960] ね、ちょっとね、
[00:05:50.199] め倒くさい人が多い。
[00:05:52.600] めんどくさい人が多いという、あの、結構
[00:05:56.400] 、いや、これ語弊がありますけども、これ
[00:05:58.800] 間違えたらすごい怒られますから。これ
[00:06:00.880] 間違えたらすげえ怒られるんで、今日やる
[00:06:02.759] のはグラディウス2です。この分かる?
[00:06:06.039] この数字の2とこのアラビア数字、あの、
[00:06:09.080] あるやん。棒が2本立ってるドラゴン
[00:06:11.440] クエストとかにもある。あれと違うんすよ
[00:06:13.639] 、これ。グラディウス2とグラデウス2
[00:06:15.960] ってのがあって、今日やるのはグラデウス
[00:06:17.479] 2な。ちなみにグラデウス2ファミコン版
[00:06:19.560] は前に配信で耐久配信やってクリアしたん
[00:06:23.120] だよ。だけど全然内容も違うんでちょっと
[00:06:26.840] 楽しみですわな。楽しみですわ。これ何年
[00:06:29.479] 発売なんだろうか。何年発売なんだ?入っ
[00:06:32.759] てないかな?めっちゃ昔だよ、多分。これ
[00:06:35.759] めっちゃ昔なはず。入ってないね。
[00:06:39.400] 何年発売なんだろ、これ。
[00:06:44.199] 書いてない。
[00:06:46.479] あ、1987年。1987年すよ。こんな
[00:06:51.400] ん俺が普段やってるこの1996年より
[00:06:54.560] 10年ぐらい前のゲームだからな。ま、
[00:06:56.800] やってきますわ。やってきます。も今日は
[00:06:58.639] もうおっさんホいホイ。圧倒的おっさん
[00:07:02.599] ホイホいな配信なんでもうちょっと
[00:07:04.360] わコードはちょっと若いやつはちょっと
[00:07:07.840] ついてこれないかもしんない。和コードは
[00:07:10.639] ま、もう今日はいい。ちょっとやりたいん
[00:07:12.000] で。せっかくね、MSXあの実機買って
[00:07:15.400] これメンテナンスもしてもらって動かせる
[00:07:18.120] ようになったんで、それやっていきますよ
[00:07:20.199] 。今日はよろしくお願いします。ちょっと
[00:07:21.800] ね、今日ね、ま、7時ぐらいまでやろうか
[00:07:24.199] 。また多分クリアはできるかわかんない
[00:07:26.319] けど。クリアとかできんのかわかんない
[00:07:28.039] けど多分めちゃめちゃむずいだろうし。
[00:07:30.080] いや、久々に久々にあのシューティング
[00:07:33.319] やりたいなってことでやってきますわ。
[00:07:35.800] よろし頼みます。よろしい頼むわ。行き
[00:07:38.120] ますよ。やりますからね。全然もうやり
[00:07:40.400] ますよ。はい、よろしくお願いします。
[00:07:45.360] あれ、音出てなくね?あ、
[00:07:50.240] ちょっとあのこのなんかね、MSX、あの
[00:07:53.039] 、グラデスっていろんなん出てるんだけど
[00:07:54.720] 、MSXのグラデウスはね、他の
[00:07:56.680] グラデウスと違ってね、なんかあのなんて
[00:07:59.159] 言うの?あれが多いんだよね。ストーリー
[00:08:00.680] が。私は真実だけを残さなければならない
[00:08:04.120] 。特殊し真実はいかなるものよりも辛く
[00:08:06.879] 悲しい。しかしまた真実こそが新しい生命
[00:08:10.120] を作り出せるのだ。それねえ、宇宙歴
[00:08:13.599] 1600664
[00:08:15.479] 年グラデウス帝国宇宙なんとかベノムラに
[00:08:19.159] よる。うん。ちょ早いって
[00:08:21.720] 早い。ベノム博士の名はえの10名は逮捕
[00:08:25.800] されクーデターは失敗した。ちょ早い。
[00:08:28.080] 読ませる気あるか?これ読ませる気あるか
[00:08:30.560] ?1年後グラディウス帝国皇帝ラーズ17
[00:08:34.560] 名教え、ま、なんか、なんかストーリーが
[00:08:38.080] あるんすわ。なんか他のないねん、
[00:08:39.839] あんまりあのグラデウスってあんまり
[00:08:43.039] そんなストーリーを文章で語ったりしない
[00:08:44.800] んだけどMSXのはね、あるのよ。MSX
[00:08:48.560] のはね、結構こういうストーリーがある
[00:08:50.600] らしくて、ま、全然読めないんですけど、
[00:08:52.800] 侵略者は復活したベノムであった。
[00:08:55.760] 今日はなんかこの緑のなんかピッコルみたいなやつが
[00:08:57.760] おじさんが引き寄せられるゲームだ。
[00:08:59.399] うん。おじさんほいほい。今日ねマグさんこんばんは。ゲマグさんは何?これ世代か世代か?ゲマグさんはベノムは皇帝ラーズによって惑星サードへ追放された後バクテリアンの助けを借りて惑星真へ救出。え、なんじゃない。え、惑星真にベースベースを構えた。
[00:09:21.160] 俺51だよ。
[00:09:23.560] 51歳の人ってことは51歳って1986
[00:09:28.000] 年だとちょうど10歳ぐらいわかんない
[00:09:31.680] けど。え、じゃあバリバリ世代なんじゃ
[00:09:34.600] ないのでこれ?ゲーム音どうでかい?
[00:09:37.200] 小さい?なんかちっちゃいような気もする
[00:09:39.160] んだけど。ゲーム音ちょうどいいか?
[00:09:41.440] ゲーム音これでいいか?ちっちゃい。なん
[00:09:43.600] かMSXなんかゲーム音ちっちゃい
[00:09:45.600] イメージあるわ。
[00:09:48.160] あ、あ、あ、あ、あ。これでいい。
[00:09:49.920] ちょっともうこれちょっとこれあの各自
[00:09:52.079] あのあれで見てな。一時停止で見てくれ。
[00:09:55.399] 各自一時停止で見ることもう読めない。早
[00:09:58.079] すぎて。
[00:10:00.640] えーえっと
[00:10:03.200] これはもうちょっとあげっかな。
[00:10:05.360] ちょっと上げますか。ちょっと揚げで。
[00:10:08.440] 1641年生まれ。アーダコーダなんタ元
[00:10:11.279] ビッグバイパーパイロット。これが主人公
[00:10:13.079] ですかな?ジェイムスバートン。これ他の
[00:10:15.560] ゲームじゃ出てこないからな。ジェイムズ
[00:10:16.959] バートン。はい。ということで
[00:10:18.519] グラディウスにやます。ザグラディウス
[00:10:20.680] サーガーコンcontines
[00:10:22.040] withズザアルティメットコミはい、
[00:10:25.200] 始めます。よろし
[00:10:31.120] やもこれドットマジで
[00:10:35.399] BGM聞きたい。
[00:10:39.800] いいね。
[00:10:41.000] しかもこれアーケードで言い出して
[00:10:42.959] 6
[00:10:43.320] で別物の肉っていうのがもうおじさんが語りたくなる。
[00:10:46.800] そうやね。そうやね。あのグラディウス2
[00:10:48.440] と違うんだな。グラディウス
[00:10:50.000] 2なんですよ。グラディウス2。
[00:10:53.279] ただ、えー、俺めちゃめちゃグラデウス色々やってるけど色々やってるけどめっちゃ下手くそなんで。ま、温かい目で全然パワーアップ取れねえし。いや、久々にやるな。
[00:11:06.800] スg
[00:11:09.040] めちゃめちゃ良くないか?BGMめっちゃ
[00:11:11.200] かっこくない?BGM
[00:11:13.519] まあダブルやろ。取りな。
[00:11:17.240] このMSXのこのガクガクスクロール目が
[00:11:20.000] みんな疲れるかもしんねえけど。
[00:11:23.480] おプランさんこんばんは。プラこんばんは
[00:11:24.880] 。待ってましたよ。ありがとうございます
[00:11:26.279] 。ありがございます。相変わらず相変わら
[00:11:30.200] ず始まってから待ってた。
[00:11:32.040] ああ、待ってたという割にはバばバばバばバ曲がめっちゃかっこいいのよ。曲がめっちゃかっこいいんだよ。
[00:11:43.920] 曲聞かせてあげたいのに。
[00:11:45.920] 曲聞かせてあげたいのに。ル、これ音大丈夫?もっとあげる。ゲモンちっちゃい。ちっちゃい気がすんだよ。
