[00:00:36.520] ブー
[00:00:40.160] 下の人におしっこかけとこう。
[00:01:05.720] チまどベリーベリークテファ
[00:01:07.320] ね。
[00:03:53.400] 今日も何色の服予想やる?
[00:04:00.239] 紫。
[00:04:08.319] 今日は白黒のニット緑黒
[00:04:18.040] マイクラの時のパーカー虹色私オレンジに
[00:04:21.880] しよっかな。
[00:04:39.759] 全裸折もある。黄緑だな。
[00:04:47.479] 来い。
[00:04:54.120] おはようございます。
[00:04:56.680] 草。
[00:04:56.960] どうもチャゲブです。はい、やってます。
[00:05:00.520] スプラッターハウス希望。
[00:05:02.039] はい。やってます。どうもこんばんは。うんちゃんこんばんは。
[00:05:05.400] えさん、こんばんは。え、お、こんばんは。ピ、こんばんは。え、なはちゃんはそのちゃんこんばんは。え、ですかね?ですかね?ですかね?はい、ということでやっていきますかね。やっていきますかね。はい、やっていきます。よろしくお願いします。え、今日のパーカーは黒でした。すいません。え、スプラットハウスでもな何でもない。ただの黒のパーカーでございます。うわあ、レードだ。
[00:05:33.840] 絶対ゲーム。
[00:05:36.639] タお疲れちゃんつお疲れたつもお疲れはいレダすから
[00:05:43.240] よたんお疲れちゃん
[00:05:44.400] ナイスレイド
[00:05:45.520] もたもたりけさんどうもこんばんはどうもこんばんはやっていきますよろしくはいえendo
[00:05:55.000] 64のね64
[00:05:57.039] のワンダープロジェクトアーダコーダをえしくと進めていき
[00:06:05.400] ちゃん配信お疲れ。あの、もう前回も言ったけど、もう攻略サイト見るね。あの、詰まったら見るようにしよう。詰まったら、あ、詰まるまではとりあえずやるだけあって
[00:06:17.240] たっつん25さんのレドからこんばんは。
[00:06:20.280] あの、いぞさんどうも。いぞさん、どうもこんばんは。あの、もうちょっともう攻略さ見ていいか?なんかじゃあもうなんか次のゲーム行きたいなっていう気になってきちゃった。いや、ちゃうのよね。
[00:06:32.599] 別にこのゲームが嫌とかそういうことじゃ
[00:06:34.240] ない。いや、いいゲームだし。
[00:06:35.560] エンディング見たいからね。途中で投げる
[00:06:38.319] ことをせず、あの、
[00:06:42.440] せめてエンディングは見ようじゃないか。
[00:06:43.840] ということでよろしくお願いします。はい
[00:06:45.800] 。
[00:06:49.120] やってくぜ。やくぜ。
[00:06:54.120] よろしい。
[00:06:56.240] もうちょ、ちょ、しかもか1週間ぶりとか
[00:06:59.240] でなんかも全
[00:07:00.800] 覚えてないんですけど。
[00:07:02.000] お菓子なし。何が何?お菓子なしって。何?お菓子なしって。まげさんのことなんか嫌いは?俺がこれ攻略サイト見ようとしてるから。そんなこと言うねん。そんなこと言うねん。あら、ごめんなさい。
[00:07:14.800] ああ、
[00:07:17.879] なんかこいつ今日ちょっとあんまり機嫌良くないかも。俺と一緒。俺と一緒かも。えー、もうね、正味ね、あの、正味何していいか全然覚えてないわ。
[00:07:31.840] いつ結構無理だよな、これやんの
[00:07:34.800] 1
[00:07:35.000] 週間ぶりとかなんだけど、なんかこのね、なんかこの機械の女の子を育てるというゲームです。えー、もうちょっとどこ?
[00:07:46.120] プリンげないと
[00:07:48.159] プリンな。プリンあげるとあれなんだよな。いいことあんだよな。いいことっていうか、こいつの機嫌が治る。
[00:07:56.080] 皆さんも是非ね、あの、この子にプリンあげる容量で俺にビッチをあげてもらえればなと思います。ちょっともうなんだか全然覚えてねえよ。あれ、ここお店入れるんだっけ?
[00:08:08.560] 喜ぶコアゴ1人でいい
[00:08:11.280] 喜ぶ。ま、ちょっとうん。多ければ多いほど
[00:08:14.039] 1ビ、1ビッツでもいいけどね。1
[00:08:16.199] ビツも嬉しいけどね。
