[00:01:26.840] エた。
[00:01:46.320] ポプネも橋本君出てこい。
[00:02:01.719] ポプネモ橋本君かかってこい。
[00:02:18.160] コプネも踊りや橋こと
[00:02:53.959] おバンドスポプネも責任から逃げるな。
[00:03:05.959] 橋本
[00:03:29.640] ちゃまさん待ってましたよ。
[00:03:34.640] こんばんは。みごちゃまさん、お元気です
[00:03:37.599] か?
[00:03:55.000] クエ
[00:03:56.599] クえ。
[00:04:34.520] クN空
[00:04:48.680] 橋本君ない。ビグサッド。
[00:04:55.960] はい、どうもこんばんは。はい、ちゃムゲムです。あ、いるよ。いるいる。うるせえな。いるよ。はい。ペったりお疲れ。
[00:05:01.303] [笑い]
[00:05:03.080] BOお疲れ。
[00:05:04.000] え、のんびルさんお疲れ。え、プナさんお疲れ。え、トりトお疲れ。はい、どうもこんばんは。チャムのゲームです。本君いた
[00:05:10.720] やりますよな。うるせえな。どうもどうもチバゲームです。今日も今日も今夜もやらせていただきます。
[00:05:13.093] [笑い]
[00:05:19.880] 今日橋本
[00:05:20.639] ドラグにいる。こめちゃんこんばんは。橋本君いるから橋本君どうもこんばんは。
[00:05:26.680] 今日もやらせてください。ドラグニティークエストセブリイマジンやっていくから。
[00:05:33.840] だなって思った時にやってくれてた。
[00:05:35.363] [笑い]
[00:05:36.240] いい時間。いい時間からだろ。いい時間から。
[00:05:38.400] 早く早く早やります。やりうるせえ。やるよ。
[00:05:41.280] 早く早く
[00:05:42.160] やるやるやるやりましょうね。
[00:05:43.680] さっき見た気がするけどもう
[00:05:45.880] 1日経の
[00:05:46.919] もうそうやそうやで。そうやで。昨日の昨日何時ぐらいまでやってたから
[00:05:50.360] 2
[00:05:50.479] 時ぐらいまでやって今日はちょっと午前中あの午前中か午後ちょっとあの知り合と遊びって。知り合いと遊びって。はい。
[00:05:58.600] 早くやりますか。ドラクエじゃもう今日は
[00:06:00.520] 前回までのチャマゲームズは
[00:06:02.280] 前回までのチマゲームズちょっとやってくれよ。それ誰かあのあのな海外ドラマみたいにプリズンブレイクみたいに前回までのプリズブレイクはおデートじゃねえよ。会社の人となんでか知んねえけどなんでか知んねえけど会社の人と会社で喫煙所でいつもあの話してる人となんか知らねえけど温泉行ってきた。
[00:06:24.000] 温泉というか戦闘だけど風呂入って風呂入って飯食ってきたわ。
[00:06:26.454] [笑い]
[00:06:29.520] おお。私はあのゲームのビジュアル美学が
[00:06:32.360] ビジュアル美学。ああ、このね、これのね、これドールのね、橋本は集金配信で荒稼ぎしゲームを買おうとしていたのだった。今日も稼
[00:06:40.209] [笑い]
[00:06:45.000] 今日も稼ぐでこっちを
[00:06:48.160] マリベルが可愛すぎたな。前回もう今日も楽しみすぎる。
[00:06:51.000] もうマリベルでもうマリベルでもう最高マリベルでいい。マリベルがいいね。あの本当集金配信あの前回ね皆さんねあの集金させていただきましてあのあ、本当ありがとうございました。本当に
[00:07:03.789] [笑い]
[00:07:03.879] ピトネイけ
[00:07:05.199] あのちゃうねん。あの僕の皆さん僕のこのあのみんなど見てかわかんないけど俺のプロフィール欄ご覧ください。あのきっちりドネルのリンク作りましたから。
[00:07:15.680] キーが顎の話題しか記憶にないや。のブの先発ご頼むよ。き、きっちりきっちり。もう金の匂いがしたから。もう金の匂いがしたから。もう番上
[00:07:16.234] [笑い]
[00:07:26.639] 1
[00:07:26.840] 番上にもうドネルの
[00:07:28.879] 1
[00:07:29.039] 番上になってる。しかもわかんない。俺そこまでは見てない。適当にやっただけだから。いやもこれ金になるかなと思って。
[00:07:32.610] [鼻息]
[00:07:35.230] [笑い]
[00:07:36.199] なので皆さんこれからビッツ投げたい方はね、そちらで投げてくれると僕もね、あの皆さんも安く投げれるし僕もね、いっぱいお金もらえるしということで
[00:07:47.020] [笑い]
[00:07:47.319] マリベル
[00:07:48.080] はい、やってきます。
[00:07:48.800] 名前を聞くと小学校時代の初恋いの人を少し思い出す。
[00:07:53.639] でも彼女の名前はマリアのニありがでしょ。リスナー思いなんですよ。そう。勘違しないで欲しい。
[00:08:02.599] 俺がドネルのリンクを作ったのはもう違う違う俺違うみんなのためかわいそうじゃん。ビ
[00:08:13.000] からね、ビッツ高いから高いからビッツはもらお疲れちゃん。もぐらお疲れやってきますよ。朝ましくドネルのリンクを作りました。僕のあの俺のあのこのチャンネルの概要欄に
[00:08:25.520] みんなのための制作です。
[00:08:26.919] そうだよ。みんなが俺にビッツ投げてね。
[00:08:28.960] 100ビ投げるとするじゃん。100
[00:08:30.879] ビット投げたら今360
[00:08:32.200] 円ですよ。高すぎると。高すぎる。
[00:08:35.279] 最近対策にもな。
[00:08:36.640] 高すぎる。これもう
[00:08:38.159] CM
[00:08:38.440] やった方がいいわな。昔のあの米根倉り子の米根倉り子ネ倉り子って逮捕されたの?
[00:08:44.600] 米根ネ倉り子って逮捕されたの?あれマジなんかぬるっと逮捕されたよね。米ネ倉り子行こ逮捕されたんだか。なんかタまで
[00:08:52.720] されてないやろ。
[00:08:53.640] あ、されてないか。ごめん。あれ米ネ倉くらりじゃなかったっけ?なんか
[00:08:56.399] えされたよねえ。されたよね。え、されてなかったっけ?ま、ま、いい。ま、どうでもいいけど。
[00:09:00.440] まあ、どうでもいいけどね。高すぎる。
[00:09:03.000] はい、やってきます。今日もドラゴン
[00:09:05.600] クエスト2じゃない。なんかあ、だ、こう
[00:09:07.920] だ。イマジンだ。もうやっていい?もう
[00:09:10.240] やっていい?[鼻息]
[00:09:11.760] 今日あの会社の人とあの
[00:09:16.880] 全然会社の人とさあ[鼻息]
[00:09:20.040] 会社以外でなんか遊び行くとか
[00:09:23.720] あそう。そうなんだ。
[00:09:25.560] あの、初めて言ったんだけどさ、
[00:09:26.839] 高すぎゆ足でぶっぶっ茶まベリーベリークテファせ足でぶっふっくりグと
