[00:00:15.960] こんぽ
[00:00:37.990] [音楽]
[00:00:48.879] ひ
[00:01:51.399] ウェイお疲れ。
[00:02:06.119] ポコポケに浮気すんのかと思ったぜ。
[00:02:21.040] お疲れん。浮気は裏でするもの。
[00:02:48.640] こんちゃ。
[00:03:00.680] やり漫画な。
[00:03:38.280] いもこなるほど確か
[00:03:40.040] に
[00:04:29.208] [音楽]
[00:04:52.759] どうもこんばんは。ジャマゲームです。どうもすいません。お久しぶりです。あの、なんで俺がポコアポケモン買ったことバレてんの?
[00:05:00.648] [笑い]
[00:05:01.720] え、なんでバレてんの?怖いんだけど。なんで知ってんの?どうもこんばんは。え、いもこんばんは。あらげさんこんばんは。
[00:05:08.639] りさん、こんばんは。シドロさん、こんばんは。うむに、こんばんは。あた、こんばんは。
[00:05:13.160] え、プランさん、こんばんは。どうもこんばんは。ちゃです。やってると通知来る。やめてくれる?
[00:05:19.520] あ、そうか。フレンドか。あ、ちょっと待って。え、フレンドになっ、え、みんな俺のフレンドになってんだっけ?あ、なってるわ。嘘やん。俺が裏でポコアポケモンやってたのバレたんだけど。
[00:05:26.848] [笑い]
[00:05:32.240] 笑笑。フレンドなろうぜ。
[00:05:34.319] 昨日のさ、え、いいよ。全然いいよ。全然いいけど。
[00:05:36.880] あ、昨日
[00:05:37.840] やってるよね。
[00:05:38.520] 昨日。うん。昨日ってちょっと用事あって出かけてた。昨日の帰りに昨日の帰りにちょっと暇でゲーム屋さんに夜中寄ったら売ってて前も買いに行ったんだよ。買いに行って買いに行ったら売り切れで買えなくて
[00:05:53.400] フレンドになりたいです。
[00:05:55.039] いいよ、全然。全然いいよ。いい、全然いい。俺のフレンドコード貼ろか。じゃあどうやってんねん?俺のフレンドコードちょっとわかんないんだけど。えー、ちょっと待って。フレンドコード。フレンドコード。
[00:06:06.149] [笑い]
[00:06:06.560] めんどくさい、めんどくさい。えっとね、み
[00:06:08.560] ちゃんがちゃまくんポコポケやるかもって報告来たんよ。
[00:06:13.639] 嫁めちゃん。嫁めちゃんが見てくれ。ごめん。裏でやっちゃった。あのね。いや、迷ったのめっちゃ
[00:06:16.629] [笑い]
[00:06:18.759] パッケージ欲しいタイプだもんね。
[00:06:20.479] そう。買っといて。買っといて。えっと、ちょっと待ってね。あの配信でやろうかなと思ったんだけど、なんかもう夜中帰ってきてちょっとやろうかなと思ってちょっとやったらおもろくて、夜中の
[00:06:31.360] 4時までやってた。夜中の[笑い]
[00:06:34.120] 4時まで昨日やってたわ。おもろくて。
[00:06:35.624] [音楽]
[00:06:36.240] 久々に夜中の
[00:06:37.880] 4時までやっちゃった。
[00:06:39.160] いや、なんかね、迷った。配信でやるか迷ったんだよね。いや、でもドラクエやってるしなと思って。
[00:06:44.919] 笑。
[00:06:45.440] で、ドラクエやった後にやろうとしてももうさ、ずっと最新ゲームやってんじゃん、最近。次は、
[00:06:51.599] 次はレトロゲームやりたいなと思ってたから。いや、もうポコポケモンはでもいっかと思ってみんなやってるし。ちょっと配信裏でたまには裏で最新ゲームやろうと思ってボコボケはごめん。ちょっと裏でやるわ。裏でやる。ちょっと気が狂るったらやるかもしんないけどね。
[00:07:04.080] 俺の俺の、え、俺の、え、フレンドコード
[00:07:08.599] SW
[00:07:10.440] 1970
[00:07:12.440] 7428707
[00:07:15.319] です。
[00:07:18.120] 分かった?今ので分かった。1970
[00:07:24.919] 19707442
[00:07:32.160] 87070-
[00:07:35.879] 7442-
[00:07:38.120] 8707
[00:07:39.400] これしょうがねえからなってやるよ。しょうがねえから。なんだよこれ。別にも言わる。誰にも言わないとこうと思ったらバレてんじゃん。そっか。
[00:07:48.840] もうフレンドになってたか。フレンドになってたか。ポカポケモンおもろいね。ポカポケモンおもろい。めちゃくちゃめちゃくちゃおもろいの巻きです。
[00:07:55.535] [笑い]
[00:08:00.840] はい。はい。後であれしとくね。あれ後であれしとくわ。おもろいっすわ、普通に。めっちゃめっちゃおもろい。ちょっと待って。やりますか。じゃあやりますかな。あ、本当だ。フレンド届いてる。あ、ごめん。あ、やべ。人、人のミスちゃった。やべ、やばい、やばい。よし、やりますか。
[00:08:16.879] はポケモンか結局ここでバレたのか結局ここでバレたのかドラゴンクエストもやりますよ全然あの浮気するつもりは全くないです。全然やりたかったんで全然やりたかったので
[00:08:19.770] [笑い]
[00:08:22.390] [鼻息]
[00:08:28.319] ポコアポケモンコアライオンやってきます。よろしくよろしくやりまんかな。ドラクエ今日
[00:08:35.120] 1時までやろう。1時までやろ。5
[00:08:36.880] 時間やろ。今日ガつりガりやるぜ。
[00:08:40.360] ライオン
[00:08:40.839] ここはライオン救えよ。でもやっぱり俺はドラクエだよ。
[00:08:49.640] バカたけドなボコポケモン9000円
[00:08:52.080] ぐらいしたわ。9000円ぐらいした。高
[00:08:56.000] すぎるやろ。
[00:09:00.160] 久々にマリベルお拝見てえからちょっと
[00:09:01.691] [音楽]、え、オープニング見べ。
[00:09:03.600] オープニング見よ。変な汗かいちゃったよ
[00:09:06.600] 。お前[音楽]待機中にバレてるから
[00:09:08.896] [笑い]
[00:09:09.959] バレてると思わなくて。ミやの[音楽]守
[00:09:11.920] です。どうも
[00:09:14.680] ブンバンバンバンバンバンバンバンバンバボコア
[00:09:17.411] [音楽]
[00:09:31.720] が面白れ
[00:09:35.000] ポコポケラルラルラん
[00:09:41.000] よしやろううんこちゃんの真似助かる。
[00:09:43.720] 懐かしい。うんこちゃんの全盛期のうんこちゃんね。ポカ予約だと安かったのに発売
[00:09:46.886] [笑い]
[00:09:48.851] [鼻息]
[00:09:50.920] 値上がりした。もっと安かったよね。最初ね
[00:09:53.240] 8000円ぐらいだったよな。もう
[00:09:54.560] 9000
[00:09:54.959] したで。普通に新品しか売ってなくて新品しか売ってなかったわ。
[00:09:59.920] 中古でいいやと思ったんだけどもう発売して
[00:10:02.079] 23
[00:10:02.320] 週間経ってるよね。古で売っかなと思ったらさ、全然売ってく。家帰ったね。
