[00:00:15.719] ポコっす。
[00:00:51.160] おっちゃま。
[00:01:04.320] え
[00:03:50.319] 今日のパーカーは何でしょうか。
[00:03:57.280] ちゃまさん待ってましたよ。
[00:04:01.879] 紫
[00:04:11.280] 黒
[00:04:18.160] 白な。
[00:04:27.240] やりますがな。
[00:04:50.080] はい。
[00:04:50.360] どうもこどうもこんばんは。はい、どうも。ちけです。
[00:04:53.639] は、オレンジ。
[00:04:55.320] はい、どうもこんばんは。
[00:04:57.680] え、いもくこんばんは。え、おくこんばんは。え、囚人さんロブってる。ありがとうございます。え、芋もこ
[00:05:03.680] 45
[00:05:04.160] 連続視聴あざす。え、チびこんばんは。え、プランさんこんばんは。え、彩たこんばんは。ということでどうもこんばんは。ちゃムけです。暑いね。もうパーカーも暑くなってきたな。あったかくなってきた季節ですわな。
[00:05:17.560] え、今日も、え、やっていきますよと。
[00:05:20.919] 夏
[00:05:21.639] やっていきます。もう夏だよな。もう夏だよな。はい、やっていきます。こちらもね、ドラゴンクエストセブリマジンズはい、やっていきましょうかね。ええ、ええ。
[00:05:34.240] いや、なんか今日今週末さ、今週末グータ
[00:05:38.560] ラジオやるよって言って言ってさ、なんか
[00:05:42.240] こう告知とかバやったけどやっぱ近づいて
[00:05:45.960] くるについてなんかもうだるなってくるな
[00:05:48.440] 。
[00:05:51.680] なんかこうあれだよね。人と遊ぶ時とか
[00:05:53.639] もそうだけど近づいてくるとちょっとずつ
[00:05:55.400] だるくなってくるよな。ぐる予定と一緒だ
[00:05:58.360] な。やっぱやめないでやべやめ。やっぱ
[00:06:01.919] なんかい、なんか別にあんなんええやろ。
[00:06:07.199] やっぱやめなんかなんか最初はあ、ま、
[00:06:10.800] 久しぶり久しぶりにやんのもありかもなと
[00:06:14.240] 思ったけど近づく行ってくるにつれて、え
[00:06:16.520] 、やっぱやんない方がいいんじゃないか
[00:06:17.800] なっていう。
[00:06:20.400] ま、冗談ですけどもね。あ、ま、半分冗談
[00:06:22.520] 。いや、ま、冗談じゃないんだけど。やり
[00:06:24.319] ますけども。やりますけども、より一層、
[00:06:27.919] あの、期待しないでください。本当に。
[00:06:30.880] はい。
[00:06:31.080] やってきます。じゃあ、ドラゴンクエストやってきますよ。やってきますよ。よろしくお願いします。頼ま。あ、間違えた。頼まやってきます。ポコポケ
[00:06:44.360] ポコア。ポケモンやりたい気持ちをグっと抑え。
[00:06:47.680] お便りはね、ま、じゃ、ちょくちょく来てる。こんばんは。
[00:06:50.720] ちょく来てる。クテファせ。どうもこんばんはです。どうも。チまゲームくちゃまくテファせ。はい。なんだっけ?クテファセって何だっけ?ベリーベリークテファせ。はい。
[00:07:02.440] ランディ、お疲れ。ランディお疲れ。やっていくぞ。もう俺はちょっと週末のグータラジオが憂鬱もう上の空かもしれんがな。やっていきたいと思います。よろしく。はい。ほう。ほう。あ、なんか砂漠のなんか。え、何これ?おい、おい、おい。いきなりやるじゃねえか。
[00:07:30.160] 何それ?
[00:07:31.759] グーたらしよう。
[00:07:33.039] グーたらしよう。何これ?あ、マシュマロね。あ、マシュマロね。よかったら投げてくださいね。よかったら投げてください
[00:07:42.440] ねえ。
[00:07:44.639] でも結構あの結構ね、わしのしていることが気になるか?別に。嘘だよ。気になるよ。わな、釣りをしておる。
[00:07:58.759] この砂に糸を垂らしてな、何も釣ろうとは
[00:08:03.520] 思わん。これまでもこれからもな。それで
[00:08:08.879] もわしは釣りをしておる。砂に糸を垂らし
[00:08:13.159] てな。私はお思うね。ふむ。そうなん。
[00:08:17.479] なんななんこいつ。だるいな。何思わない
[00:08:21.120] 愚かじゃない。何なんだよ。
[00:08:25.080] 特に何もなし。
[00:08:27.759] え、グランエスターに行け、バンズ王に
[00:08:30.039] 有効のなんとかを渡してください。という
[00:08:32.000] ことで
[00:08:34.159] 結構ね、あの週末のグータラジオのあのお
