[00:00:15.360] ひひひちゃまうすんの
[00:00:32.239] うい。お疲れ。
[00:00:35.680] レン来た。今日ハウスピンクや。コアゴ
[00:00:40.320] 1。コアゴ1。
[00:00:49.239] 今日は紫。
[00:01:02.960] あえて今日はパーカーを着ていないと見た。さすがに気合い入ってそうだから傾向デブでえ、オレンジです。今日も黒だよ。
[00:03:27.637] [音楽]
[00:04:04.400] 実はここでコメラン見て一生懸命着替えて
[00:04:07.439] たらおもろいな
[00:04:10.519] ね。
[00:04:20.160] 男は絶対当たらないのってもしかして
[00:04:25.080] 笑笑
[00:04:29.199] あまあ
[00:04:33.138] [音楽]
[00:04:39.520] 女にいい顔しておく方が丸いかさすがに
[00:04:42.720] それだったら叩くよピ
[00:04:51.240] ああ。ああ。どうもこんばんは。も大人になったな。
[00:04:53.443] [笑い]
[00:04:55.919] あ、どうもこんばんは。
[00:04:57.840] よっしゃ、やるか。どうもこんばんは。やってきます。邪魔ゲームです。り
[00:05:03.240] ふ。今日は黒でした。どうもいつも
[00:05:07.800] れてるよ。
[00:05:08.479] いやあ、今日は黒でした。危ねえ。
[00:05:10.800] 忖度
[00:05:11.600] 危ない危ない危ない。いや、いや、何かあった。
[00:05:13.880] おめでとうございますね。8おめでとう。
[00:05:15.880] さすがだわ。さすが。分かってるわ。チマ
[00:05:18.520] ゲームをね。今日も黒だよと。もうさすが
[00:05:22.360] ですわ。さすがですわ。なんかそれ当たっ
[00:05:25.800] たらなんかとかあったら面白いですよね。
[00:05:29.759] 笑笑言うだけ。当たったらなんかあったら
[00:05:32.680] いいよね。俺もコメントしん
[00:05:36.919] 募集しようかな。なんかなんか募集しよう
[00:05:39.039] かな。なんか当たったらなんかみたいな。
[00:05:41.000] いや、いや、うん、やっぱめんどくさいからやめようか。
[00:05:43.223] [笑い]
[00:05:43.280] さん待ってくそ。当たった。おめでとうだけ。おめでとう。おめでとう。おめで。おめで。おめでとう。
[00:05:49.880] 1日も残り20
[00:05:50.919] 個しかないし。なんか微妙だよね。
[00:05:53.600] 1番最初に名前呼ぶくらいだ。
[00:05:55.639] 1
[00:05:55.720] 番最初に名前呼ぶくらいだな。はい。ということで、え、いもこんばんは。え、もこらこんばんは。え、うんちゃんこんばんは。え、彩たこんばんは。リビーさんこんばんは。ええ、もこらこんばんは。言った。えちこんばんは。
[00:06:10.440] え、チズび、こんばんは。え、え、え、もこらこんばんはって言った。え、プランさんこんばんは。え、しジさんこんばんは。ということではい、どうもこんばんは。はい、ありがとうございます。こんばんは。趣旨会してないし、もこら多いし。
[00:06:30.520] こんばんは。こんばんは。こんばんは。今日は金曜日ということでいいですな。
[00:06:35.919] すでにいない。
[00:06:37.720] いいですな。やってきますわ。
[00:06:39.280] やってきますわ。ええやん。ええやん。ということで今日も
[00:06:42.840] 嬉しい金曜日、
[00:06:43.599] え、やっていきますよ。今日は嬉しい金曜日。ドラゴンクエストの日ですね。
[00:06:48.360] ドラゴンクエストの日でござさん。ええよん。ええよん。やってきます。ドラゴンクエストセブ
[00:06:53.800] Bイマジンズなんか
[00:06:56.000] ええやん。ええやん。半分キラキラ
[00:06:58.720] 半今半分半分ぐらいすかね。結構戦立結構戦立俺まだ半分か。
[00:07:01.824] [笑い]
[00:07:07.360] やっとなんか仲間が揃ったとこらしいんだが。てか明日、明日グータラジオなんやが何にも何も用意してない。
[00:07:15.000] 2さんが5
[00:07:15.680] ドルでサブスクを送りました。わあずわ。
[00:07:21.960] プラン182ドルでサブス。え、5ド55
[00:07:27.319] わ5なんで
[00:07:29.960] プラン182さんが5ドルを送りました。
[00:07:33.759] なんで
[00:07:34.120] 本日のノ達成な
[00:07:35.720] なんで[笑い]
[00:07:38.000] プライ18
[00:07:39.120] じゃあもう配信切ろうかな
[00:07:41.759] 配信切ろうかな今日今日の
[00:07:44.560] 今日のもうあのあれ終わったんで
[00:07:48.120] あもうじゃ今日は終
[00:07:50.080] つのサブスクギフトが急げ時間できれでもう
[00:07:59.465] [拍手]
[00:08:01.360] 1回そうなの
[00:08:03.479] パチパチパチパチ。どういうこと?なの?
[00:08:06.319] 電車や。
[00:08:08.400] え、5個以上のサブ服ギフトが35%
[00:08:11.280] オフ。みんな急げよ。今だよ。今今だよ。今
[00:08:16.800] 100ビ
[00:08:18.520] 100ビあざす。100
[00:08:20.039] ビあ。そうなんだ。ありがとうございます。あざす。今日も稼いだぜ。今日も稼いだて。でもさ、聞いて。先月聞いてほしい。
[00:08:30.159] 先月俺、先月俺あの
[00:08:34.640] Twitch
[00:08:35.000] の収益加減行ってなくて振り込まれなかった。嘘。俺ももうそんなとこまで来ちゃったんか。
[00:08:38.110] [笑い]
[00:08:42.839] 笑笑。
[00:08:43.320] 俺ももうそんなとこまで来ちゃったんだなと思いましたと。
[00:08:48.120] ダブル
[00:08:49.120] ね。こんなこといつぶりだよ、マジで。
[00:08:52.080] 電車。
[00:08:53.040] はい。乞食です。です。[拍手]
[00:08:57.640] もう、もう、もうチマゲームってそこまで、チマゲームってもうそこまで来てんねんで。いや、もうなんかいい、いいですけどね。いいんだけど。ちょっとみんな言っとくわ。言っとくわ。お前ら俺が乞食、乞食言うけどもらってないから。全然影っから。月
[00:09:03.001] [笑い]
[00:09:18.066] [笑い]50、50ドルだっけかなんかあ
[00:09:20.880] んだよな。ルールが。あの、Twitch
[00:09:23.000] の収益ってあんのよ。その最低ライン
[00:09:26.320] まり出すしかないですね。ま、出しかない投
