[00:00:41.039] あらっす。
[00:00:42.440] うい。お疲れ。
[00:01:00.160] 今日ハウスピく
[00:01:30.600] 。
[00:01:34.759] オレンジやな。
[00:03:41.760] エた。
[00:04:42.199] はい、どうもこんにちは。どうもちゃまけ
[00:04:44.280] です。はい、ということでやっていきます
[00:04:47.919] よ。今日もいもこんばんは。もこら
[00:04:50.039] こんばんは。え、綾こんばんは。え、
[00:04:52.639] ペットリこんばんは。ということでどうも
[00:04:54.919] ちゃまゲームです。すいません。今日は
[00:04:56.400] パーカーござらんということで
[00:04:59.960] たまにはなちょっとみんなの意識以外から
[00:05:02.280] の攻撃はパーカーではありません。はい。
[00:05:06.080] ということで、えー、もうは
[00:05:08.720] やきますよ。やっていきますよ。今日も
[00:05:11.440] 今日もやっていきますから。はい。あの
[00:05:13.919] ドラゴンクエストね、今日もやっていき
[00:05:15.479] ます。もうなんて今日は
[00:05:18.759] 、え、12時からあのラジオがありますの
[00:05:22.600] で、なんかラジオがありますのでっていう
[00:05:24.960] のもなんかちょっとはずいんだけど
[00:05:27.840] じんちゃんとのあれがありますので、ま、
[00:05:30.319] やっても6時か7時ぐらいまでかな。
[00:05:32.960] ちょっとあんまりちょっと夜ちょっとね、
[00:05:34.440] あの、何の準備もしてないのよ。だから
[00:05:37.960] ちょっと早めに終わってちょっと色々準備
[00:05:39.960] せなあかんので色々準備せなあかんので
[00:05:42.880] ちょっと早めに終わりますわちごめんすい
[00:05:44.440] ませんね。ま、とちゅうことでサクっと
[00:05:45.919] やっていきましょう。もう時間も持たない
[00:05:46.840] んでねやってきますよ。ドラグニティ
[00:05:48.919] アーダコーダよろしく。
[00:05:51.800] はい。やっていきますと。このクソ似て
[00:05:54.120] ないミーね。
[00:05:56.479] 誰か俺にそっくりなミ作ってくれよ。
[00:06:00.080] やっていくぞと。
[00:06:03.280] もう今日キュスクエアーエニックス
[00:06:05.759] プレゼンツ。もうちょっとごめん。やる。
[00:06:09.039] 9パート目やからな。言っとくけど。いつ
[00:06:12.039] になったら終わるんですか?ま、いいんだ
[00:06:13.720] けど。終わんなくても別に別に終わんなく
[00:06:15.120] てもいいんだけど。長長長いなこれ。
[00:06:18.440] あらす人長。メインストーリー
[00:06:20.759] サブストーリー。あ、サブストーリーも
[00:06:23.120] なんかあんねん。どんだけやるねん。
[00:06:25.680] ほんまやで。
[00:06:28.479] はい。よろし頼。なんかあのあれだったね
[00:06:31.800] 。女の子が女の子があだこうだな。うん。
[00:06:36.520] この子があまりにも成人すぎて辛かったと
[00:06:38.960] いうね。で、現代に戻りましょうってとこ
[00:06:41.039] です。たな。現代に戻りましょうってとこ
[00:06:44.319] ですわ。
[00:06:47.560] 戻ろう。
[00:06:49.759] いや、前回はね、あのマリベルがね、
[00:06:53.000] 抜けるだ、抜けないだのなんか一悶着あり
[00:06:56.080] まして良かったね。マリメルいなくなっ
[00:06:59.360] たらも正味賞味もうほんまきついで。
[00:07:05.400] 他の仲間キャラがマリ
[00:07:09.800] 抜けるだろ。抜けないだろうな。マリベルが抜けるだろ抜けないだろ。抜けて欲しくないけど。ていうことですね。抜けて欲しくないけど抜け抜けてほしい。ぬ。はい。はい。主人さんこんばんは。こんにちは。やりますぜ。今日もおーい。
[00:07:32.360] これドラゴン呼びあれやんな。
[00:07:34.319] 当たり枠はグレートドラゴンなんだな。グレートドラゴンじゃない。なんだっけあれ?ギガントドラゴンなんだな。
[00:07:42.800] 職業もいい感じにマスターしてきてますからね。
[00:07:45.360] あ、来週すごいイベントに参加する。
