[00:00:01.280] つけましたよ、もう。
[00:00:04.279] あ、もうこれ乗ってる感じですか?
[00:00:05.520] 乗ってますわ。
[00:00:06.919] あ、はい。勘弁してくれよ。マジで
[00:00:14.440] 猫は履いたん?
[00:00:15.639] 信じらんねえよ。
[00:00:19.000] 入た。
[00:00:19.320] はい、どうも皆さんこんばんは。
[00:00:21.359] まだま、これ待機画面なんだけど、
[00:00:24.119] ま、待機画面、あの、待機画面なんだけど、ちょ、ま、聞いてくださいよ。
[00:00:29.759] 今日ね、12時から配信つけるってか、
[00:00:32.160] 12
[00:00:32.399] 時から開始つったじゃん。あのさ、まずこの
[00:00:38.520] 5分待機画面があるから
[00:00:40.440] 55
[00:00:40.879] 分につけようって言ったのよ。聞いてんのか?
[00:00:46.039] ああ、俺か。はい。
[00:00:48.000] ほんでよ、あの、まあ、ちょっとタバコ吸いってくるわつって。
[00:00:54.280] まま俺も行ったんだけど、気づいたら58
[00:00:57.039] 分になって、お、急げ、急げ、急げつって
[00:00:58.960] 戻ってきたらあちゃばあ
[00:01:00.960] 、猫が吐いたありえねえだろ、タイミング
[00:01:03.239] 。おい。
[00:01:06.040] あ、しょうがなくないだって。俺もだって
[00:01:09.479] 吐いたの。なんでこのタイミングで履く
[00:01:12.200] ねん?
[00:01:14.520] いや、猫はね、いつかわかんないんだ。
[00:01:16.799] ああ、うううってなるで。なるでとか。
[00:01:20.840] なんで関西弁やねん。なるで。
[00:01:25.680] うって言うから
[00:01:26.520] 猫も履く緊張してはい、いもこんばんは。いろはちゃんこんばんは。お猫こんばんは。ゆに日こんばんは。うんさちゃんこんばんは。みちゃんこんばんは。ベロンこんばんは。はい、どうもチャムゲームです。
[00:01:38.799] ガムチお疲れ
[00:01:40.680] やってます。やりますよ。ま、まだま、まだ
[00:01:43.280] 5
[00:01:43.439] 分待機。あ、意味の意味があるかわからん。この待機ね。
[00:01:47.719] ラジオラジオ番組の待機画面で喋っちゃうという意味があるんでしょうか?
[00:01:55.600] いや、ないかな。
[00:01:57.439] ちょっとあの今日はですな、今日はですな、あの棒読み消してね、で、あの、ちょっと
[00:02:04.840] コメントもあの、ま、拾いつつね、拾わなかったりしつつそこら辺をちょっとご了承いただければと思いますけどもね。
[00:02:15.360] さみちゃんこんばんは。
[00:02:16.239] もうなんかド緊張していろハはちゃんって呼んだしうんさちゃんって呼びましたわ。ペロンちゃんって言われちゃって言われ
[00:02:28.640] 挨拶とかあのちょっとできなかったらごめんな。できなかったらごめんな。いやあなんか変に緊張するわ。なんだろうね。あのね。
[00:02:42.920] あ、うるせえ。あのさ、あの、あのあれだわ。
[00:02:45.360] 今のうち聞きたい。声のバランスどうですか?じちゃんなんか喋って。
[00:02:49.640] え、なんで緊張するんだろうね。
