[00:00:45.399] 今日は茶色やな。
[00:01:03.399] 黄ろ
[00:01:33.200] 。
[00:01:50.000] ひ
[00:02:32.920] 邪魔ゲームイベントとか出るん?
[00:02:45.800] ちゃお疲れヘルクポプロべ。
[00:03:24.360] こんばんは。
[00:03:37.200] URL省
[00:04:07.680] 他ガラミーいらん。
[00:04:25.320] ダブル
[00:04:48.000] 早いな。
[00:05:01.919] そうだね。ミュート。うん。うんん。
[00:05:05.199] ミュートしてました。ミュートしてました。
[00:05:08.240] はい、どうもこんばんは。邪魔ゲームです。あの、あのやね。あれやで。別にビってねえし。別にビってねえから。ただなんとなくマイクラやりたいだけだから。と
[00:05:22.000] よろしくよろしく。今日はいつもやってる
[00:05:24.479] ドラクエね、やりたいのも山々なんですが
[00:05:26.880] 、あの、これ、あの、今コメントに固定し
[00:05:30.400] たけど、固定にしましたけど、軽
[00:05:32.759] チャンネル主催の、軽チャンネル主催の
[00:05:37.000] マイクラのイベントにお呼ばれしましたの
[00:05:38.840] で、お呼ばれしましたんで、あの、ま、
[00:05:42.039] ちょっとね、練習ってわけじゃないんです
[00:05:44.160] けど、これ死んだら終わりらしいんすよ。
[00:05:47.560] なんかあのハードコアモーってやつで死んだらその場でもうそのコラボからなくなる。そのイベントからもう消えるというあのらしいんでちょっとさすがにちょっと練習練習というか俺よく分かってないからあの
[00:06:04.919] 1
[00:06:05.120] 番最初にライドすると聞いて
[00:06:07.160] ちょよくわかってないのよ。そのハードコアモード分かってないんでちょっと見とこうちょっと見とこうかなみたいのが若干あります。
[00:06:16.960] 若干な、見とこ。ちょっと先にちょっと見
[00:06:19.639] といて。あ、こんなねっていうのを、
[00:06:22.160] こんなのねっていうのをちょ今日見とこう
[00:06:24.720] かなということで。はい。にこんばんは。
[00:06:26.479] Cさんこんばんは。コめちこんばんは。
[00:06:28.280] C0さんこんばんは。え、クライスさん
[00:06:30.280] こんばんは。ランディこんばんは。え、
[00:06:32.080] にナこんばんは。え、いもこんばんは。え
[00:06:35.919] になりさんこんばんは。え、岩おたん
[00:06:38.000] こんばんは。ということではい、やきます
[00:06:39.440] よ。よろしく。このイベントのために
[00:06:42.560] 俺マイクラ買い直したで。昨日2
