[00:00:04.240] 行けてんのか?これ
[00:00:06.600] 行けとるんか?はち、こんばんは。これ
[00:00:10.639] 行けてんのか、これ。
[00:00:32.680] お、お、お疲れちゃん。これ行けてる?
[00:00:35.120] 映ってる?映ってる?あ、お疲れ。あた、
[00:00:37.920] お疲れ。行けてる。
[00:00:40.600] チさん、こんばんは。行けてます。映っ
[00:00:43.360] てる?オッケー。カクカクしてないよね、
[00:00:46.000] 今回は。今回はカクカクしてないの?
[00:00:48.719] 行けるよね?
[00:00:51.879] オ、ま、多分今もうちょっとしたら主催の
[00:00:56.920] 軽チャンネルからありがたいお言葉が
[00:00:59.800] ゲーム音をうるさない?ゲームちょっと
[00:01:02.480] うるせえな。こもんか。死ぬなら派手にし
[00:01:05.920] ねえよ。
[00:01:08.640] それな、マジでしょうもない死に方がし
[00:01:11.240] たくね。いぞさん、こんにちは。ペテルも
[00:01:13.119] お疲れ。
[00:01:15.720] 主催の言葉聞けないよ。え、主催の言葉
[00:01:18.119] 多分ね、あの、今ね、Discordの中
[00:01:20.240] でマイクミュートにしてるから多分ね、
[00:01:22.240] 始まりは多分けいちゃんが唇を切ってくる
[00:01:25.759] 。え、もう喋ってるか。あの、あんまりあ
[00:01:29.000] 、じちゃん、お疲れちゃん。あんまりや
[00:01:30.799] やっちゃいけないんだけど、あんまりやっ
[00:01:33.479] ちゃいけないことなんですけど、あの、俺
[00:01:36.040] のDisccordサーバーに、あの、
[00:01:40.280] ありますから、あの、今日参加してる人が
[00:01:42.520] こううん、あんまり、あの、外部にこう
[00:01:44.479] 誘導するの良くないんですけど、これやっ
[00:01:47.119] ていいかわかんないけど。はい。そちらで
[00:01:49.200] も、あの、見たらいいかなと思います。
[00:01:51.680] はい。
[00:01:54.320] これ何なんだろう?どう?今何?何ちの
[00:01:58.119] 状態なんだこれ?
[00:02:04.240] え、まだ入ってないよね?3点式。いや、
[00:02:09.319] なんか皆さんあれですよね。なんか行き
[00:02:11.440] ますよね。なんかそっちあるらしいんです
[00:02:12.840] けど。なんかなんか皆さん、あの、俺の
[00:02:16.200] DisccordサーバーのURL飛ぶん
[00:02:17.879] で。あ、なるほどね。なぜか皆さんあちら
[00:02:21.200] から出ていかれますね。
[00:02:24.720] なぜか皆さんあちらから出て行かれます
[00:02:27.080] けども
[00:02:30.239] やるぜ。お疲れやるぜ。よろしいな。
[00:02:34.599] よろしい。いや、マジ緊張してきた。緊張
[00:02:37.800] してきたで。
[00:02:40.080] あ、しさんもロムってる。ありがとう。
[00:02:41.599] 今日ちょっと棒読み切ってますわ。多分
[00:02:44.680] そのうちけいちゃんから始めますでしょう
[00:02:46.720] 。あの、皆さん知ってると思いますけど、
[00:02:49.920] あの、Kチャンネル主催のね、レトロゲー
[00:02:53.200] 界隈エンダーハードコア、エンダー
[00:02:55.720] ドラゴンやってきますからね。いや、マジ
[00:02:58.519] でマジで慎重に行こう。ちょ、マジで慎重
[00:03:01.080] に行こう。アドバイスオッケー。
[00:03:02.680] アドバイスオッケーだけど、これ多分けい
[00:03:04.159] ちゃんからも話あると思うけど、あれは
[00:03:05.360] なしね。あの、ハト行為はなしで他の配信
[00:03:08.440] 見て、あ、まるまるさんがなんかさ、なん
[00:03:12.120] かど、何々って言ってたよとかはなしで
[00:03:14.360] じゃないと、あの、全体チャットオフにし
[00:03:15.840] てる意味がないんで。そう、これMOD
[00:03:17.840] 入れて、あの、なんて言うの?あの、あれ
[00:03:22.159] 遠くの人の声が聞こえなくなってるんだよ
[00:03:24.000] ね。その近くの人しかあの、聞こえなく
[00:03:27.080] なってるから。
[00:03:34.159] 盾絶対作ろうな。盾絶対作ろう。
[00:03:38.080] プラザお疲れじゃん。プラザお疲れ。
[00:03:41.720] やらせていただきますよ。やらせて
[00:03:43.439] いただきます。マグマダイブだけはしない
[00:03:45.200] ように。
[00:03:48.319] 鳩と禁止。ちょっとあれしとく。まあ
[00:03:50.000] 大丈夫でしょ。大丈夫だ。そんなわざわざ
[00:03:51.920] かと言ってそんな別にガチガチにせまる
[00:03:53.760] わけじゃないからちょっとなんかあ、誰々
[00:03:56.760] がおもろいことなんかそういうの
[00:03:58.000] はオッケー。あの誘導はなし。うん。誘導
[00:04:00.079] はなし。
[00:04:04.799] ま、結局ピン止めしてもしなくても、あの
[00:04:07.079] 、一やめろって言ってもやる、やるやつを
[00:04:08.760] やるんで。
[00:04:10.879] やめろっていうことね。やるやつをやるん
[00:04:12.799] で別にそこまであの、そこまで別にあの、
[00:04:19.440] まだかな?これどういうあれなんやろか。
[00:04:26.280] え、これ、え、まだけいちゃんあれだよね
[00:04:28.199] 。喋ってんだよね。だって絶対行っても
[00:04:30.680] やるやついるからな。うん。いるんだよ。
[00:04:33.000] そんなやついねえだろうと思うだろ。いる
[00:04:34.520] んだよ。ネタバレすんなって言ってもする
[00:04:38.000] やついるんだから
[00:04:41.039] いるねん。しょうがないよ。それはもう
[00:04:43.560] もうしょうがない
[00:04:45.600] だ。みんなのあのあれにかかってます。
[00:04:48.120] そのなんていうかその両親にかかって
[00:04:52.680] まあまあまあまあま楽しみましょう。
[00:04:55.360] 頑張って生き残ろう。マジで頑張って
[00:04:57.560] 生き残ろう。
[00:05:02.199] 頑張って生き残ろうぜ。ただ生き残るため
[00:05:05.759] に家に閉じこもってるようじゃダメなんで
[00:05:07.440] 攻めますよ。いやもう俺今日マジで本当に
[00:05:09.240] 森の妖感探していくからある程度行ったら
[00:05:12.400] もう森の溶感行くからね。森の妖怪行く
[00:05:15.520] からな。
[00:05:17.639] フ士のトーテムを持って帰ってヒーローに
[00:05:19.440] なるんだよ、俺は。富士のトーテムを
[00:05:21.919] 持ち帰って。しもけんちゃんこんばんは。
[00:05:23.240] しもけんちゃんこんばんは。そらもう
[00:05:29.240] これちょっと待ってね。これってさあれ
[00:05:33.479] ああできないかな?これ
[00:05:36.440] ポップアウトってできんのかな?
[00:05:38.240] アクティビティフードポップアウト。あ、
[00:05:39.800] できる。オッケーオッケー。これで何が
[00:05:41.880] 起きてるか分からない。
[00:05:45.720] オッー。あ、いいじゃない。いいじゃない
[00:05:47.560] 。いや、なんか配信かつきそう。あの前
[00:05:50.160] みたいになんかさ、キャプチャーの仕方が
[00:05:51.800] 悪くてかついてたら教えて。ちょっと
[00:05:54.639] ウィンドウでどうにかできるようにした
[00:05:56.120] から多分今回は大丈夫だと思うんだよね。
[00:05:59.960] 今回は大丈夫だと思うんだよね。あらゲム
[00:06:01.639] さんもこんばんは。あらムさんも
[00:06:02.960] こんばんは。
[00:06:05.560] 多分大丈夫だと思うんだけど、
[00:06:09.639] あんまりウィンドウを開きまくると今度
[00:06:11.720] 怖いんだよな。
[00:06:27.000] 何回もあれだけど、あの、ほら、あの、俺
[00:06:31.000] のあの、Disccordサーバーにあの
[00:06:34.039] 、ありますから。あの、今回の配信がもう
[00:06:38.360] 1全部見れな。あ、
[00:06:41.840] さしてくれ。言えないんだよ。言いたい
[00:06:44.479] けど言えねえんだ。察してくれ。
[00:06:47.479] ありから。あの、あるから俺のサーバーに
[00:06:50.720] 、あの、
[00:06:52.680] 今回の参加者がこうのあれが、あれが、
[00:06:56.120] あれできるやつか。あ、これ言うと、あの
[00:06:58.879] 、Twitchに怒られちゃうから、あの
[00:07:00.440] ね、外部、外部に誘導はしちゃいけないん
[00:07:02.639] であんまり言えないんですけど。ま、そう
[00:07:05.199] いうのもありますんで、よかったらね。
[00:07:13.199] あ、すげえ。
[00:07:13.800] コメント欄もこうやってあんま言っちゃ、あんま言っちゃいけないんだけど。コメント欄もこうやってやれるんだ。ま、ごめん。今多分けいちゃんがあれしてんのかな?企画の説明とかしてんのかな?ちょっとけいちゃんの配信見るか。音ちょっと出す
[00:07:32.199] よ。プロジェクトウンターとかさ、ま、あれだよ。アモンガスだよ。有能のやつ殺すと楽になっちゃうもんね。ごめ、みんな
[00:07:39.919] 10分には行かなきゃないんだ。あ
[00:07:41.960] あ、10分ね。はい。お墓立てないと
[00:07:44.919] 10
[00:07:45.120] 分ね。オッケー。オッケー。ああ、なんか緊張してきたぜ。緊張してきたで。あ、最初に死ぬのやだよな、マジで。いやからみんなあの、マジであの、あれしていいからね。アドバイスオッケーね。俺も聞くだろうし。
[00:08:17.360] アドバイスしていいよ。アドバイス。こりん、こんばんは。ちょ、
[00:08:21.319] 10分ぐらいに始まるみたい。
[00:08:23.240] 10
