[00:00:07.919] そ
[00:00:41.039] うい。お疲れ。
[00:00:49.559] 黒黒
[00:00:54.039] 木き日
[00:01:13.040] にパーカー切る。
[00:01:23.079] やつはる。
[00:01:39.799] 曲げはパーカーが肌着みたいなところある
[00:01:42.360] 。
[00:01:45.799] いるか?アホな紫や。
[00:02:33.640] チマドブがメスパーカー来てなかったら
[00:02:36.400] ビッ投げるよ。
[00:02:55.959] 大急ぎで脱いでそう。
[00:03:24.000] ブーさん
[00:03:54.000] 。Ah.
[00:04:25.040] ゲームです。はい、どうもこんばんは。え、さんこんばんは。え、にこんばんは。え、もこらこんばんは。うんちゃんこんばんは。ゼロさん、こんばんは。え、ですかな?ですかな?はい、どうもこんばんは。
[00:04:36.680] です。黒い
[00:04:37.840] パーカー切るっても、ま、めっちゃ暑い?今日。いや、もうでも急に暑いもんだから用意してないって。急に暑いから。めっちゃ暑いよ。バカ熱いよ。だからもうエアコンつけてるね。
[00:04:51.919] てバカ熱かった。
[00:04:53.560] エアコンつけてます。エアコンつけて
[00:04:56.479] パーカー起きるそうなんですよ。無理して
[00:04:58.639] てもパーカー起きるというね。はい。そう
[00:05:00.440] いう感じでどうもこんばんは。相ちゃ
[00:05:01.800] ゲームですと。え、皆さん、えっとね、
[00:05:03.800] 日曜日、え、土曜日か土曜日の、え、
[00:05:07.000] イベントね、マイクライベントありがとう
[00:05:09.840] ございました。え、出演時間約30分とこ
[00:05:12.720] で
[00:05:14.720] 出演時間約30分とこでね、やりました
[00:05:17.600] けどもね。もうひどい。ひどいね。
[00:05:23.520] 負けだったね。最後だった。
[00:05:26.360] だいぶだいぶ巻いてたよな。あのイベントだいぶ巻きだったよな。いや、よかった。でも、でも良かったよ。俺、俺、俺、俺じゃん。あれが、あれがチャマゲームのイベントのイベントとしてのチャマゲームの使い方大正解だと思います。あれ、ま、完全に偶然だけど。いや、あれがあれ、俺最初死んだけどり
[00:05:50.120] 方。
[00:05:50.840] 土曜仕事休憩中に見ようと思って開いた瞬間経チャンネルに飛ばされたんだけどやっぱりそういうこと一瞬で死んだ。
[00:05:59.400] 30分ぐらいで死んだわ。30
[00:06:01.520] 分ぐらいで死んだ。花さんこんばんは。はさんこんばんは。もう地獄やったでもなんかあれもうしょうしょうがなかったよな。しょうがなかったよな。どうしようもなかったよな。あれなもあれが逆にあれが逆に女の子の配信者ね。
[00:06:19.199] 女の子たちだったらが最初に死んでたらおつやで。
[00:06:22.759] さん待ってましたよ。
[00:06:23.880] おつやったで。
[00:06:24.680] ちゃんと女の子守ろうとかつけてな。プラさんもこんばんは。プラさんこんばんは。
[00:06:29.599] お疲れ。プ
[00:06:30.240] ラさんこんばん。ペブペロンお疲れ。ペロンお疲れ。蜂もこんばんは。そうやね。女の子守ろうとして生きっていや、シーンはなんかあの始まるやんで一晩どうにかみんなで生きたまんま過ごして
[00:06:41.280] 1晩ね。今1番目ね。
[00:06:42.880] で、朝起き、朝になったら外にクリーパーがいて、クリーパーがいて、
[00:06:49.400] 橋本君必死すぎって
[00:06:51.759] クリーパー生きって女の子いっぱいいだから生きってやるしかねっしょとかつってやるしかねっしょつって家出たら俺が見てる先の見てる先のクリーパーに向かってった後ろからもう
[00:07:04.160] 1
[00:07:04.280] 匹クリーパーがにって出てきてバーンって終わり死んだことにも気づかなかったわ。
[00:07:11.120] え、ひどかったね、マジで。だからデスゲームのさ、こんばんは。
[00:07:19.440] デスゲームの1
[00:07:20.199] 番最初みたいな感じだった。
[00:07:21.440] え、これ死んだって聞いてたの。笑った。な
[00:07:24.680] んでおつかれ。なんでお疲れなんでお疲れ?死んだこと気づなかったもんで。デスゲームで
[00:07:30.280] 1
[00:07:30.440] 番最初になんか生切って馬鹿らしい俺は帰らせてもらうって言って頭打ち抜かれて死んだみたいな感じ。あそこからみんな一気に変わったん。空気が。
[00:07:40.400] え、これ本当に死ぬんだみたいな。
[00:07:43.479] みんながピリッとした瞬間だったよ。本当に死ぬんだ。大体デブだしね。大体大体そういう時のデブだしね。
[00:07:54.280] 馬鹿らしい。俺は帰らせてもらう。
[00:07:56.479] 簡単に死ぬの?
[00:07:59.680] 敵期間持った。
[00:08:00.800] あれひどかったね。ひどかったね。あれね。
[00:08:04.759] 最初こそみんな邪魔けとか言ってたのに
[00:08:08.599] 5
[00:08:08.759] 分ぐらいしたらもう俺の死んだ穴埋め立てられてあ、じゃあじゃあ木拾い行きましょうか。
[00:08:17.440] あ、じゃあみんなあの木私拾ってきますね。あ、じゃあ何々に取ってきましょうみたいな。もう全然もう俺死んだこと
[00:08:23.360] 5分でなかったね。
[00:08:25.960] 5
[00:08:26.159] 分で俺が死んだことなかった。良かったね。おもろかったね。
[00:08:30.400] いや、もうあれちょっとのことだけどシムーだけはずっとチまさんのゲームで頑張って言ってやってくれた死応援しようときに来たら配信終わっててさんこんちゃこんばんはすんませんも速攻で死んじゃいました。まあ期待通りでしょ。
[00:08:53.000] あれがチャマゲームのあり方でしょ、あれ。ああいうもんだからチマゲームは。
[00:08:57.160] マジでそんな気して早起きしてよかった。
[00:09:02.480] 墓作ってくれたけど、あれ違うのよ。あれね、
[00:09:04.320] K
[00:09:04.519] チャンネルのチャンネルに行って俺が言ったんだよ。おい、墓ぐらい作れつって。墓ぐらい作ってくれよつって作らせたんだ俺が。
[00:09:14.000] 笑笑。
[00:09:15.480] マジで何もなかったからさ。何もなかったから墓作らせたわ。
[00:09:19.600] 幽霊墓立てろ。
[00:09:21.399] まだ派手に散ってよかった。
[00:09:23.519] ま、まだみんなの前でね、みんなの前で死んでたからすらしなかったのけるな。
[00:09:28.240] そうだよ。言われなきゃ作られすらしなかったんだ。いや、良かった。でもおもろかったな、あれ。もう
[00:09:34.680] 1回やりてえな。もう
[00:09:37.000] 1
[00:09:37.079] 回やりてえよな、あれ。悔しいわ。さすがにもっとできたで、俺もっとできたで。もっとできたと思うんだけど。
[00:09:45.839] トライアゲ、今度は死なないでね。
[00:09:48.480] うん。もう1回どっかで
[00:09:50.440] でも本当女の子じゃって気まずくならないためにもそういう話だった。
[00:09:55.040] いや、そういう1
[00:09:55.480] 番最初じゃん。俺が死ぬの多分敵役でしょ。敵役でしょ。俺が
[00:10:02.200] 1
[00:10:02.320] 番最初に死ぬのが。うん。そんなもんだよ。そんなもん。そんなもん。
[00:10:06.360] 死ぬタイミングで死んだ後の発言もなんというか
[00:10:10.760] 綺麗でした。比較的にはクリアまで行ったの?
[00:10:13.920] 比較的にはね、クリアまで行ってたよ。クリアまで行ってた。
[00:10:17.160] 死んだのは俺と俺と
[00:10:19.720] Kチャンネルと島村さんだけ。男だけ。
[00:10:23.279] どうしようもねえ。男だけだわ。男だけが死んでた。あれなんだよ。あの、あの鬼太郎がうますぎんだよな。鬼太郎がうますぎるんだよね。言うみのってた名なんや。きたさんも最後死んであ
[00:10:39.040] あ、違う。きたさんじゃない。え、ロボトムさんかな?ロボトムさん死んでた。最近も本当に最後の最後。
[00:10:44.120] 本当に最後の最後ね。本当に最後の最後。
[00:10:47.399] 参加
[00:10:48.160] あのエンダドラゴン戦ってる時にね。ま、ま、あれはもうほぼクリアみたいなもんでしょ。あれはもうほぼクリアみたいなもんだったろ。いや、おもろかったな。おもろかっおもろかったよな。ま、地味なしりは全然良かったと思いますわ。地味なしりは。とことで、ま、そのうちまたちょっと僕やろうかなんて思ってますけどもね。思ってますけども。ま、やんないかもしれませんが。はい。
[00:11:14.000] ということで、え、今日はちょっとあれですわな。あのドラクエ久々にやります。もうさすがにちょ宣言するわ。
[00:11:21.240] ちょっと今週中にクリアしよう。
[00:11:22.959] ちゃま君がやるという時はやらない。やったりやらなかったりします。
[00:11:27.000] やったりやらなかったりします。ドラゴンクエスト今週中にクリアしたいなと思ってるんですけども。
[00:11:32.000] 終わるか?
[00:11:32.839] え?終わるやろ。終わんない。終わんない。もう結構最後行ってんじゃない?
[00:11:36.639] ロボロボットさんに豚買ってる時と食いだって言わ。
[00:11:39.160] 違、ロボットもさんじゃない。ロボトムさんじゃないよ。あれ?あの晴れのちね。
[00:11:44.160] 晴の血の野郎ね。
[00:11:45.200] どか廃気絶ぶ。
[00:11:46.680] あの晴の血の野郎に俺が豚かってあ、食料だ、食料だて言ったらすれ違い様にすれ違い様に
[00:11:57.279] あ、きたお疲れ。きたさんお疲れちゃん。ありがとうね。ありがとうございました。コラボおもろかったね。さんじゃなかった?
[00:12:02.240] いや、違う違う違う違う。ロボトさんじゃない。ロボトさんじゃない。あのさに言われました。すれ違い様にね。豚勝ってる俺のすれ違い攻めにざにと食いじゃん。
[00:12:12.720] 小声えさくさんの豚発言おもろかった。
[00:12:16.920] あいつふざけてるよ。
[00:12:17.800] あれさくちゃんの声だった。
[00:12:19.279] あ、あれふざけてた。あれふざけてた。
[00:12:21.240] 笑笑
[00:12:22.240] あれふざけて。
[00:12:22.959] 笑笑
[00:12:23.680] マジで
[00:12:25.600] 大爆手しね。俺がおいって言ったら引き笑いしてた。明まみたいな。ああって笑ってた。とんでもない引き笑。大爆笑してたな。
[00:12:38.760] 笑笑。うっま。
[00:12:40.279] 大爆笑してたわ。
[00:12:42.279] 笑笑。きゃあ。
[00:12:46.440] いや、おもろかったっすな。
[00:12:47.399] 元々引き笑いだしね。
[00:12:48.720] 元々引き笑いだからね。いや、おもろかったね。もうおもろかったっすよ。良かった。よかったね。こんな感じですわな。ちょっと第
[00:12:56.560] 2回やりてえな。第2回やりてえな。第2
[00:12:59.519] 回やってくんねえかな。てかなんか、なんかさ、人とゲームすんのも悪くないなと思いましたよ。
[00:13:09.560] やってくんねえかな。笑う。
[00:13:11.440] やってくんねえかな。誰かまたやってくんねえかな。誰かまたやってくんねえか。
[00:13:17.199] おがやれよ。第2
[00:13:18.680] 回は今週末人と遊ぶ楽しさえ。
[00:13:22.040] そうなんだよ。人とたんこんばんは。たんこんばんは。そ
[00:13:26.600] どうかな。第2回いつかな?第2
[00:13:28.920] 回いつかな?人と遊ぶの楽しかったな。
[00:13:31.399] 30分だけだったけど。30
[00:13:33.399] 分だけだったけどな。
[00:13:36.240] 30
[00:13:36.519] 分だけだっけ?でもね、あれなんだよ。
[00:13:38.760] あの、俺、俺もそうだったけど、俺もそうだったけど、
[00:13:43.000] あ、じね、違、順、順からあなた
[00:13:46.720] LINE来て、LINE
[00:13:47.760] 来てなんか、あ、主じさん、こんばんは。ロボットありがとう。あの、じがその後
[00:13:52.240] LINE
[00:13:52.560] 来て、俺も俺もマイクラ買っちゃったて。買ったらしい。あいつ、あいつ買ったらしいよ。あれ見て。
[00:14:02.320] 笑。
[00:14:02.600] 誰も次誘うなんて一言も言ってないのに。
[00:14:04.600] 可いい。
[00:14:05.360] なんかもうもうなんか誘われ待ちしてるわ、あいつ。誰も誘うなんて言ってないのに。誰も誘うなんて言ってないのにな。誘われ待ちしてますわ。
[00:14:14.880] 順じが仲間になりたそうにこっちにこっち見て
[00:14:18.519] 協力系のゲームディスコに書いたらやるか。
[00:14:21.199] 協力系のゲームとかでもいいよね。いいよね。うん。ありだと思う。なんか教えてや。教えてや。なんかとりあえず俺昨日北ちゃんに言ったんだよ。
[00:14:30.920] ちょ、とりあえず、とりあえずもう
[00:14:32.440] 1
[00:14:32.519] 回、あの、久々に、あ、リビさん使、あの、久々にあの、人狼やるべっつって言ったんだよ。人狼、あの、プロジェクトウンター雪山人狼やろうよって言っといたんで、あの、言っといて、あの、みんなもあの、コメントで
[00:14:48.800] 雪山人狼みたい。
[00:14:49.800] 雪山人狼ね。久々にね、久々にやってもいいよね。結構やってたからね、前ね。結構やったからね。
[00:14:54.839] 言うなよ。笑笑。お疲れ。あれもいい。疲れ。うん。
[00:14:59.839] だからあれもな、なかなか難しいんだよね。笑
[00:15:02.519] だ、あの、どこまで言っていい?
[00:15:05.320] どこまで言っていいかってあるからな。プロレスできるかなっていう。しかも俺のこないだこの日曜日の土曜日のさ、あのマイクラ見てもらったら分かるけど、やっぱ俺もう無理やねん。人見知りすぎて。こんな偉に喋ってんじゃん。今全然喋ってなかったもんね。全然喋ってなかったわ。
[00:15:26.199] 初対面とまあね。
[00:15:29.079] コミュ勝派。
[00:15:30.639] うん。せやねん。恥ずかし。
[00:15:32.399] ゴミゴミ。
[00:15:33.240] もうほんまにほんまにもう出てたね。
[00:15:37.160] これちっさかったね。さったこと
[00:15:39.399] 2
[00:15:39.560] 人になった時ごましてるのほんまおもろい。
[00:15:42.759] うん。そうなんでもなんかちゃうごめんね。
[00:15:44.560] 今来てくれてるから言うわけじゃないけど
[00:15:46.040] 、きょったんさんだけはなんかみんなが
[00:15:50.360] あの拠点の上でねやってる中1人でこう
[00:15:54.079] 地下掘ってたからなんか同じ匂いするな
[00:15:57.040] と思
[00:16:01.000] 多分一緒なんだろうな。まずそうだった
[00:16:03.519] グル笑
[00:16:06.560] なんかなんか上騒がしいですね。
[00:16:12.199] ですね言ってたもな。
[00:16:14.279] いや、そうなよ。そうなるよな。そうなるのよ。いや、でももうちょっと頑張りたかったな。
[00:16:19.120] 太郎との敬語で話しちゃうよそよしいコラボまたお願いできますか
[00:16:23.800] なあ。お互いコメント欄ではめっちゃ言えるのに実際コラボになると一緒にとか失礼。
[00:16:29.800] なんで失礼なんでやねん。いいやろが嫌かな。嫌かな。まあまあまあそんな感じでしたわな。そんな感じでしたわ。ちょっとマジででもなんかいいな。ああいうコラボみたいの全然やってなかったじゃん、最近。
[00:16:42.560] この時もう少し私にコミ力があってあそこで引き止めてたら
[00:16:47.240] いやマジでな。
[00:16:48.519] いや、マジでそう。あの時俺のこと引き止めてくれてれば
[00:16:51.000] 笑笑いんだ。
[00:16:53.800] 俺それですらそんな端とですら
[00:16:57.560] 一緒にいんのがなんか恥ずかしくなっちゃってちょ俺上見てきますわって言って上行って上行ったらクリーパーいて
[00:17:05.559] クリーパーいてなんか生きってなんかやるしかないっしょ。
[00:17:09.439] 壊れちゃったから
[00:17:11.000] なんか俺生きってなんか俺がよろしくなっしょとかって出たら後ろから出てきてた。ここら辺に。ここら辺にいたわ。
[00:17:21.079] K
[00:17:21.280] チャンネル一も一瞬でドア閉めてたね。バチもう反射だろうな。あれはもうなんか石髄で言ってたの。石髄で石髄で言ってたわ。ま、そんな感じですわ。おもろかったな。
[00:17:36.240] ドぷンちゃにめスプロで
[00:17:39.160] おれった。てかマイクラ面白れえわ。マイクラ面白れえって
[00:17:41.520] 30
[00:17:41.760] 分しかやってねえけどああいうの面白い。いや、もう悔しかったからね。
[00:17:46.480] いや、そうやね。次回またやりたいっすね。またやりたいっすね。
[00:17:50.520] ということでじゃあ行きますか。ドラクエに
[00:17:52.600] チャンネルのそばにいたら生き残れそうだなと思った。
[00:17:57.760] やっぱあの最善の選択を
[00:18:00.200] 瞬時に
[00:18:01.320] あの導き出すことができるからね。やつはね。
[00:18:03.600] 俺の命を切り捨てて、あ、もう助からないって一瞬で思そこまで行ったんだろうな。躊躇がない。あ、もうこれ戦、もうこいつはもう無理って言って笑
[00:18:14.280] あの一瞬で扉閉めてあの島村さんのこと守ってたからいやもうしょうがない。あれはもうあれもうもう俺のこと助からんもんだって。あれドア開けてても助からんから。
[00:18:25.320] 判断早い。
[00:18:26.360] 判断早い。いや、判断早い。開です。出ましたよ。海分が。
[00:18:32.679] 開が出たね。
[00:18:33.320] とりあ、最適的人。
[00:18:34.880] とり味最適。
[00:18:36.480] よくわかんないけど高卒だからちょっと鳥味とか難しいわか
[00:18:40.720] というわけで今日はドラゴンクエストセブンリイマジンドやる前にですね、やる前にですね、あれだわ。あのなんかモコライトがさ、モコライトがなんか送ってきてくれたんだよね。みんなマジで送ってきたんだよね、こいつ。サンミー。これマジでレターパックで届いたわ。
[00:19:01.880] ダブル笑
[00:19:03.679] レターパックで
[00:19:05.200] 3民送ってきたんだけど
[00:19:07.000] これなんか
[00:19:07.360] 噂の
[00:19:08.400] 噂のこれちょっと聞こうかなんか関西の関西のやつらしいねんねえからなこれパックで食品て送っていいの?笑
[00:19:18.720] 俺も思ったレターパックで食品って送っていいのね届いたけどレターパックで
[00:19:25.559] 機嫌機限全然え源今日いや今日までやんこれ今日までです今日ま
[00:19:31.360] デスマフィン忘れたの?
[00:19:32.880] デスマフィンあったね。小のやつだの
[00:19:35.919] パンを。笑。
[00:19:36.960] そう、サンミー送ってくれました。
[00:19:39.080] レターパックで送ったらダメなのは生物と元気。
[00:19:42.240] あ、そうなんだ。あ、これはセーフなんや。もうこれも半分生物と言えばま、
[00:19:48.200] YKベーキングさんの3
[00:19:50.799] ちょっとこちらご味させていくてよろしいですか?なんかこれ栃木にないからね。
[00:19:55.000] か
[00:19:56.200] 栃木にないからな。これ
[00:19:57.320] はいいんだ。笑笑。
[00:19:58.679] 3
[00:20:00.039] え、パンの中にクリームを度し、上にチョコとケーキ生地の
[00:20:03.919] 3つの味をが楽しめるか。
[00:20:06.240] ご味。笑笑。ご味のもろ。
[00:20:09.720] 何が別に普通やん。別に。で、そ、別にそんなダジャレとも思ってねえわ。そんなんご正味って言うやろ。酸味だ。こはなんで言うやろ普通にごって。
[00:20:26.840] ということでサンミちょっとかじらせてもろてえですか?こんな夜なんでね、このパンをウキウきレターパック詰めてるもこちゃん想像したら可愛い。
[00:20:35.440] これとこれしかもちなみにこれ
[00:20:38.679] 2つあってん。今もう1
[00:20:39.840] 個あっち置いてあるけど明日の朝ご飯にしようと思って。あとなんかこんな送ってきた。激辛甲羅組なんやねんこれ。もうなんか俺こういうのなんか苦手なんだよな。こういうの
[00:20:50.159] ダブル
[00:20:50.600] もうなんかやらなあかんやん。
[00:20:53.240] のか
[00:20:53.880] なんかやらなあかんくなるやん。こんなん送られたらなんか
[00:20:58.440] こんなんやらなあかんくなるやん。
[00:21:02.200] 食べ物で遊ぶなって言ってんの。チソピが言ってたやつ。辛いグ。美味しいよ。スパイスって。
[00:21:08.840] え、美味しいのこれ。ちょっと待って。ま、とりあえず酸いから食っていいか?え、サンミーね。大阪。大阪さん。大阪もっていうなんかよわかんねけど。
[00:21:18.039] チまどペウペウペウ。チまどペウペウペウ。
[00:21:21.039] 邪魔ペウペウペ。
[00:21:22.440] これ1個で470k
[00:21:25.360] リです。やばない?雪山だったらもうこれ
[00:21:29.640] 1週間生きれるで。これで
[00:21:30.840] 私3見たことないんだけど。
[00:21:32.760] 俺もないね。栃木にはないから。これ栃木にはないから。
[00:21:35.480] その体型で気にするのやめて。
[00:21:37.520] お前いだはあだ今言ってるやん。ダイエット中だって。ダイエット中って言ってますや。
[00:21:45.600] に違うんですか?
[00:21:47.120] ダイエット中って言ってますやん。
[00:21:48.559] 今日もウォーキングしてきてますやん。今日もウォーキングしてきてますやんって言ってますやんだ。ちょっと今日はすいません。これあの食べたいのも山なんですけど、ちょっと味みだけにさせてもらいますね。味みだけに
[00:22:00.679] えいって言ってるやんだ。言ってるよね。
[00:22:03.000] ダブルキング。
[00:22:04.159] へえ。
[00:22:05.200] めっちゃ待って。めっちゃ溶けてるんだけど。いや、これダメじゃん。やっぱり溶けてますやん。今日あったかかったからな。
[00:22:11.400] 笑笑。今日
[00:22:12.360] 賞味開始。
[00:22:13.320] ご味開始。3賞味開始。
[00:22:15.919] それがサミー。
[00:22:17.760] あ、もうダめよ。めっちゃチョコつくもん。これめっちゃ手汚れるし。
[00:22:23.320] ダブル
[00:22:24.440] めえ。
[00:22:25.559] 今日あったかいのは想定以外。
[00:22:28.320] ティッシュないやんけ。ちょ、ティッシュ持ってくるわ。
[00:22:31.919] めっちゃ文句言しい。やっ
[00:22:34.240] ちょ、ちょっとティッシュ持ってくるわ。ごめん。ティッシュがなかった。ティッシュがないわね。ティッシュがない。すぐなくなっちゃうんだよな。ちなみに、あの、もうこれ今日パーカーあっちいのに我慢してきてけど、下はもうハンズボンだよ。
[00:22:46.360] 下はもう半ズボてたん今へした。さすがにここではティッシュ使わんか。背伸びしてるけど見えてなかった。へ、なんかちゃまく本当痩せちゃったな。ほっぺたない。使い切った可能性。
[00:23:26.960] シュシュっとしないで。
[00:23:45.240] ピッチピチのお肌も白になっていくのかな。
[00:23:48.360] マジで熱くね。
[00:23:49.799] 色ハミ知らんて。マジ悲しい。ちょっとマジで暑くない?
[00:24:01.080] ほんま知らん。
[00:24:05.679] なんかちゃま君本当に痩せちゃった。
[00:24:09.720] 3
[00:24:10.159] ま、半年で11kg痩せてますからね。
[00:24:12.400] 餌関西。で、11kg
[00:24:14.279] 痩せてますからね。こちとら
[00:24:16.640] もう扇風機出したわ。
[00:24:18.279] モてるで。痩せるともう
[00:24:23.520] DMが成りやまないんだから。
[00:24:25.480] DMがなりやまないんだから。
[00:24:26.880] ちゃまく減っちゃって悲しい気持ちになっちゃった。
[00:24:31.320] もっと悲しいことになるぞ。これからもっと悲しいことになる。ごめんな。ごめんな。
[00:24:35.200] でもまともに喋れないから置いてくな。
[00:24:38.760] 置いていくな。
[00:24:40.200] 置いてかないで。
[00:24:43.360] じゃ、お前らを引っ張ってやるって。引っ張ってやるからな。じゃ、ちょっと
[00:24:48.880] 3
[00:24:50.279] させていただけてよろしいですか?別にそんな俺こもらっといお願いします。もらっといて
[00:24:56.480] やっぱりあれ
[00:24:57.640] ゴミ捨テバであった若いカップルに触れたな。
[00:25:00.760] あの下に引っ越してきたな。下に引っ越してきた。うん。なんかやっぱ太ってるからさ、まともに恥ずかしくて挨拶できねえからよ。うん。まともに恥ずかしくて挨拶できなかったから。
[00:25:10.240] ゴミ捨て、ゴミ捨てに行く時にあったね、あの下に引っ越してきたカップルね。あ、これ、あ、ゴミご、これゴミ、ゴミって言って逃げたやつね、俺ちゃんとやっぱ挨拶したいじゃん。心から。心から挨拶したいから。
[00:25:25.440] チカ、
[00:25:27.240] 完全にチカになってたからな。マジでリアルな人間とコミュニケーション取れなさすぎて完全に。てことで正味賞味させていただきます。
[00:25:35.799] 3ね。
[00:25:36.120] もう、もういい加減に食っていいか?これもらっといていうのもなんだけど、俺別にそんな食いたいなって人一言言ってないからね。これ
[00:25:42.440] は食え海のもらっといてこんなことで別にそいたいなって一言も言ってないからね、これ。だから別にこれまず別にあんま美味しくなかったらあんま美味しくないて言うてよろしく。よろしく。
[00:25:54.799] は食え。
[00:25:55.480] 久々に食うで。こんなもんだきます。
[00:25:57.520] うめえから。何味?マジで全然見たことない。
[00:26:06.960] うん。まあ、
[00:26:08.320] 普通に美味しいよ。
[00:26:13.240] 普通。
[00:26:14.679] うん。なんかね、
[00:26:17.399] 花でわろてら。
[00:26:19.840] ま、想像通りの味。ま、別に想像通りの味だよね。ごめん。これ汚い。汚い。断面図でごめん。中身こんな感じ。
[00:26:30.559] 中身こんな感じ。
[00:26:32.919] なんかクリーム入ってますわ。クリーム入ってますわ。クリームがパ生キみたいな。
[00:26:41.080] 美味しそう。
[00:26:42.120] パイキみたいな。うん。ま、
[00:26:45.240] うめえだろう。
[00:26:46.240] ま、うまい。ま、うん。うん。ま、うまい。まずくはないよ。
[00:26:49.039] あ、あのね、ま、そんな感じで。
[00:26:55.799] でピンと合うのすごいよな。美容つ部屋の知恵。
[00:26:59.000] この野郎部活の跡とかに生地を被せて洗きチョコをトッピング
[00:27:06.120] さの味シャミが楽しめる自慢のデニッシュパンです。関西の人々に愛されて
[00:27:13.159] 50年50
[00:27:14.080] 年の歴史があるんや。これうー
[00:27:18.919] せやで
[00:27:20.159] なほね聞いたことない音が起きられてくる。ありがとうございました。ごす
[00:27:27.399] え。
[00:27:29.760] え、もう、もうここだよ、今日は。もうここだけど。いや、食え、全部は食われへんで。
[00:27:35.000] 冷蔵庫入れとけ。
[00:27:36.480] 全部はそあるねんな。こみんな忘れてると思うけど。ここにあんねん。冷蔵庫。
[00:27:40.799] もう1個あるのに。
[00:27:41.760] もう1個あるのに。ダイエト中やからな。
[00:27:44.080] チームまで到達した。
[00:27:45.480] 到達したよ。到達した。まあ、普通でも今日なんかせっかくし飾っとこうかな。
[00:27:51.519] ここにせっかくだからちょっと
[00:27:56.159] ここにさ
[00:27:59.200] ちょうどいい。3
[00:28:01.240] もあるしな。酸民スタンドも
[00:28:03.000] 家具にするな。
[00:28:04.880] ちょうどいい。これこのためにあるんじゃねえかなっていうぐらい
[00:28:09.240] 盾なの?
[00:28:10.679] 3盾。
[00:28:12.799] 3
[00:28:13.000] ミ盾てな。あ、横か。ここか。あ、いいね。今日ちょここ置いとくか。
[00:28:21.159] 今日こっち置いとくか。
[00:28:22.360] 横の方が文字見やすいか。
[00:28:24.480] 今日ここにしとくわ。うん。
[00:28:27.000] 可愛い。
[00:28:27.960] 絶対早く食わないとカピカピになってくたもんじゃなく。
[00:28:31.360] ちょっとでもちょっとこれはもうちょっと今日はだめ。美味しい。ありがとうね。もうこれありがとうね。ありがとう。ま、でも次はもっとあのうん。もっとあのもっとうん。もっとあのうん。次はもっとなんかあのうん。なんか大阪、大阪的なもん送ってきてな。
[00:28:48.840] いや、ま、大阪的なもんだけどね。これも大阪的なものでは時お願いします。
[00:28:54.159] 4
[00:28:54.360] ミな、たまに出るらしいよな。たまに
[00:28:56.640] 4ミになるらしいじゃん。
