[00:00:33.760] 待ってたんだよ。黄色やな。
[00:00:41.440] うい。お疲れ。
[00:00:46.239] 今日も黒やな。
[00:00:54.280] ちゃまくんはパーカー黒しか持ってないよ。
[00:03:02.120] なっげえ
[00:03:40.959] 今日はカラフルパーカーだよ。
[00:04:32.039] 見えた?グレー。
[00:04:46.960] どうせ紫はミュート
[00:05:05.039] 解散やねるわ。ミュートゲ乙つ。うんうん。ミュートな
[00:05:10.160] んやねん。もうなんか最近やるな。最近やるよね。
[00:05:13.520] ちゃったね。
[00:05:14.240] 最近やるよね。最近
[00:05:16.320] わかりますしょ。
[00:05:17.520] 最近やっちゃうんすよ。最近やっちゃうんすよ。はい、どうもこんばんは。え、りさんこんばんは。
[00:05:22.479] え、に中こんばんは。シドさんこんばんは。もこらこんばんは。
[00:05:26.639] たび、こんばんは。え、うんちゃんこんばんは。えー、ですか?ペロンこんばんは。はい、どうもやってきます。今日も京都とて
[00:05:36.759] 聞くのにミュート。はゲ
[00:05:38.639] 本当だよね。最近マイク入れ忘るの忘れるわ。入れ忘れるの忘れるじゃ。入れるの忘れるわ。
[00:05:44.440] やってきますよ。もう時間、もう今日
[00:05:47.600] ちょっと本当あの、すいません。遅くなっ
[00:05:49.000] ちゃった。
[00:05:51.360] 遅くなっちゃったんで。遅くなっちゃった
[00:05:53.840] んで。あ、お、こんばんは。遅くなっ
[00:05:55.319] ちゃったんで、もうサクっとやってサクっ
[00:05:57.240] とサクっとやっていきたいと思います。
[00:06:00.000] よろしくお願いしますと。はい、もうやり
[00:06:02.240] ます。
[00:06:03.960] やりますよ。やりますよ。
[00:06:07.479] はい。よし。なんやねん、これ。更新した
[00:06:10.560] 方がいいんか?更新しよう。更新しよ。
[00:06:13.360] 更新しよう。更新しよう。更新しよう。
[00:06:16.520] 朝の3
[00:06:17.160] は体にうん。酸味食べてったけど。うん。おいし。うん。美味しかったっす。に開花するって書いてあるけどさ。
[00:06:24.840] お、そうやって、そういう意味なんだ。うん。咲いてますさ。ん?何これ?おい、また何もしてないのに壊れてんじゃないの、これ?また何もしてないのに壊れてんじゃないの?
[00:06:37.880] あ、来た。決まんた。よしく。
[00:06:41.759] やっていくぞ。このクソ似てないミね。毎回思うけど。毎回思うけど。誰なんだあれ?
[00:06:48.919] わさんこんばんは。
[00:06:50.000] だ誰?
[00:06:51.120] 俺に俺誰か作ってくれよ。え、作もうもう時間ないから。時間ないから。今日、今日
[00:06:56.520] 12時まで。あの、すいません。今日12
[00:06:57.960] 時までね。
[00:06:58.440] 作ってもらおう。作ってよ。げ、ミのレシピよ。ミのレシピ。
[00:07:03.039] ミのレシピください。
[00:07:04.840] もう今日ちょっとほんま時間ないね。今日はもうここクリアできればいいかなって感じ。
[00:07:09.800] 今日ここクリアできればなと思っています。思てます
[00:07:14.400] よ。
[00:07:15.160] あれどっちだ?あたこんばんは。どこ行けばいいんだ?これこっちか?今日ちょっと時間ないねん。今日はもう
[00:07:24.599] 12時で寝るぞ。12時で
[00:07:28.400] 少し早口なのおもろい。
[00:07:32.120] うん。もうこれクリアせなあかんねんから。もうこれが噂に聞く風の裁談。
[00:07:37.080] いい子じゃないんだから。
[00:07:38.360] そんな時間に寝るなよ。
[00:07:40.039] いい子とかじゃないねん。いい、いい子だしな。なんならお前つ、俺が
[00:07:44.039] 1番いい子やぞ。
[00:07:45.400] 俺が1
[00:07:45.800] 番いい子。配信者で。本当他みんな知らないと思うけど、他の配信者えげてないからな。他のみんなは知らないかもしれないですけど、他の配信者のは
[00:07:58.199] やで追い出されない。
[00:08:00.840] とんでもない。とんでもないよ。
[00:08:02.879] 本当にみんなが大好きなあの人もあの人もとんでもないことします。裏では
[00:08:08.000] てるやにもなやつなんていないよ。
[00:08:10.759] 暴ロ系配信者
[00:08:12.240] 暴露系配信者暴系配信者になろうかな。暴露系配信者になっていい?デスノートなんちゃらノートみたいな例えば言えないよ。コ太プリンこんばんは。
[00:08:25.479] 銃か。
[00:08:29.759] なんか風の精霊をなんか助けに来ました。風の精霊を復活させに来た。
[00:08:34.440] アイドルノート。
[00:08:36.200] あ、そう。アイドルデスノートみたいな。セファーナさんは少しないのに暴露系だけは絶対ならないでね。笑
[00:08:44.200] むしろ友達少ないからなれるまであるからな。失うもんないみたいな。嘘だよ。冗談冗談冗談冗談。
[00:08:52.040] もっとるよ。
[00:08:54.040] え、無敵の人やん。ま、冗談ですけどね。ま、冗談ですけどね。冗談、冗談。みんな、みんなとてもいい人です。はい。え、誰です?私を呼ぶのは誰ですか?聞こえませんか?この声が。懐かしくて優しくてどこか懐かしい。どこから懐かしい声が聞こえてくる?
[00:09:16.360] あ、や。
[00:09:18.200] あ、フィリアってあれじゃないの?あの過去の、過去の世界のやつやんな。
[00:09:22.200] もう今日ほんま、もう今日もう本当がっつりゲームにのめり込んでいくからよろしく。余計な話しないから。今日もがっつり進めていくぞ、今日は。あ、
[00:09:34.959] え、
