[00:00:31.199] おしゃ、毒。
[00:00:40.079] うい。お疲れ。
[00:00:46.000] バニシャス。よろしす。緑やな。
[00:01:03.280] Bアンビシャス
[00:01:09.080] 花金なので2本酒飲んでます。ちょうど
[00:01:11.600] 見るものなかったから助かった。今日も
[00:01:14.479] クロティ
[00:01:19.799] 配信お疲れ様でした。
[00:01:28.320] も数おつおつおつおつっしゃどこって言ってたっけ?いや、今日もれったな。
[00:02:05.799] レイド先ないんだな。それがアジアン
[00:02:08.959] バニー
[00:02:13.160] 終わっちまったか。
[00:02:16.280] カールスミレ
[00:02:24.760] チャマドベリーベリークテファせあの反応しずれえド先は精らしいのお姉ちゃんに買ってもらったトンの尺みた
[00:02:45.720] あれちゃう?スズもってわけわからん
[00:02:48.280] スピリチュアルなこと言うおばちゃんの
[00:02:50.239] とこ行ってなかったっけ?レド先うしゃ
[00:03:11.040] バタフライ行くわ。
[00:03:13.560] あ、終わりか。お疲れ様でした。今日肌
[00:03:17.480] 寒いからTシャツはないんじゃない?
[00:03:36.599] デブは肉着てるからね。おら、みんな
[00:03:39.120] ポイント出せ。料理配信だ。サーモンド
[00:03:41.879] おかきを当てにして飲んでるけどこれうま
[00:03:44.159] すぎないか?
[00:03:58.159] 今日は料理配信か。
[00:04:07.560] 久しぶりに食ったけどこれやばい。多分
[00:04:09.959] 麻薬入ってる。
[00:04:33.039] 絶妙に全員が違う話してるからどう
[00:04:35.919] 立て読みしたら助けてになるのか考えてる
[00:04:38.680] 。今日クりと聞いて。スクイッド1
[00:04:42.000] スクイッド2スクイッド3
[00:04:48.680] 来た
[00:04:52.600] す。
[00:04:59.440] 花金
[00:05:04.199] パーカーだ。あ、可愛い。
[00:05:06.240] 隠されたメッセージ作っても酔っ払いが邪魔しちゃうよん。うお、ファンシーアバンド来ちゃ。
[00:05:13.240] はい、どうもこんばんは。幕けやな顔やめて。
[00:05:20.440] どうもビンビシャスのチまゲームです。どうもこんばんは。はい、やりますよ。今日も今日ちょっと僕お休み、
[00:05:27.319] お休み、お休みモードのチャゲームで行きますけどもね。今日はね、あの、
[00:05:32.479] お休みモードで行きますけどもね。
[00:05:34.479] あややトゥやね。
