[00:00:50.559] うしゃっす。
[00:01:02.719] チマキお疲
[00:01:05.040] アニメ
[00:01:30.200] 配信お疲れ様でした。
[00:01:51.520] また明日。
[00:02:35.599] どこヘレード行くかな
[00:04:06.200] ສ
[00:04:45.960] ポリメガおじさんこんばんは。
[00:04:58.520] です。どうもこんばんは。どうも
[00:05:00.360] ジャムゲムです。はい、やります。すい
[00:05:03.240] ませんね。遅くなっちゃいました。夕方
[00:05:04.479] からやろうと思ったんだけど夕方から
[00:05:06.280] やろうと思ってたんだけどなんかあのあの
[00:05:09.280] あれだな。えーたつンタッツンと飯行って
[00:05:13.919] てタッツンと飯行っててラーメンラーメン
[00:05:16.120] 食いったんだけどラーメン食いったら
[00:05:19.080] なんか
[00:05:21.120] なんかあの今日腹減ってたんだよ。
[00:05:23.360] で、朝食ってないし。いや、もう今日たまにはチートデーだと思ってラーメン屋行って、もう大盛、大森みたいの頼んだの?大森みたいの頼んだらすりバチで出てきて。あ、びっくりしたね。
[00:05:38.919] あれ
[00:05:40.039] しょぼんうお
[00:05:42.479] すりバチで出てきて
[00:05:44.639] いや店員さんあんなでかいのどこ持ってくんだあれと思ったらこっち持ってきてさすげえビって吐きそうになりながら食べてでも残すわけにいかないからだっつんにもちょっと食べてもらってなんとか食べ終わしてもう血糖値スパイクで帰ってぶったれてたでもう今日は朝食べてないし昼で夜食べてないすいませんちょっとね夕方つけたかったんだけどちょっともうダメだった無理やったやった糖
[00:06:08.520] が上がりすぎてということでやっていきますよ。
[00:06:11.599] 腕細なったな。
[00:06:13.280] やってきますよ。本当腕くなった。腕そんな変わんないと思うけど。ま、やってきますわ。え、はっこんばんは。え、芋こんばんは。もこらこんばんは。え、え、しもしもきんちゃんこんばんは。しもきちゃんこんばんは。え、
[00:06:26.639] Cさん。
[00:06:28.319] え、もら、こんばんは。え、イボこんばんは。え、たきこんばんは。えーかな?うんちゃん、こんばんは。
[00:06:36.680] とことで今日もやっていくぞ。うす。あの、その前にね、あのね、うん、ポリメが、ポリメが予約したわ。ポリメが結局予約しました。悩みに悩んでバカ悩んで予約しちゃいましたので
[00:06:54.080] 草。
[00:06:55.000] いやあ、4万3000円ですわ。4万
[00:06:57.280] 3000
[00:06:59.000] ちパチパチパチ。
[00:07:00.960] 1
[00:07:01.080] 台でいいのか1
[00:07:01.840] 台でいいよ。1台で十分だよ。
[00:07:04.400] 1台で十分だ。バカたけえ。ま、結局
[00:07:07.080] ちょっとまあでもこの機会逃したら多分
[00:07:09.319] 買えなくなるからね、あれ。
[00:07:12.120] ま、そういうことですわな。ま、配信で
[00:07:14.160] 使いますから。うん。配信で使えばいい
[00:07:16.080] でしょ。配信で使ね。配信でたくさん使っ
[00:07:19.840] て、え、ビッツやらサブスクやらでね、
[00:07:23.759] 稼げばいいんですよ。
[00:07:26.599] 減価すればいいんだ。それとな、原価すれ
[00:07:29.360] ばいいだけの話なんだから。ど、また高く
[00:07:31.720] 、
[00:07:31.800] また高くなるだろうね。
[00:07:32.879] いや、多分今、あの値段で帰今だけだよ。多分またすぐ高くなるよ。うん。高くなる。どうせまた反動反動体。ああ、ダコーダモジュールは別にね、ぶっちゃけね、レトルフリーあるからいいんだよね。そっちは。
[00:07:47.039] リトルゲーにわとしたらポリミカってどんな強みがある?まずまずあのあれだね。あのディスク系のゲームディスク系のゲームが全部できるっていうのがディスク系のゲーム
[00:07:58.680] CDね。あのプレステ2とか、え、
[00:08:01.360] ドリームキャストとかできないんだけど、
[00:08:03.080] え、プレステ1サガサターンPCエンジン
[00:08:05.639] CDロムロム、えー、メガCD、え、あと
[00:08:09.159] 何だっけ?えー、あと何がある?まあ、
[00:08:11.199] なんかそういう系の、そういう系のCD
[00:08:13.800] ディスクゲーム、ま、ちょっとレトロゲー
[00:08:15.520] のCDゲームってのが全部できるんだな。
[00:08:17.639] それがめちゃめちゃ強い。なんでかって
[00:08:19.159] 言うと、それを今動く実機で揃うとしたら
[00:08:22.639] もう何十万じゃ効かないから。何十万じゃ
[00:08:24.960] 効かないから。
[00:08:25.360] ちゃんと動く状態でちゃんディスクゲームってぶっ壊れてんのよ。今どの中古品買っても綺麗に動くってのはまあないのよ。
[00:08:34.399] ど
[00:08:35.360] あ、ネオジオCDだ。ネオジオCD
[00:08:37.240] でもあんま正直ネオジオCD
[00:08:38.399] は興味ないんだけど、俺あんまりあの、あんまりあの、アーケード通ってきてない人間だから。そうだから
[00:08:44.080] 折り目が来たらマゲドンする。
[00:08:45.560] マゲドンもできるし。そう。で、しかもディスクゲームってロードが長いのよ。めちゃめちゃロード長くて。この間だもさ、ラストハルマゲドンのなんだっけ?アフターハルマゲドン外伝。
[00:08:54.120] あのメガCDのやつやろうとしたらさ、
[00:08:56.320] ロードが長すぎたじゃん。なんか戦闘入る
[00:08:58.279] たびに10秒ぐらいロード入って、あれ
[00:08:59.800] さすがにこれ配信じゃできねえなと思って
[00:09:02.079] やりたかったんだけど、でもそれね、あの
[00:09:04.519] できるし早くなるし、しかもあ、なんて
[00:09:06.920] 言うの?そのディスクをあのなんて言うの
[00:09:09.680] ?あのポリメガアップのん中にその
[00:09:11.839] インストールしたらもうディスク使わなく
[00:09:13.399] ていいんだよ。それがめっちゃいいんだよ
[00:09:14.760] ね。俺みたいにコレクターなんかはさ、
[00:09:17.600] あのあんまりディスク出し入りしたくない
[00:09:19.760] んだよね。あの傷つくし。だから1
[00:09:21.920] 回やったら、ま、あ、レトルフレクと一緒だな。な、めっちゃ強いでパソコン内に全部つでも遊べるようになるからグーなわけですよ。あと配信で実機をいちいち繋なぎ直したりしなくていいっていう。それがめっちゃでかいわな。
[00:09:36.200] なるほど。
[00:09:37.040] めっちゃでかい。それが、それがめちゃめちゃでかい。
[00:09:39.079] あの、毎回毎回実期ここでさ、ゲーム
[00:09:41.839] 変えるために64繋げたりとかさ、なんか
[00:09:44.360] PCエンジン繋げたりとかめんどくせえん
[00:09:46.079] だよ、この毎回配信前にさ、新しいゲーム
[00:09:48.519] やる時ってそれができな、やんなくて済む
[00:09:50.839] からめっちゃいい。最高。いもこも買っ
[00:09:53.920] ちゃえよ。いいぞ。お、そしたらあの
[00:09:57.399] スナッチャーもできるぜ。スナッチャーも
[00:09:59.320] できるぜ。買っちまえよ。おめらも全員
[00:10:01.000] 買え。
[00:10:02.920] 全員買おうぜ。めっちゃいいぞ。マジで
[00:10:04.880] ゲーム屋さん行くのははどるぞ。全部の
[00:10:07.040] ゲーム見れるようになるから。
[00:10:08.360] ま、そんな感じですわね。そんな感じです。ま、俺は配信で楽したいっていうのと、ま、あとはなしす
[00:10:13.880] うスやりますよ。うスやりますよ。りさん、お疲れちゃん。結局買ったよ、俺。結局ポリメが俺も予約しました。ウェイお疲れ。
[00:10:21.600] ペペペロンお疲れ。ペロンお疲れ。
[00:10:22.920] 買いました。
[00:10:23.480] リミックス俺も買った。リミックス俺も買ったわ。リミックス結局俺も予約した。ミッシャんもこんばんは。ミこんばんは。ペロンも疲れやってくぞ。うすな。やってきますけどもね。もう早速やっとくか。
[00:10:36.480] もうちょっと今日明日ちょっと僕エバコンでちょっと朝早いんであんまちょっと長くできないんすよ。あんま長くできないんでちょっともう今日サクっとやってまあクリア俺本当は予定だ。今日クリアするはずだったんだけどな。
[00:10:50.079] 今日山岡屋のカップ麺買った。
[00:10:52.240] 何それ?山岡の屋のカップ麺なんかあんの?山岡目なんかあるんだ。袋面はあるよな。山岡屋
[00:11:01.680] 臭そう。
[00:11:02.680] せラーメン3つ蹴った。山まおっか屋で
[00:11:07.639] 3つ蹴った。で、山のように沈。
[00:11:09.760] あ、そうなんだ。そうなんだ。カップ麺食わねえんだよな。カップ麺ンって全然食わねえわ。
[00:11:15.240] 1
[00:11:15.360] 人暮らしになってから食わなくなったわ。カップ麺食う食う時なくない?なんかいあまりにも俺デブすぎてカップ麺
[00:11:23.480] 1つで晩御飯にならないんだよ。
[00:11:25.959] ないのにその体型も
[00:11:27.240] だからちげえって。
[00:11:28.200] だからカップ麺ってあのご飯ご飯にならないんですよね。デブすぎて。あれガップ麺
[00:11:37.200] 1
[00:11:37.320] 個買ってきてじゃあ夜ご飯これです。じゃ、済まないんだよね。だからあれどのご飯にもならないしおやつにしてはなんかやりすぎだしなんかわかんないんだよね。存在意義が。はい。やってきます。よろしく。よろしく。皆さんまず見てください。
[00:11:55.959] あ、配信外で3600
[00:11:57.240] 円貯めてきました。はい。
[00:11:59.399] 配信外で3600円貯めた。
[00:12:01.519] だよ。こんばんは。のり派だと思ってた。うお。仕事が早い。
[00:12:08.680] 3600
[00:12:09.200] 円貯めた。さらにさらにさらにここからさらにこっからあの
[00:12:14.880] 30
[00:12:15.120] 分ぐらい貯めるわ。もう今日マジで行く。今日マジで行きに行っていい?行きに行っていいか?行きに行く。
[00:12:23.360] 行く。
[00:12:24.320] 行きに行くぞ。
[00:12:25.040] 今日行きに行く。行きに行くぞ。今
[00:12:28.920] 9999
[00:12:30.600] 以上たまらないのかな?
[00:12:31.920] どうなんだろうね。はい。あの向こもう向こう
[00:12:36.120] 1
[00:12:36.279] 時間これが続くからな。今日はもう向こう
[00:12:39.279] 1時間これが続くと思ってくれ。
[00:12:42.000] 生き生き生きりキ
[00:12:43.519] 危ね。生きりキりキ
[00:12:48.399] TV。
[00:12:48.680] あ、これたまにダメージ食らうんだよ。
[00:12:51.000] シンになってる。
[00:12:51.959] やる動きがね、なんかほらほらほらほらこうことになんのよ。で、時折り回復してやんないといけないんでせっかく貯めたやつも
[00:12:59.279] このBGM
[00:13:00.000] が頭から離れない。攻率めっちゃええな。
[00:13:04.199] いや、でもここ結構しくるんだよ。結構しるんだよ、これ。あね、なんかね、ジャンプ押してもね、なんか反応しない時あるんだよね。ゲームの仕様なのかなんかね、反応悪い時あるんだよね。で、当たっちゃうんだよ。何回かに
[00:13:21.040] 1回。
[00:13:22.320] そうすと体力回復しなきゃいけなくなって
[00:13:27.000] 結構大変なんだよこれ。
[00:13:30.000] いや、ポリメガリミックス楽しみやな。
[00:13:33.519] 楽しみやな。
[00:13:36.360] またはどるぜ。レトロゲーアさりが
[00:13:43.800] ネオジオCDって何があるの?俺やった
[00:13:46.079] ことないんだけど。ネオジオって
[00:13:48.839] アーケードゲーム取ってきてないからさ。
[00:13:51.560] せっかくできるんだったらなんかなんかちょっと探してみようかなと思うけどなんかネオジオってサムスピとかさガロ伝説とかだよね。
[00:13:59.600] 君もインストール配信と
[00:14:01.240] そうだよ。よなよなよなよなインストール配信するぜ。多分めっちゃ時間かかるからな。
[00:14:08.120] どこのハードなの?
[00:14:09.600] SNK。待って。
[00:14:11.320] SNKって
[00:14:13.639] SNK
[00:14:14.360] ってあのあれな、あのガロ伝説とかの格ゲ作ってる会社
[00:14:20.040] ならありどこの会社なの?
[00:14:22.000] だからSNKだよ。インスコ配信頼
[00:14:25.639] だからSNKだって言ってんだろ。
[00:14:28.320] ダブル
[00:14:30.160] 全然通じてねえじゃねえかよ。
[00:14:31.639] 耐久全ソフトインスコ終わるまで寝れまて。
[00:14:34.399] いや、もうとんでもない量あるからな。
[00:14:36.720] とんでもない量あるからね。で、
[00:14:39.920] サウジが買収したんだっけ?
[00:14:41.720] え、サウジが買収の?え、そうなの?何?サウジって?サウジアラビア何?サウジって誰?サウジってんの?何の話?
[00:14:50.480] SNK
[00:14:52.680] だ。俺格ゲやんないからな。
[00:14:54.560] SNKって格ゲなのよ。
[00:14:57.519] サウジアラビアの王子。
[00:14:59.079] ええ?何それ?なんで?
[00:15:02.079] サウジの王子だよ。ええ、なんで
[00:15:08.199] 月だから
[00:15:10.480] チ期だからあなたのことがチ期だからね。とりあえず
[00:15:20.480] 5000
[00:15:20.880] 貯めていいか。ああ、当たる。とりあえず
[00:15:29.040] 5000貯める。
[00:15:32.600] 株はサウジアラビア交代使の財団が
[00:15:35.160] 100%保有。
[00:15:36.519] へえ、すごいな。ま、ネオジオ
[00:15:42.040] CDは僕1
[00:15:42.800] 枚も持ってないんで多分やることはないと思う。欲しいゲームないし。ネオジオ
[00:15:47.839] CD
[00:15:48.199] って。あたモジュールを買うかどうかだよな。
