[00:00:29.560] ああ
[00:00:36.960] うい。お疲れ。ハギーやりハット。
[00:00:54.440] 色ハぎやりハットハギーやりハットセカジ
[00:01:02.239] Gなので座して待ってました。
[00:01:04.879] セームスゴッド
[00:01:06.560] エボ
[00:03:06.040] เฮ
[00:03:43.400] カ無料とでも言いましょうか。これはちょっとね、世間は許してくれよ。
[00:03:58.159] たまにエボたにエボたまに
[00:04:03.319] 5分なっけえ
[00:04:53.720] はい、どうもこんばんは。はい、やってます。
[00:04:58.160] こんばんは。
[00:04:59.360] やりま。
[00:05:01.759] はい、どうもこんばんは。
[00:05:03.360] ゲームです。じじです。です。
[00:05:06.759] おいでね、
[00:05:07.880] の部屋じゃない。
[00:05:08.880] え、どこ?
[00:05:09.880] 今日はね、え、どこ?
[00:05:12.759] 今日はチマゲームのリビングより、え、お送りしていただきます。
[00:05:18.720] あれだ。リビングだ。
[00:05:20.919] 行きますね。
[00:05:23.759] です。
[00:05:25.960] 声とか大丈夫すか?声の大きさとかなんかいつもと違うから。
[00:05:29.520] 年齢は今何してるの?
[00:05:32.400] 年齢は
[00:05:33.080] AVのAVのあれじゃない。イン
[00:05:36.520] こういうのは初めて?
[00:05:38.280] こういうの初めて
[00:05:39.440] 緊張してます。
[00:05:40.600] 緊張してます。あ、今日は
[00:05:42.800] え、じんちゃんとゲームやる枠ということで、
[00:05:45.919] あ、関合あってる。どうやった?こいつと横にいると俺がどんだけで合ってるから。あってるから。
[00:05:51.960] あってるからね。あってるから。ということで今日はねやりますから。
[00:05:55.319] こちらね、え、モンスターハンターセカンド、え、ポータブルセカンド
[00:06:00.560] Gやっていきますんで
[00:06:02.639] よろしくお願いします。
[00:06:07.479] 懐かしいぜ
[00:06:10.639] しゃろ。やりますかね。あの、こんばんは。パチパチパチやりますか?懐かだいぶ懐かしいよ。ちゃんた
[00:06:21.160] 懐かい。これ説明しやばい。
[00:06:22.960] やばいよな。やばいよな。
[00:06:24.199] あの、じんちゃん棒読み聞こえてないから
[00:06:26.680] 左の方ました。じんちゃんにあれ見せた?あれ?
[00:06:32.840] あ、そうだ。忘れてた。
[00:06:33.919] 草。
[00:06:34.319] モコラがそやね。た、
[00:06:36.919] モコラがね、3Dプリンチャーでね、
[00:06:39.520] 俺らあれ行ったじゃん。モンハンフェス。
[00:06:41.280] あ、行った。
[00:06:41.960] 俺配信であれ話したんだよ。
[00:06:43.479] うん。
[00:06:43.880] あまりにもじんちゃんがかわいそうすぎるってことで、モコラが
[00:06:48.280] 3Dプリンターで
[00:06:50.319] なんか作ってくれたよ。
[00:06:54.160] ああ、やべえ。見してカメラ。
[00:06:58.759] これなんとね、これ誰?
[00:07:01.520] なんでお前がわかんねんだよ。
[00:07:02.599] 誰じゃない?俺誰だ?
[00:07:04.120] え、なんかこれ
[00:07:05.520] すごい。
[00:07:06.000] これくっつくんだよ。あのさ
[00:07:11.080] おお。あ、レダウだ。
[00:07:15.240] 見せて。
[00:07:15.840] レダウ。
[00:07:16.759] すご
[00:07:17.960] れ。
[00:07:18.440] レダウ。
[00:07:19.919] ちっちゃいフィギュア。
[00:07:20.599] これさ、すごない?これあの
[00:07:23.199] 3D
[00:07:23.639] プリンターでこんなに成功にできるんだぞ。
[00:07:26.120] すげ、すげえ。
[00:07:27.080] すげえな。
[00:07:27.919] すげさんありがとう。
[00:07:30.560] なんで
[00:07:31.360] もこらさんありがとうて名前
[00:07:34.319] レオけ
[00:07:36.560] 楽しいおもちゃです。
[00:07:38.160] あとはあいつうんと
[00:07:39.400] これはポってないからわかんねえや。うんと
[00:07:44.599] ポーチ
[00:07:46.199] ポ
[00:07:46.520] あ、ポーチ取れてもらえなかった。
[00:07:47.479] もらえなかった。
[00:07:48.720] 俺たちは10人ぐらい前で終わった。
[00:07:50.560] ポーチの話はするな。
[00:07:53.400] ポーチもらえなかった。これ、
[00:07:54.240] これ、これ、これ。
[00:07:55.440] もう白だから白飛びしちゃってあれだ。
[00:07:57.479] 笑笑。
[00:07:58.080] 白だから白誰は?
[00:07:59.919] これはあのあれメインかもあれかギュアじゃなくての首の壁に飾るやつのレダウ番か。
[00:08:08.120] アルシメトよりいいね。で、
[00:08:11.639] 種キーホルダーよりいいわ。種キーホルダー。これほら、あれだよ。
[00:08:16.599] あ、冷蔵庫にペタ。
[00:08:18.080] ま、冷蔵庫とは限らないけど。ま、
[00:08:19.720] あ、なるほどね。
[00:08:20.960] モンスター多すぎてパッと名前出てこない問題。
[00:08:24.800] あとなんかこうキーホルダー。あ、え、待って。え、何?キーホルダーもあんの?
[00:08:29.319] あたちだから。
[00:08:30.759] ああ、やばい。これは、これは、これはあのバ、こっちか。
[00:08:36.560] いいよね。
[00:08:37.200] すげえ。
[00:08:37.919] すごいよね。
[00:08:40.240] で、俺、俺、俺からの俺、あの、これ、あの、エヴァの、あの、こい言ったらなんかあったからガチャガチャな何回やつモンハンの
[00:08:49.040] よくわか捕獲だ。
[00:08:51.839] 1
[00:08:52.040] 回400円もしたからね。けえよ。
[00:08:54.640] 俺これ5いっぱい持って5
[00:08:56.040] ぐらい。いっぱいいっぱい持ってた。
[00:08:57.720] こいつは持ってない。こいつは持ってない。
[00:09:00.040] あの、カエルは持ってなかった。
[00:09:01.200] あ、そうなった。
[00:09:01.839] うん。ありがとう。
[00:09:03.240] かわいそうだったからね、あまりにも。
[00:09:04.600] ということで今日はね、モンハンやってきますんで、もうここでもうだ、結構長丁場やね、多分。
[00:09:11.480] いや、長くな、
[00:09:12.079] とりあえずは持ってきた。長くなると思
[00:09:14.760] じちゃん。スイッチ持ってきただって。スイ
[00:09:17.880] 俺、俺の、俺のやつ。
[00:09:19.279] え、まだsイ2
[00:09:20.079] 買ってないからまだ予定はあるから。なんか
[00:09:24.880] 何倒すまで終われ待て。
[00:09:26.399] 今日ねもあれだよ。
[00:09:27.760] とりあえず目標はっていうの集会上会
[00:09:33.399] 回
[00:09:33.880] を1
[00:09:35.360] 回クリアできればな上位までやれればいいなと思ってで上次やる時は上位からやろうかなみたいなそんな感じだから結構時間かかると思うんだよねみたいなカールすみれ
[00:09:46.519] 多分戦うことになるよね多分ねア悪空カンタックやって
[00:09:50.600] うん悪空カンタックねじゃもういい初めてあじゃちょっとお酒
[00:09:55.160] たいの
[00:09:56.120] 今日あのお酒で
[00:09:57.360] です。今日お酒です。さん、おは、もうお泊まり?
[00:09:59.760] 今日お酒。今日もうお泊まり。うん。
[00:10:01.760] りです。うん。
[00:10:03.360] お疲れ様。えい。
[00:10:06.240] あら。
[00:10:07.240] うん。
[00:10:08.640] エちやん。
[00:10:10.000] ああ、
[00:10:12.000] エチやん。
[00:10:12.760] エチやな。エチやな。ということで今日はもうモンハンです。
[00:10:17.240] 何がアップスープレッティだよ。くンズほぐれずのやつね。
[00:10:23.160] ミプサミク叫止り何も起きないはずもなくわかんなうん。
[00:10:32.160] 男2人1つ屋根の下何も怒らないはず
[00:10:35.880] ということでやってみます。なんかあの音とかなんか普段とあのあれが違うからなんか適義教えてください。敵義で今日ね
[00:10:43.920] PSP
[00:10:44.399] 実機で実機でやりますけども今回ねこれあの
[00:10:48.959] ありがとう。8
[00:10:49.959] から借りました。ありがとう。8
[00:10:51.519] ほんまありがとうね。8
[00:10:52.959] ほんまありがとうね。あの俺らモンハンやりたいっつったけど
[00:10:56.360] PSP
[00:10:57.079] 買わなきゃっつってさな。値段値段調べたらビビって
[00:11:00.560] 1万以上するから
[00:11:02.519] すごい反やけのやつ買りました。
[00:11:05.720] 笑笑
[00:11:08.519] 僕のPSがじゃあやる
[00:11:11.399] やりますか。
[00:11:12.200] ちょっと最初さ、一緒にオープニング見ようぜと
[00:11:14.079] よかった。よかった。ペぺペつってね。そこ指と小指つや。一緒のじゃねえと見れねえからね。
[00:11:20.880] ちょっと待って。
[00:11:21.720] ちょっと待って。変えるよ。え、
[00:11:23.320] あら、それちゃポでプレゼント
[00:11:25.560] なけねえだろ。えっと、じゃあやっていこうかな。やってきますか。行きます。
[00:11:33.000] ふざけるな。
[00:11:34.200] え、ちょっと待ってね。今画面ちょっとね、画面もね、いつもと違うからね。
[00:11:41.279] とりあえずこれでいい。これでいいよね。これ、これで分かるよね。何やも入ってないんだから。めっちゃ綺麗なプスプすごい。
[00:11:50.600] 久々やで。
[00:11:52.120] 久々だ。
[00:11:53.600] もうこの曲が
[00:11:54.680] やばすぎる。
[00:11:56.920] やるぜ。
[00:11:58.639] いや、この動音がやばいよな。やばい。
[00:12:01.839] おお。
[00:12:02.880] 夏オープニング見ようぜ。ぶりだろ?俺これやんの?俺もいつぶりだろ?夏
[00:12:12.279] プスプモンハン
[00:12:13.360] なっち。わさんこんばんは。みん、皆さんこんばんは。俺挨拶全然しなくて。
[00:12:16.480] こんばんは。
[00:12:18.880] やばない?
[00:12:19.959] やば。
[00:12:23.600] いや、これえぐい。音大丈夫?みんなちっちゃいかな?ま、ちょっとやりやり敵やりながらでえぐいね。夏高校生。いや、中学生だ。
[00:12:34.959] もう夏い。
[00:12:36.320] 中学生の時だ。
[00:12:37.079] 中学生か。
[00:12:37.880] うん。
[00:12:40.880] あれ、これアイル来たの?ここ。こ、ここから。
[00:12:43.399] ここからか。
[00:12:43.959] ここから悪魔アイルって流行ったよ。
[00:12:45.920] まあ、今のところはオけ間にゃお。
[00:12:48.360] いたいたいたバカなち。
[00:12:50.800] よいよい
[00:12:52.320] よいよい村長な。よいよな。やなつ。
[00:13:04.199] えぐい。なんか考え深いな。
[00:13:11.600] マカライト鉱石
[00:13:12.880] なちマカライト。
[00:13:16.000] で、ま、じんちゃんはだって普段やってるからさ。まだ出るでしょ。マカライトって。
