[00:01:40.439] エボ
[00:01:44.960] BGMいいね。
[00:02:07.960] 今日は何色だろう
[00:03:08.680] ສ
[00:03:10.720] おそらく深
[00:03:31.080] オレン
[00:04:39.120] まだクリアしてなかったんだ。はい、どうもこんばんは。うい、どうもちゃまかです。ちゃまゲームです。はい、やっていきます。どうもこんばんは。
[00:04:58.520] くロじゃん。ジム帰りやめてね。
[00:05:02.520] いや、別に関係ない。それは関係ないんだけど。はい、どうもこんばんは。え、ぺってこんばんは。
[00:05:07.199] めてみた。
[00:05:07.759] え、はちこんばんは。え、綾こんばんは。え、みちゃんこんばんは。え、しさんこんばんは。
[00:05:14.160] え、うんちゃんこんばんは。ということでどうもこんばんは。やってきます。はい、今日スね、なかなかやってきましたけども、こちらね、あの、最終回でございますよ。最終回
[00:05:26.479] 2です。
[00:05:28.600] 前回クリアできなかったんで。前回クリアできなかったんで。
[00:05:32.000] 野郎。
[00:05:33.000] 前回クリアできなかったんで、今日ちょっとやらせていただ。今日マジでもうサクっとクリアしますんで。
[00:05:37.840] 最終回3部作
[00:05:39.000] よろしくお願いします。よろしくお願いしますね。もう今日はもうラスステから行きますけどもね。あのあ、てか前回のあのじんちゃんとのモンハン配信ありがとうございました。まあもろかったな。
[00:05:56.080] ま、おもろかったはおもろかったよね。おもろかったおもろかったな。うん。ちょっと見立て甘かったな。ま、見立ては甘かった。うん。興味。うん。
[00:06:05.039] デートどうだった?
[00:06:06.280] いや、デート良かったよ。よかった、よかった。うん。デート良かった。うん。デートよかった。
[00:06:09.919] 個人的に大満足でした。です。あ、かってくれたらまだもうモンハンはいいかもな。周りは大好評だった。
[00:06:18.599] モンハンはま、もういいかもしれません。ということでありがとうございましたね。あのポケあ、そう。
[00:06:25.919] マリオの映画見ましたよ。マリオの映画良かったよ。みんな見た方がいいわ。あれ、みんな見てないの?まだ。あれ見た方がいいよ。早く。めっちゃ良かったで。
[00:06:36.199] お疲れ。
[00:06:36.840] めっちゃかったで。ペロお疲れ。
[00:06:38.560] あ、見た、見た。そう。スーパーギャラクシー。スーパーマリオギラクシーザムーピー。ペロン使。
[00:06:45.080] どうせそういったや。うん。最後やで。もう最後良かったよ。最後最後最後良かった。最後最後ね。すごかったよ。
[00:06:55.879] 黙れ。
[00:06:58.360] いや、まさかね、あんな、まさかの最後でしたね。いやあ、素晴ら君。ゲーム原作の映画全部手放しで褒める。全部言う。
[00:07:07.720] あの、あのターもね、
[00:07:09.360] あの大失敗っていう、あの大失敗と言われたドラゴンクエスト
[00:07:13.479] 5
[00:07:13.759] の映画俺にとって名作。あれ超泣ける。あれ超泣けるから。あれ、あれ疲評してるやつもうぶち切れるわ。じゃあ作れよ。
[00:07:23.639] もっといいのじゃあって思うわ。ドラク
[00:07:26.080] 5
[00:07:26.280] の映画良かっただろ。クソ泣いたわ。で、今回のマリオも
[00:07:30.039] 最後のとこ神
[00:07:31.440] 最後なってるだけで幸せ。
[00:07:34.919] そうね。まずあのスクリーンから俺たちの好きな曲が流れてるだけで神ね。神の神なんだよ。もうめっちゃ良かった。ドラもうマリオね。だからネタバレなしでって言うとどこまで何言っていいかわかんないけどスターフォックス出んのよかったな。これネタバレじゃないからね。これはもう公式であの発表されてくる。
[00:07:52.080] スターフォックス出て出てきたわ。
[00:07:54.080] めっちゃかっこよかったね。FOF
[00:07:56.520] ックスでまたさ、foックスのBGMも
[00:07:58.879] 出るわけよ。流れんのよ。めっちゃ良かっ
[00:08:01.479] たわ。ま、俺ああスターボックスやった
[00:08:03.360] ことないけど。スマブラぐらいしか知ら
[00:08:05.400] ないんだけど。スマブラの知識しかない
[00:08:08.280] けど。スマブラのFoォックスックスの
[00:08:10.960] ステージのあので
[00:08:14.919] セクターZの曲セクターZセクターZ
[00:08:17.400] の曲か。
[00:08:19.280] てててててててててててててあのめっちゃかっこいい服んじゃん。めっちゃかっこいい吹かんじゃん。あれ流れてよ。パーパパパパパパパパパパパパパパパパラ
[00:08:32.039] マリオの1
[00:08:32.640] でモンキーラップ流れた時は興奮し
[00:08:35.039] あ、今回ドンキーは出てこなかったね。確かにドンキーとか出てこなかった。で、めっちゃめちゃくちゃ良かった。マジで見てください。本当に。あの、もう本当に見なかったら、見ないならネタバレするぞ、俺。いや、ぜひよかったら見に行ってください。あれ超良かったわ。うん。
[00:08:48.920] ね、もうあんまりネタバレなしでドンキー出ないん
[00:08:51.160] でドンキー出なかった。これネタバレま、そん回はいいだろう。ドンキは出なかった。
[00:08:54.920] こっそりドムで教えて。
[00:08:56.560] マジで教えるよ。じゃ、全然全然こまかに良かったで。またこれまた次回策あるね。
[00:09:06.240] コナの犯人派
[00:09:07.560] 次回作ありますよ。次回作絶対あるわ。ある終わり方してた。もう言わないけど。表詳細は言わないけど。次回作がある終わり方してたわ。
[00:09:18.040] じんちゃんもめっちゃ感動してたね。俺もめっちゃ出てない。
[00:09:21.399] なんだまだあいつって誰だよ。わかんないけど。わかんないんですけど。まあ良かったっすわ。でもじんちゃんはなんかあの昔のマリオしかやったことないから今回マリオ、今回マリオギャラクシーって最近割と最近のゲームのさ題材だったからさ、全然終わった後になんか前回ほど曲感動しなかったなって言ってさ。多分お前が知らないだけだよ、それ。俺はめっちゃ感動してたぞ。
[00:09:46.320] まだ出てないキャラ割といる。
[00:09:48.120] え、いるいる。え、まだ出てないキャラっていうか、ま、マリオだけで言ってもかなりいるんじゃない?まだわかんないけど。
[00:09:54.519] わかんないけど。うん。結構いるんじゃない?だって出たら今度さ、何なんか任天堂のキャラ他にも何でも出せるってまだかなり優秀良かった。でもね、マリオラクシーっていうより今回良かった点ね。俺も言ってリオギャラクシーやってないんだよ。知ってるけど。やってないんだけど。マリオギャalラクシーの映画タイトルオラクシーになってるけどな。全部森だな。
[00:10:15.800] 全部森全然マリオギャラクシーだけわかんなくてもめっちゃママリオ他の知ってたらめっちゃ分かる。めっちゃ良かった。
[00:10:21.320] 穴雪を感じたね。
[00:10:22.959] 穴雪を感じた。まあ若干ね。ま、確かになんとなく分かるな。俺穴よく見たことないけど。はい。あのマリオ
[00:10:31.480] USA
[00:10:31.959] のキャラめっちゃ出ててよかったわ。マリオ
[00:10:34.240] USA
[00:10:35.160] のキャラがめっちゃ出てたわ。それも良かったのか。ちゃんとファミコンのなんかしかもなんかちょっとしたファイアリオとかなんが。
[00:10:44.839] そん時のSE
[00:10:45.720] とかがファミコンの音なのよ。そのめっちゃ良かったわ。めちゃくちゃ良かったということです。はい。とこでウシャスやっていきます。ウシャスやっていきます。はい。やりますよ。今日はクリアしますから。
[00:10:59.800] イオンシネマ。
[00:11:00.760] もうさ、イオンシネマじゃない。イオンシネマじゃないよ。それオフ会
[00:11:05.519] 0人のとこじゃ。
[00:11:07.399] サクトクリアすべ。
[00:11:08.600] サクトな。
[00:11:15.880] こなみやってくぜ。やってくぜ。
[00:11:19.000] ボロピッケル持った。
[00:11:20.959] こんばんは。もう、もう、もう、もう。
[00:11:22.440] はい、よろしく。
[00:11:23.240] もう、もう、もう、もう、もう。こめちゃん、こんばんは。はい、よろしく。
[00:11:25.920] のポップコーンケース買って
[00:11:27.760] 7600
[00:11:28.519] 円だっけ?クソだけやつな。なんか色おかしく。色味おかしくね?色味おかしくねえか。これもこんなもんか。え、よしよし。あ、違う。
[00:11:41.240] あれだ。なんか変なあり入れちゃってんのか。ちょっとごめん待って。一瞬待ってね。え、一瞬ごめん待って。色明るくするフィルター入れっぱなんだ。ちょっと待ってね。ちょっとフィルター入れっ派だ。色方いらない。あ、治った。治った。治った。よしよし。ちょっとね、前回やっぱね、パソコン全部移動してあっちでやってたからさ。
[00:11:58.959] 次の次マリオやな。
[00:12:00.600] いや、どうしようかな。ちょっとじゃ、はい、やってきますよな。もう久しぶり。なんかめっちゃ久しぶり。よし。
[00:12:08.160] まあ、もう早速早速もうあのセーブデて読みますけど。セーブデて読みますけどね。どれだっけ?
[00:12:17.000] Bのペ。
[00:12:19.519] B
[00:12:19.720] のペだった。もう最終ステージからもうた。
[00:12:25.639] もう今日はもうサクとクリアしていく。サクとな。
[00:12:31.440] ま、多分さ、どうな、今からやったらすぐクリアできんじゃないんかな。どうかな。相変わらずロードが長い。
[00:12:45.600] 3
[00:12:45.839] 時までにはクリアしたい。余裕だよ。
[00:12:47.800] こんばんは。
[00:12:48.519] 余裕だよ。さん、こんばんは。あと2
[00:12:50.120] 週間やね。
