[00:00:12.799] ひい
[00:00:20.560] お疲
[00:00:26.800] ひとらる。お、嫌いだ。ぶアーカ。
[00:01:08.840] おはちゃまちゃまドンちゃにめ落
[00:01:17.400] マジか。
[00:01:50.159] なんだ?
[00:01:52.439] ち明。フェイント仕掛けていく。
[00:01:58.119] ちょうめ。
[00:02:18.120] ちっちゃい部分を隠すことでもに出てる気
[00:02:20.720] がするんですが気のせいですか
[00:03:11.440] さすがにひ僕ら行くわ。
[00:03:25.000] ひとら
[00:03:28.947] [音楽]
[00:03:33.720] サジラーはまずい。
[00:03:44.239] スターリン
[00:03:45.959] 人う。
[00:03:52.120] ですか?
[00:03:55.680] さじボ
[00:04:27.880] こんばんは。
[00:04:46.240] いず、どうもこんばんは。はい、邪魔
[00:04:48.120] ゲームです。はい、どうもこんばんは。
[00:04:50.199] やっていきますよ。今日から新しいゲーム
[00:04:52.800] やってきます。
[00:04:54.000] えっと、タイトルはちょっと言えないんですけど、
[00:04:58.028] [笑い]
[00:04:58.360] 久しぶりに覗いたらまた万覚悟すみさんこんばんは。
[00:05:02.160] 合勝
[00:05:02.880] 朝むさんこんばんは。やってきますよ。
[00:05:04.479] あすみやってます。やっ
[00:05:06.240] ちゃまげかっけ結果にごりつくのようです。
[00:05:09.163] [音楽]
[00:05:10.240] ということで今日は
[00:05:11.840] 理由は怖いから
[00:05:12.919] 今日は今日はというか、え、いもこんばんは。もこらこんばんは。に中こんばんは。え、みーちゃんこんばんは。え、ペロンこんばんは。
[00:05:23.960] こんばんは。りさんこんばんは。綾た
[00:05:26.160] こんばんは。え、チぞびこんばんは。
[00:05:28.840] シゼロさんこんばんは。え、ランディ
[00:05:31.319] こんばんは。あずみさんこんばんは。シ
[00:05:34.319] さんこんばんは。ということではい。今日
[00:05:37.600] はですね、新しいゲームやってきます。
[00:05:39.720] 今日からまた、え、こちらでございます。
[00:05:42.280] こちら。
[00:05:44.280] ええ
[00:05:46.520] 、[笑い]
[00:05:48.520] もう1発目から言えないんでね。えー、
[00:05:52.039] これです。[笑い]
[00:05:53.639] タイトルな何ですか?あすみや。あみや。み、
[00:05:57.919] これ今日これ
[00:05:59.400] これさじさえなんかさっきいいのあったな。さっきいいのあったんだよね。さぼクラー。さぼクラーの復活です。さぼクラーね。
[00:06:01.564] [笑い]
[00:06:08.880] どのくらいリスナーがされるのか。
[00:06:10.800] 本当だ。お前らもお前らも危ねえからな、これ。これ結構危ないと思いますよ。これさボクラーって。これ
[00:06:13.354] [笑い]
[00:06:17.840] ちょっと聞こえないす。
[00:06:19.120] さボクラーの復活やっていきます。
[00:06:20.720] よろしでもこれい障害者にも配慮します。さ僕ら始め。
[00:06:26.680] これね、あのさ僕らは始め。これ
[00:06:30.280] これあれっすよ。あの人やってるんでやってるって聞いたんで大丈夫だよっての聞いた上でやってますんで。これだってこれだってこれカプコンだからね。これ言っとくけど天下の天下のカプンコですから大丈夫でしょう。
[00:06:47.440] ということでファミコンの、え、これやってきます。よろしく。よろしく。頼ますわ。なんかね、なんかね、あの、あれだよ。
[00:06:58.160] ちくしめ。
[00:06:59.800] あの、
[00:07:01.680] き、
