[00:00:43.559] 向き合うき
[00:01:15.840] エボい
[00:01:36.520] 。お疲れ。
[00:01:44.479] ラ
[00:02:52.120] ぺ
[00:02:55.319] 料理配信したくないからって1週間も休む
[00:02:58.560] なんてちゃまだりえん。
[00:03:13.640] あと6%。
[00:03:20.720] そういうことだったのか。
[00:03:44.879] ペペチンさんがサブスクしました。
[00:03:49.252] [音楽]
[00:03:49.959] チマダリエンチまダリエンチまダリえんぐグ
[00:03:53.480] ぐーグーグ
[00:04:54.199] どうもお疲れ
[00:04:54.759] さん、どうもこんばんは。はい、どうもすいませんでした。
[00:04:58.199] 39[笑い]
[00:04:58.919] ヶ月目です。
[00:04:59.919] え、どうもすいませんでした。え、
[00:05:02.039] 1
[00:05:02.199] 週間ぶりの配信になります。はい、どうもこんばんは。ちゃまゲームです。やりますよ。やりますよ。どうも。
[00:05:08.080] パチパチパチ。
[00:05:09.520] えっと、えー、誰?ちょっと待って。ちょっと見えねえ。このハイプトレイン接近中が邪魔で
[00:05:17.080] 1
[00:05:17.240] コメが誰か見えねえよ、これ。えー、リさんお疲れさん。え、ペルお疲れ。え、にお疲れ。
[00:05:23.560] え、ペロお疲れ。え、中お疲れ。え、立つべお疲れ。女さんこんばんは。
[00:05:29.759] こんつは。
[00:05:30.479] はい、いもこんばんは。ということではい、どうもこんばんは。チャス来る。
[00:05:33.680] はい、どうもこんばんは。ジャムもゲームです。あの、なんか、あのさ、
[00:05:38.960] 1
[00:05:39.080] 週間ぶりになっちゃいましたけど、あのなんか俺が料理配信やりたくないから
[00:05:43.880] 1
[00:05:44.000] 週間休んだんじゃないかみたいなこと言われてますが逆だからね。逆だからね。
[00:05:49.319] こう休んでる間何してたかと言うとですね。なんでお疲れちゃん。
[00:05:52.440] ま、それだけじゃないんだけど、あの、あれですから、あの、キッチン大掃除祭りしてたんすよ。もしかしたらここ、もしかしたら来
[00:06:03.120] 笑笑
[00:06:03.919] あのキッチンで配信しなきゃいけないかもしれないなと思って。
[00:06:08.160] 笑笑ても決めてたじゃん。えらい。じゃ、とてもないけど配信に映せるような状態じゃなかったんですよ。
[00:06:15.974] [笑い]
[00:06:17.599] 配信に映せるような状態じゃなかったんす
