[00:00:36.280] うい。お疲れ
[00:00:38.920] 君か。
[00:00:44.680] 配信お疲れ様でした。また明日。
[00:01:29.880] しでんでんしでんでんしでんで
[00:03:34.120] ひら
[00:03:38.319] ゴードビテアゴードテアゴ
[00:03:40.959] てア
[00:04:11.200] ガードマン、ガードマンガードマンガードマお休み。ガードマお休み。ガードマお休み。
[00:04:43.520] ガードマニてんしコロちゃんはい、どうもこんばんは。じまくです。はい、どうも。
[00:05:02.919] はい、どうもこんばんは。やっていきます。誰?
[00:05:07.440] この女、この女、ま、この女いいんだよ。どうでもえ、どうも。はい。え、もこらこんばんは。え、うんちゃんこんばんは。えー、みーちゃんこんばんは。えー、いもこんばんは。え、ですかね。はい、どうもこんばんは。シさんこんばんは。はい、ということでやってきます。どうもこんばんは。ゲムです。
[00:05:27.039] あの、こな間だのね、こな間だの、あ、
[00:05:29.440] ニコ。ニコもこんばんは。こな間だのあの
[00:05:32.680] ガラちゃんの運動会ありがとうございまし
[00:05:34.639] た。見てくださって
[00:05:37.800] 見てたとみんな見てたんかな?わかんない
[00:05:39.800] けど面白かったっすな。面白かったっすな
[00:05:42.240] 。本当あの参加してよかったですわ。参加
[00:05:45.000] してよかった。おもろかった。ただあの足
[00:05:48.960] の裏がちょっと痛い。
[00:05:51.759] 宗教の理由で見れなくなんそうなの?何それ?何それ?宗教場の理由ってそんなあんの?お疲れ。
[00:05:58.919] あ、リビさんお疲れちゃん。リさんもお疲れ。まあまあまあまあまあ、あのまあまあ別にあのね、あの見てくださった方も見てくださなかった方もまあまあいると思いますけどもね。ま、またこっから僕はまた普通にあのゲームやってきます。こからやってゲームすござす。今日からやっていくゲーム。バーン
[00:06:16.680] 名縄飛び楽しかったね。うお。
[00:06:18.880] めちゃくちゃ痛かった。うん。
[00:06:20.360] ま、その話は、ま、配信しながら
[00:06:21.919] なかった、
[00:06:22.720] あの、感想ついて。いや、もうちょっとあのね、昨日本当は
[00:06:28.000] ダブル
[00:06:28.680] 本当は昨日ね、配信しようと思ったんだよ。なんか、ま、振り返りとかも兼ねてなんか配信しようかなと思ったんだけども、ちょっとね、もう疲れすぎて。疲れすぎてもう昨日もう体バキバキでなんかあの、そ
[00:06:43.560] じ
[00:06:44.280] そうなんだよね。そうなんだよね。なんか
[00:06:47.199] 新しいゲーム来た。
[00:06:48.599] ハ長お疲れちゃん。あのね
[00:06:51.160] かなんかか首回りがめっちゃ痛くてあの
[00:06:55.199] 一角中チャンバラってやったじゃん。あ、
[00:06:56.960] あれやったらなんか首回りめっちゃ痛くて
[00:07:00.960] なんか1日中違えたみたいな。今も
[00:07:03.000] ちょっとなんか肩痛くてさ。まあまあまあ
[00:07:04.919] そんな感じでちょっと昨日はダウンして
