[00:00:35.520] しぐしみょだな。うい。お疲れ。
[00:03:30.760] パクパクパクパクパクパく
[00:04:02.760] 。
[00:04:16.440] 色ハがむアム。
[00:04:17.639] 色ハがむアムハがむアムどうもこんばんは。い、どうも。はい。はい。まけです。ということでこんばんは。やってきます。やってきます。
[00:04:47.000] え、みーちゃん、こんばんは。え、もこら、こんばんは。え、ペロ、こんばんは。ということでね、
[00:04:52.199] 3名ということで、今日は
[00:04:55.400] 3
[00:04:55.600] 名ということで、視聴者が、ま、そういう時もありますわな。どうもこんばんは。やってきます。今日も
[00:05:02.280] こんばんは。
[00:05:02.880] やってきますよ。あ、しまさんこんばんは。しまさん、こんばんは。いや、
[00:05:05.639] 4名だに中君もこんばんは。今日も
[00:05:09.440] 京都でエルギーザやらせていただいてよかでしょうか?いで嬉しい
[00:05:14.360] ねよ。
[00:05:15.600] 服揃い。あ、今日、今日これやねん。今日これ来て、来てまんねん。なんかこれね、この
[00:05:22.639] T
[00:05:22.800] シャツさ、なんか結構いろんな配信者って
[00:05:27.080] 言ったらどうしました?
[00:05:28.039] ダめ、ダメ。知らん。ダメって言ってもやる。ダメって言ってもやる。この
[00:05:33.080] T
[00:05:33.280] シャツ結構いろんな配信者未だにさ、来てくれてて嬉しいんだよな。
[00:05:36.759] こないだ、あの、運動会出た時にヤッピー
[00:05:38.560] がさ、これわざわざ来てきてくれて、
[00:05:41.000] ヤッピーがわざわざこれ来てくれて、え、
[00:05:42.639] わざわざ来てくれてんだと思って、でも
[00:05:44.240] 余た前の週のさ、血鬼機集会の飲み会えの
[00:05:47.360] 時もこれ来てきたんだけど、もしかして
[00:05:48.800] ヤッピーTシャツこれしか持ってないかも
[00:05:50.160] しんないな。
[00:05:52.080] もしかしたら、あ、来てくれてんじゃなく
[00:05:53.639] てこれしかないのかもしんない。
[00:05:56.800] まあまあ分かりませんけどもね。分かり
[00:05:58.560] ませんけどもありがたいですな。
[00:05:59.759] ありがたいですな。この未だに来てくれて
[00:06:01.759] なしの金で買ったのかな。
[00:06:04.479] ま、群馬って、まあ、確かにな、あの、服屋なさそうだし。はい。開幕、開幕ドディスで始まりましたけど、開幕ドディスで、他の配信者のドディスで始まりました。すいません。嘘です。冗談です。やっぴな。やっぴごめんな。はい、ということでやっていきます。よろし。
[00:06:20.520] 群魔ブスとちぎ。
[00:06:22.280] 見にくいな。見にくい。北、北の王者結局埼玉には勝てないんすよ。結局埼玉には勝てないね。
[00:06:32.840] ほぼほぼ東京だからな。埼玉はほぼ東京だから。結局埼玉には勝てないから。
[00:06:38.840] こんばんは。改めて矢印すごかった。今日も行くで目立
[00:06:48.000] 35。ま、今日は多分もう10
[00:06:49.720] 時から始まっちゃったから無理だ。ま、もうちょっと神奈川とかちょっとうるせえ。神奈川はなんかちょっとさ、お互く止まってるとこあるじゃん。
