[00:00:36.879] バンはどうした
[00:01:12.040] てっきりウルトラマンクラブやるもんかと
[00:01:14.400] 。笑。
[00:01:58.159] 早いわね。こんばんは。
[00:04:52.520] はい、どうもこんばんは。ちゃまけです。
[00:04:54.960] はい、どうも。うわってなんで。うわって
[00:04:57.919] なんで。はい、どうもこんばんは。ちゃま
[00:04:59.479] ゲームです。よろしす。え、今日は、え、
[00:05:02.880] 珍しくこんな時間から、え、ちょっとやっ
[00:05:05.240] ちゃおうかなということで、え、やります
[00:05:06.800] よ。こんばんは。はい、えさん、
[00:05:08.639] こんばんは。え、うんちゃん、こんばんは
[00:05:10.199] 。え、もんちゃさん、こんばんは。はい、
[00:05:11.919] どうもやってきます。ちゃムゲームです。
[00:05:13.759] はい。はい。ということで今日も今日も
[00:05:17.919] チスよろしく。今日もエルギザ
[00:05:22.160] 、エルギザやってきますからよろし。もう
[00:05:26.080] ちょっとこれどうしようかなと思ってて
[00:05:28.400] クリアまでやるのかな俺。これ
[00:05:32.120] クリアまでやるのかな?60あるらしいん
[00:05:34.800] だけど。まだ30も行ってないんだけど。
[00:05:36.199] まあでまあいいや。まあまあでもまあやり
[00:05:38.160] ますわ。よろしく。今日ちょっと長めに
[00:05:40.479] 今日夜までやっちゃおうかな。夜までやっ
[00:05:42.600] ちゃおうかなと思ってますんでよろしくお
[00:05:44.560] 願いします。いや、昨日あのあれだな。
[00:05:48.160] 昨日飯蔵さんもいたけどあのえんちゃんの
[00:05:50.160] 配信ずっと見ててバカおれったな。
[00:05:53.600] ちゃんずっとこれあの仮面ライダークラ
[00:05:56.720] ブとんでもねえクソゲーをやつ見てた。
[00:06:00.520] おもろかった。めっちゃ笑った
[00:06:02.280] あれめっちゃおもろかったよな。めっちゃ
[00:06:03.520] おもろかった。ちゃんおもろいのになん
[00:06:06.759] 洞いんだけどな。皆さんぜひ見に行って
[00:06:09.039] ください。
[00:06:09.520] あの、なんか最近あの、レトロゲーマー、レトロゲーマーと貸しているんで彼はいいですね。俺はもうレトロゲーマーをもっと増やしたいわけですよ。
[00:06:17.960] Twitch
[00:06:18.400] にもう最近どんどんいなくなってくるからさ。
[00:06:20.800] 鬼の子、
[00:06:21.720] 鬼の子、鬼の子、鬼の子。応援しちゃってな。応援しちゃってな。よろしくな、みんな。めっちゃおもろいから。ということで、なんかじんちゃん、じんちゃん好きな人は多分好きと。はい、やっていきます。よろしくお願いします。
[00:06:35.800] ダブル
[00:06:36.560] やるよ。
[00:06:39.280] さ、今日も今日とテですよ。今日も今日とテねそうな。
[00:06:44.639] そうそうそうそうそうそうそう。はい、ということでよろしくお願いします。昨日違う違う。コントローラー間違えた。コントローラーこれじゃねえや。コントローラーこっちじゃねえ。間違えた。よいしょ。やるよ。今日売り進めればいいけどな。ガツ売り進めれば。
[00:07:07.039] いや、まジ昨日のさ、昨日のさ、あの
[00:07:12.120] 、ちょっと待って。G
[00:07:14.879] F
[00:07:16.479] DPG
[00:07:20.280] 昨日会社の飲み会えだったんだけどさ、
[00:07:22.080] なんくそもんなかったな。
[00:07:26.160] クソ思んなかった。で、あれ、ここだっ
[00:07:29.000] たっけ?前回最後ここだよね、確か。確か
[00:07:30.720] ここだったよな、あれ。ここ俺ここやった
[00:07:34.039] 気もするけどな。
[00:07:36.599] あれ?ここだった?ステージ27だったっ
[00:07:38.400] け?前回もう覚えてない。いいや、
[00:07:39.960] とりあえずここからやろう。多分ここや。
[00:07:41.440] ここからだと思うわ。
[00:07:45.479] 昨日飲み会えだったんだけどさ、なんか
[00:07:47.400] あの、もうなんかさ、望まない飲酒は良く
[00:07:51.479] ないよな。望まない飲酒。マルハラだよ、
[00:07:55.039] 普通に。全然普段酒飲まないのに。昨日
[00:07:57.800] めっちゃ飲まされてさ。
[00:08:00.360] 気持ち悪かった。マジで
[00:08:04.360] コップが殻なんねんだよ。
[00:08:05.759] 飲んでも飲んでもこれいいんかな。ま、とりあえずとりあえずやるだけやってみるか。わかんないけど。
[00:08:12.919] だからむくんでるのね。
[00:08:14.360] だ、むくんでる。デブなだけかもしんないけど。普通に最近また太った気がするんだよね。最近また太ったと思うわ。なんかさ、最近そういうの続いててさ、最近さ、運動会なん、どこからかな。
[00:08:33.519] 家族で飯食いって、家族で飯食いった時も
[00:08:37.200] がっつり食べたし、その次の週運動会やっ
[00:08:40.159] て、運動会の前の週は血会やって食べ
[00:08:42.959] ちゃったしで、
[00:08:46.440] 運動会の日は打ち上げでがっつり食べ
[00:08:48.680] ちゃったしで、今週はあの、今週はまた
[00:08:53.399] あれでしょ、あの、昨日の会社の飲み会え
