[00:01:00.879] ウイ
[00:01:04.600] お疲れ
[00:01:45.040] くくる。
[00:02:15.680] 出張しすぎぶ。
[00:02:42.000] 出張して配信はないだろうと思っていまし
[00:02:44.800] た。相方がいないから出張任されやすいん
[00:02:48.159] だろうな。
[00:03:01.560] ちょっと待て。
[00:03:32.640] この時間いらない。どうせ座って待ってる
[00:03:35.439] だけなんだから。
[00:04:18.160] 5分なっ
[00:04:41.560] せめて3
[00:04:42.240] 分半。はい、どうもこんばんは。ジムゲムです。はい、どうもこんばんは。やっていきますよ。はい。え、ね、
[00:05:03.039] 彼にこだわりを持ってるんで諦めるしかなさそうです。
[00:05:07.199] え、リビさん、こんばんは。え、うんちゃん、こんばんは。え、にな、こんばんは。え、彩た、こんばんは。えー、ですかね。もこら、こんばんは。はい、どうも茶けです。やってきますよ。やってきます。え、今日は
[00:05:22.080] お疲れんく。
[00:05:22.880] ちょっとね、配信やるかもちょメ、あのね、配信やるか迷ったんですけど、びっくり茶びっくり。茶まびっくり。さん、こんばんは。
[00:05:31.000] お疲れ。こんばんは。
[00:05:31.919] ランディもお疲れ。お疲れ。
[00:05:33.280] もうほんま今日も
[00:05:35.880] 静岡袖だけルグって感じや。
[00:05:38.680] 今日もあれよ。静岡行ってきました。めちゃんこんばんは。こめちゃんもこんばんは。袖だけ
[00:05:46.240] LGBT
[00:05:47.039] どういうこと?どういうことな?なんでこれが
[00:05:49.000] LGBTな?
[00:05:50.840] 静岡に行ってまいりました。今日も日帰り弾丸でも疲れたわ。
[00:05:54.880] 疲れたし疲れたし明日は俺
[00:05:58.520] 6時で長野だから
[00:06:02.000] なのでもう今日ちょっと黄色の知度も来ないでくれ虹はそうなんだ。ありがとう。
[00:06:11.560] なんで今日もサクっとサクっと今日はほんまに
[00:06:14.240] 12
[00:06:14.520] 時で終わります。今日はなのでまでもやらんとさ終わらないじゃん。やらんと終わらないじゃん。やりたいゲームっいっぱいあんだよ。
[00:06:22.199] だからもうまだ
[00:06:23.599] ぐらい進めたい。
[00:06:24.520] そうやね。今日目標
[00:06:26.160] 2
[00:06:26.319] 捨てぐらい進めたいすね。ということでやってきますよ。今日もエルギーザの封印封印ね。やってきます。よくよくあの前回も言われたけどよくよく確かめたらいドさんこんばんは。ドさんこんばんは。いいしょ。これ可愛いしょ
[00:06:41.599] か。
[00:06:42.680] エルギエルギームじゃなくてエルギーザよくよく考えたらあの前回あでしたね。
[00:06:48.680] パパート4でうん。
[00:06:50.080] おお疲れ。
[00:06:51.520] LGBTQはい。え、ペロ、お疲れ。やっ
[00:06:54.000] てくよ。やってくよ。うん。もう今日
[00:06:56.639] ちょっと2捨てでもいいから進めたいです
[00:06:58.960] な。
[00:07:01.120] 捨てでもいいから進めたい。今日は
[00:07:03.120] 賞味頼ま
[00:07:06.840] ねえねえね。俺ほら前回の前回のあれ覚え
[00:07:10.400] てないんだけどパスワードだっけ?
[00:07:12.120] 今更多性に目覚めたんか。
[00:07:14.840] やはり多性。やはり多様性が全てえどこま?そうなんだよ。コツコツやるしかねえんだよな。
[00:07:29.240] I
[00:07:30.879] ag
[00:07:34.000] さんがサブスクし。
[00:07:35.120] サブスクありがとう。ランディサブスクありがとう。まぷんちゃめナサブ
[00:07:42.039] ありがとう。
[00:07:43.759] ちょっと最近お前らサブスクあんましてねえからどんどんしろよ。
[00:07:47.120] 38。
[00:07:48.680] 38
[00:07:49.520] プライムサブじゃん。ありがとう。なんだかんだランディはプライムサブ作って使ってくれるんすよ。ありがたいわな。
[00:07:58.000] へへへ。
[00:07:58.879] へ。俺のこと好きだもんな。俺のこと好きだもんね。見てますやん。
[00:08:04.240] 広告見て。
[00:08:06.360] あのね、中が1ヶ月中が
[00:08:09.520] 1か。笑笑。
[00:08:11.120] に、あの、ナが
[00:08:14.759] 1
[00:08:15.039] ヶ月間ね、あの、広告、見るとね、多分俺に
[00:08:19.360] 1
[00:08:19.560] 円ぐらい入るんだけど、サブスクしてくれたら
[00:08:21.440] 300
[00:08:21.720] 円ぐらい入るんだよね。できればサブスクしてくれた方が俺はありがたいな。ま、広告見てくれんのもちろん、もちろんありがたいんだけど。やべ。ああ、やべ。あ、ここ全然覚えてない。あれ、ここ多分朝茶も何もしてない。これ初めてだよね。多分りが
[00:08:37.120] 1円
[00:08:37.760] 俺なあ。
[00:08:39.640] 23分見させられてな。あのクソ晴れた。
[00:08:43.399] サブスクしてるの他でバレたくないから。配信でスタンクない。
[00:08:49.040] なんでバレたっていいだろ。恥ずかしいの。チャバゲームにサブスクすることって恥ずかしいことですか?
[00:08:53.320] 笑笑
[00:08:55.399] でもでも別にいいよ。恥ずかしくてもいい。
[00:08:57.760] お忍びサブスク
[00:08:58.880] だってだってでもさ、恥ずかしいって思いながらもサブスクしてくれるっていいことじゃないですか?いいことじゃないすか?俺はそれでも嬉しいね。俺はそれでも嬉しいね。
[00:09:11.040] 隠れしたん。
[00:09:13.920] 隠れ曲げしたんだな。ここらしく行けよ。お前俺の俺のスタンプ使えよ。他のチャンネルで
[00:09:31.200] 恥ずかしいから。
[00:09:32.120] これなんで恥ずかしいんだよな。
[00:09:39.079] これ取っちゃっていいかな?取っちゃうか。ま、まずちょっとわかんねえから。まずちょっと何していいかわかんねえから。
[00:09:46.399] 読み上げに茶まって読まれたら一貫の終わる。
[00:09:51.560] なんでだよ。いいだろうがよ。
[00:09:53.760] すごく良い。残念。
[00:09:55.360] あ、それ受けいいんだ。くて。
[00:09:57.000] やば、痒いところに手が届くスタンプだろ。やっぱレトロゲーマーみんな欲しいねん。それちょっとこれ間違ったな。俺ドリル拾っちゃだめだな。
[00:10:06.600] てもらったらいいんじゃない
[00:10:08.240] ね。やだよ。やだよ。買えねえよ。こちどこで使うんでしょ?これ
[00:10:25.399] チャマドって読むスタンプと読まないスタンプの違いはなんかね。
[00:10:29.560] ああ、わかん。多分棒読みの設定なんだと思うんだよね。
[00:10:32.959] でもなんか俺、俺のなんか棒読み設定がさ
[00:10:36.279] 、変更できなくなっちゃったんだよね。だ
[00:10:38.200] 、長い分とかさ、読みたくねえのにさ、
[00:10:40.839] 長い分読みたくねえのになんかさ、よ、
[00:10:43.720] 読む設定になっちゃってんだよ。読みたく
[00:10:46.440] ねえのにでもなんか設定変更できねえんだ
[00:10:48.560] よ。
[00:10:50.519] 何もしてないのに壊れた。いや、棒読み
[00:10:54.839] いるの?棒読みどう思う?いますか?
[00:10:58.560] 棒読みから
[00:11:01.639] 見ますわな。みごちゃまさん、
[00:11:04.000] みやみごちゃまさん、みやみごちゃまさんはいい。
[00:11:06.760] 棒読み好き。
[00:11:07.720] 棒読みあった方がいい。やっぱりでもなんか棒読み長いのがさ、たまにさ、みごちゃまさんみたいな
[00:11:15.040] ないと喋った感じがしない。
[00:11:17.040] まねまね。あさんこんばんは。
[00:11:20.200] してる感あって好きたの声を奪事しながらね
[00:11:26.040] 栃の
[00:11:28.360] もうだからこういうので当たった
[00:11:31.279] そういうのなんかしんねけど棒読みが全部読んじゃうんだよまでもありまでもありがとうまでもあり
[00:11:40.839] まあでもありがとう天気予報までもまでもありがとう助
[00:11:44.639] まあでもありがとうな
[00:11:45.880] この前の設定した
[00:11:47.600] この前の設定してないか
[00:11:49.120] ちゃう。なんか全部設定したしてもなんかね、反映されないんだよ。だからね、棒読みの設定と棒読みの方の設定とハイプトレーイン来た。なんでなんでハイプ始まったの?ランディがサブスク投げただけだよね。
[00:12:03.519] 出張しただけだよね。どうな
[00:12:05.240] んだろう?なんで?
[00:12:07.040] わかんねえな。なんでなんで始まった?これでも
[00:12:14.839] 裏で誰かサブスクした?
[00:12:17.240] わかんけど。まあまあまあいい。
[00:12:20.920] Twitch
[00:12:21.199] チ君見てるの?
[00:12:22.760] いや、なんかさ、棒読みの設定がなんか棒読みの方のアプリの設定と棒読みを使ってるつべ読みの方の設定でそのつ読みに反映されねえんだよ。棒読みの設定がだつ読み再インストールした方がいいのかもしんないなと。ま、貴様らのようなリスナーには関係のない話をしてしまった。
[00:12:42.800] アプデしたの?お互い感。
[00:12:44.639] え、してないかな?どうだろ?わかんないけど。
[00:12:47.760] ちょっと長い分ちょっと省略したいよね。さすがに。いや、悪気はないんだけど長い分打っちゃうやついるじゃん。いや、いいんだけど。嬉しいんだけどさ。コメントくれるの嬉しいしありがたいんだけど。
[00:13:00.000] 読むの疲れた。
[00:13:01.040] そう、読むの疲れたがなんか反映されなくなっちゃったんだよね。やりがたいけどね。コメントしてくれんのは。だ、あまりにも長い時があるから。
[00:13:10.040] ここはほぼ悪気しかないよ。
[00:13:12.760] ま、ま、それもそうなね。ま、それもそうなんだけど。
[00:13:17.720] 例えば
[00:13:19.240] え、例えばとかなんだよ。例えばとか誰とかじゃないけどさ。うまい。あのドリルまだ拾いたくないぞ。
[00:13:43.399] 高明の悪口やめて。
