[00:00:34.440] おす、おす。
[00:00:39.520] うい。お疲れ投げくなってる。ウイ。お疲れ。
[00:00:53.280] J
[00:00:57.600] あれ
[00:01:07.320] ダブル
[00:01:09.240] お疲れちゃん
[00:01:11.439] そのちゃんこんばんはダ
[00:01:14.520] オスオス
[00:01:24.000] 下様
[00:02:49.680] てレれレっ
[00:03:06.480] この時間どうしたらいいかわからん。
[00:03:19.519] あれ?25マそくらいちゃ猫あった気がし
[00:03:22.319] たんだが。カールスミれ。
[00:03:31.599] あなた疲れてるのよ。
[00:03:36.720] 気のせい
[00:03:48.720] ファイルフィ
[00:04:48.800] ສ
[00:04:56.039] はい、どうもこんばんは。うわってなんだ
[00:04:59.440] よ。どうもこんばんは。ちょです。はい、
[00:05:03.199] 今日もやっていきます。今日もやっていく
[00:05:05.880] 。はい、どうもちゃですよ。やからね。え
[00:05:09.280] 、どうもこんばんは。え、はちこんばんは
[00:05:11.840] 。え、もこらこんばんは。え、うんちゃん
[00:05:14.680] こんばんは。え、りさんこんばんは。え、
[00:05:16.960] シロさんこんばんは。え、
[00:05:21.080] お猫、こんばんは。え、そろちゃん
[00:05:23.080] こんばんは。え
[00:05:26.479] 、ですかね。はい、どうもこんばんは。
[00:05:28.639] 今日もやっていきます。もう最近ほんまに
[00:05:32.080] あの髪の毛が長すぎて長すぎてちょっと
[00:05:35.360] ほんまにみあ、嘘か
[00:05:38.280] ごめん。
[00:05:40.360] え、言ってなかった?俺俺言ってなかった
[00:05:42.800] 。
[00:05:44.759] こんばんは。はい、やきます。どうも
[00:05:47.039] こんばんは。
[00:05:48.000] あれじゃん。なんだっけ?あの一問なしの君じゃないですか?一問なしのもなしのじゃないですか?はい。ということで今日もやっていきますよ。え、エルギーザの封印ね。こちら
[00:06:03.400] 煽るじゃん。
[00:06:04.319] やっていきます。
[00:06:05.000] 308ポイント
[00:06:06.520] やっていきます。もうちょっとほんまにクリアしようぜ。わ、
[00:06:09.880] もうクリアせなあかんから。
[00:06:11.440] 今の画角だとその服インドの羽織りも飲みたい。
[00:06:16.479] どういうこと?これいいじゃん。俺結構これお気になるんだよ。はい。ということでやっていきます。よろします。もうちょっと今日は今日もちょっと
[00:06:24.759] 12時ぐらいまで
[00:06:25.759] お姉ちゃんが買ってくれたよ。
[00:06:27.160] そう。お姉ちゃんが買ってくれたね。お姉ちゃんが買ってくれたということで、え、やってきますよ。え、もうほんまもう、もう今日はもうちょっと、もう今日はもう、あ、そうだ。あ、そうだ。あのさ、あの、全然書くないんだけど、買ってもらっといて。
[00:06:41.720] こんなこと言うのもあれだけど、あのさ、
[00:06:44.680] 俺のなんだっけ?あの
[00:06:48.599] Disccordサーバーにさ、
[00:06:51.400] あのサブスクライバー限定のさ、あの
[00:06:54.039] ボイスチャンネル作ったんだけどこれ
[00:06:56.080] みんな入れ、あ、入れんの?これど、これ
[00:06:58.240] さ、作ったはいんだけど、ちゃんと機能し
[00:07:00.720] てるかが全然わかんないんだよね。
[00:07:03.560] 俺今さ、ちょっと今サブ、サブ、あの、
[00:07:07.039] Twitterじゃねんだっけ、これ。
[00:07:10.120] 全然ちょっとアルツ
[00:07:11.280] 付けしないといけないな。
[00:07:12.840] あれアルツハイマーすぎてなんだっけ?
[00:07:16.039] Disccord
[00:07:16.520] 今ちょっとあ、入ってるわ。
[00:07:19.680] 入ってるわ。ペペペラお疲れ。お猫入ってる。で、これ多分権限を与えてないからあの多分喋れなくなってんだよな。喋れなくなってる。これさ、誰が入ってるか見えないようにしたいな。誰が入ってるか見えないようにしたい。
[00:07:34.240] 喋れないよ。
[00:07:35.240] 喋れないよね。そうだよね。
[00:07:37.000] で、誰が入ってるか見えないようにしたいんだけど、そういことはできないんかな?できないんかな?まあ、ま、そんな感じでちょっとあの、サブスクライバー限定の、え、あの、あれ、
[00:07:50.680] あの、そうなんだよね。誰が見てるかって多分さ、ちょっと隠したい人もいるじゃん。多分ひっそり見たいなって人もいるからさ。これ見えないようにしたいんだけど、そんなことできねえのかな、これ。ちょっと分かる人いたら教えてくんね。分かる人いたら教えて。
[00:08:04.240] 多分できないと思うんだよね。多分できないと思うんだよな。今お猫とペペロン入ってくれたけど
[00:08:10.759] だってま、まあな。まあなんか俺ロム線の人とかもいるかもしんないじゃん。わかんねえけど。だ、ちょっとやり方がわかんねえんだよな。やり方がわかんないし。これここで配信しててコメントどうしようかなと思ってんだよね。コメントどうしようかな。
[00:08:25.440] チャット欄ンってさ、あれ、あの棒読みちゃんやれんのかな?チャット欄ンって棒、あの、棒読みちゃんあれできんのかな?読ませられんのかな?もうちょっとよくわかんね。まだちょっとだからちょっととりあえずか
[00:08:41.680] ミュート中。あなたがミュート。ミュート中あれでもあれペロンペロン今入ってんじゃん。
[00:08:53.519] ペペロン、今俺入ってんじゃん。
[00:08:57.560] あの、これミュタって解除できちゃうのか
[00:09:00.519] な?ま、いや、ちょっとゲームいいや、
[00:09:03.079] ゲームやろうぜ。ゲームやろう。いいや、
[00:09:04.279] とりあえず、とりあえずいいや。
[00:09:05.079] とりあえずオッケー。ありがとう。はい、
[00:09:06.079] センキュー。センキュー、センキュー。
[00:09:07.880] はい、今日わかんねえや。ま、ちょ、後で
[00:09:10.880] やるわ。ちょっと後で終わったらやる後で
[00:09:13.079] 終わったらやりましょう。後で終わったら
[00:09:14.839] やろうぜ。ちょっとわかんねえ。という
[00:09:17.880] ことで今日もやらせていただきますよと。
[00:09:20.360] 全然わからん。うん。全然わかんないね。
[00:09:25.519] ままええわ。まあまあええわ。やっていき
[00:09:28.160] ます。
[00:09:30.399] よし、今日もやるよ。
[00:09:34.640] よし。40何まで来たんだっけ?前回48
[00:09:38.240] ぐらいまで行った。もう今週中にクリアし
[00:09:41.519] たい。なんなら今日明日でクリアしたい。
[00:09:44.160] 今日明日でクリアして土日にあれやりたい
[00:09:46.680] 。
[00:09:49.519] えっと、どれだっけ?
[00:09:50.680] 常弱の20マそも頼むね。うるせ。
[00:09:53.560] うるせる。うるせえ。そのうちな分かってるよ。覚えだ。うるせえ。
[00:09:58.120] 今日も配合しながら見ますな。
[00:10:00.240] はい。あ、綾たお疲れちゃん。綾たお疲れ。はい。やってきます。よし。えー、
[00:10:10.160] BJ。
[00:10:13.360] A
[00:10:15.279] Nゲージ。よろしく。
