[00:00:29.720] ສ
[00:00:37.960] うい。お疲れ。
[00:00:57.640] お疲れ。
[00:01:34.720] やっぱビエロのクリップはおもろいな。
[00:02:48.800] パチパチパチパチパチパち
[00:03:45.720] くポー
[00:03:47.920] パクパクパクパクパクパく
[00:04:14.480] はい、どうもこんばんは。ちゃまけゲーム
[00:04:16.239] です。すいません。はい、どうももこら
[00:04:18.759] こんばんは。さん、こんばんは。え、
[00:04:20.479] ペペロン、こんばんは。え、たっつんレド
[00:04:23.479] ありがとう。ごめんね。なんかあの、
[00:04:25.199] 始まった時だったからレドありがとう
[00:04:27.040] ございます。え、どうもこんばんは。
[00:04:28.720] ジャムゲムです。これから始めます。今日
[00:04:31.560] もやらせていただきますから。今日もやら
[00:04:35.039] せていただきます。シさん、こんばんは。
[00:04:37.320] もコラもこんばんは。え、タンレド
[00:04:39.759] ありがとうございます。配信お疲れさん。
[00:04:41.960] え、今日も
[00:04:44.360] バニガ2。あ、バニガ2。今日もやらせて
[00:04:47.880] いただきますか?やらせていただき
[00:04:49.560] ましょうと。なんかでも正味なんかどう
[00:04:52.199] しようかなと思ってて。これ今日今日
[00:04:55.160] クりあるかな?ちょ1周できるかな?いや
[00:04:58.520] 、俺なんか来週も平日ずっと
[00:05:01.520] バニーガーやるかと言われたらちょっと
[00:05:03.840] どうかな。[笑い]
[00:05:06.240] 1周やればお腹いっぱいかもなっていう。
[00:05:08.560] ちょっとできなそう。ちょっとでき嘘。
[00:05:10.400] 今日マジで。マジで一周できねえかな?
[00:05:13.560] 結構ボリュームあんな結構ボリューミー
[00:05:16.039] なんかもしんねえな。
[00:05:18.199] まあまあええわ。まあええわ。まあええわ。とりあえずやってきますか。やってきますかね。いや、本当はもっと昼間からやれよって話だったんですけど。昼間からやれよって話なんだけどな。なんか色々色々あってな、なんか色々なんかいつも夕方ぐらいから配信できれば
[00:05:32.880] 1番いいんだけどさ。1
[00:05:33.960] 山超えれば次でいいかも。
[00:05:35.560] 1
[00:05:35.720] 山超えれば次でいい。人山超えるあるんだ。山場があるのね。ちょ山場ましょうか。
[00:05:37.983] [笑い]
[00:05:42.360] じゃ、今日ということで、今日も節持って
[00:05:44.639] 楽しんでいきたいなと思っておりますけど
[00:05:46.880] も、よろしくお願いします。バニー
[00:05:48.120] ガーデン2やる
[00:05:51.280] よ。今日もやるよ。棒読みじゃ間違った。
[00:05:55.400] はいはいどうもこんばんは。やきます。
[00:05:59.919] バニーガーデン2ちょっと待って。
[00:06:03.919] タッツン25さんのレドはいさん
[00:06:06.039] こんばんは。いさんこんばんは。
[00:06:07.560] たっつんたン25さんもレドありがとう。
[00:06:10.960] 26万7500。いいね。いいね。いい
[00:06:15.319] ですね。ちょっと待って。寒い。寒い。
[00:06:18.360] 冷房つけたけど。めちゃ金あるやん、今。
[00:06:22.240] ふう。このまま寝ちゃいそうだ。
[00:06:26.039] めちゃ金あるや。26万7000円いいぜ
[00:06:28.400] 。ちょっとカレンダー見ていいか?ちょ、
[00:06:29.880] カレンダー見よう。ちょ、ちょっと待って
[00:06:31.720] ね。
[00:06:35.840] はい。今日は、あ、待って。[音楽]今日
[00:06:39.440] 休みやん。なんだっけ、あのもう俺が今、
[00:06:42.680] 俺が今攻略しようとしてる女の子の名前も
[00:06:45.120] 覚えてないんだけど[笑い]何だったっ
[00:06:47.000] け名?何だったっけ忘れたお休みだね、
[00:06:49.759] 今日あの子休みみたいだわ。え、どう
[00:06:52.199] しようかな。どうしようかな。休みだっ
[00:06:55.360] たらさいか派遣みか
[00:06:57.840] さんだっけ?こんばんは。あ、クオンだ。
[00:07:00.280] クオン。クオンね。しんさんこんばんは。
[00:07:02.840] クオンね。ちょっと待2万4000円いか
[00:07:05.960] ない。え、どうしようかな。コーンね。
[00:07:09.199] コーン。
[00:07:10.479] 在日韓科韓国人。えー、どうしようかな。ないのに行ってもしゃあなよな。グエグエンさんってあのよな、なんかベトナム系とかだよな。
[00:07:24.800] ベトナム系だよな。グエンって。グ、グエンって人多いよね。ベトナムの人って。ベトナムかどっかわかんないけど。え、タ、お疲れちゃん。タありがとうね。タツありがとうね。
[00:07:35.479] ありがとうね。
[00:07:37.560] あ、エマさんもどうもこんばんは。エマさんもどうもこんばんは。
[00:07:39.639] やってくけど。しょっぱな俺が今落とそう。いや、じゃ、違う子行くか。たまには違う子行くか。中みたいなもん。
[00:07:48.280] あ、そうなんだ。違う子行くか。今ちょっと
[00:07:51.879] いらっしゃいませ。
[00:07:52.520] あ、ま、この子でもいいな。この子でも相変わらずおっぱいがでかいな。別
[00:07:56.400] に期待してたわけじゃないですよ。
[00:07:58.919] 相変わらずおっぱいがでけえ。びっくりするわ。なんかぶつかるんじゃないかと思うわ。なんか延金感ででかすぎて。
[00:08:06.159] 何が見ます?
[00:08:07.440] この子も可愛いんだよね。
[00:08:08.960] この子も可いいんだよね。
[00:08:10.120] 私も頂いていいですか?
[00:08:11.479] どうぞ。貴様もロカミルクでも飲み。
[00:08:14.039] ロカミルク大好きなんですよね。
[00:08:16.639] いや、この子も可愛いのが好き。
[00:08:20.400] そうな、そうな。
[00:08:23.800] ね、夢がおいおい、ちょっと待って。
