[00:00:22.800] ぐーぐい。お疲れ。
[00:00:43.200] キャラD頼めるか。
[00:01:13.600] ウィンニはい
[00:01:43.640] 。
[00:02:27.959] エボ玉茶窓なめて
[00:03:58.959] ສ
[00:04:19.720] ポクガーちょムプポクガーちょムプ
[00:04:22.280] ポクガーちょムプ
[00:04:49.880] はい、どうもこんばんは。はい、ちゃです
[00:04:51.840] 。はい、どうもこんばんは。はい、やって
[00:04:54.120] きます。いもく、こんばんは。りみさん、
[00:04:55.800] こんばんは。もこらこんばんは。綾た、
[00:04:57.240] こんばんは。え、みぼちゃん、こんばんは
[00:04:59.080] 。え、ペペロン、こんばんは。はい、やっ
[00:05:00.759] てきます。おい、
[00:05:04.720] 来るぞ、今日は。今日は来ますよ。ああ、
[00:05:09.360] しさん、こんばんは。おいおい、あと何分
[00:05:11.400] ?あと5分ちょい、ああで
[00:05:15.199] ドラゴンクエスト
[00:05:17.320] からのお知らせ。そつくましたよ
[00:05:21.199] 。つくで。プラさん、こんばんは。プラザ
[00:05:23.400] さん、こんばんは。今日は
[00:05:25.000] ドラゴンクエスト40周年おめでとう
[00:05:26.680] ございます。最高最高ですよ、これ。
[00:05:31.600] いやあ、今日待ち詫びましたな。今日
[00:05:35.120] 待ち詫びました。パチパチ
[00:05:37.000] 最高っすね
[00:05:38.639] どうなるんだろうね。あと5分後だけど。
[00:05:41.160] いや、楽しみ。あと4分後だ。あと4分後
[00:05:43.600] になった。もうね、あの、すでにあれすよ
[00:05:45.720] 。いいおらせを願います。いや、本当だよ
[00:05:47.600] ね。こんな感じでもう待機してますんで
[00:05:49.840] ちょっと見ましょうや。見ましょうや。
[00:05:51.919] 美オ、こんばんは。緊張してきたよな。え
[00:05:54.440] 、なんかさ、ドラゴンクエスト40周年
[00:05:58.880] じゃん。なんかあっさりしてるんだよね。
[00:06:01.960] なんかなんかにしてはなんかあっさりして
[00:06:04.720] んだよな。なんかもっとさ、もっと
[00:06:08.800] ぐわーってさ、盛り上げる感じで行くのか
[00:06:11.639] と思った。なんか
[00:06:14.440] なんか
[00:06:16.039] あっさりしてますよね、今回。
[00:06:18.319] シドルさん、こんばんは。10
[00:06:19.360] 分なの不安が。[音楽]
[00:06:20.479] そう、10
[00:06:20.960] 分しかないんすよ、配信時間が。ちょっと大丈夫な。
[00:06:24.840] 10
[00:06:25.080] 分足りる足りる予想予想はね、ま、とりあえずドラク
[00:06:30.880] 12
[00:06:31.280] は発売日まではどうかな。絶対情報は出ると思うんだよ。発売日まではどうかな。なんか何年のつ頃売とか何年
[00:06:45.599] 夏発売とかじゃない。
[00:06:47.960] 来年の夏発売とかじゃないかな。多分今年
[00:06:51.479] 中はないと思うんだよね。発売日までは
[00:06:53.639] わかんないけど発売の季節来年の夏とか
[00:06:56.720] 来年の秋とかなんかそういうのぐらいは
[00:06:58.759] なんか来そうな気がする。あとは今年中に
[00:07:02.520] なんか1本なんか出るんじゃないかなって
[00:07:04.360] いう。おめでとう。デラコマ君もお
[00:07:05.879] めでとう。俺とデラコマ君の出会いの
[00:07:07.319] きっかけドラクエですからね。ちょっと
[00:07:08.879] 待って。もうあ、あと3分で始まっちまう
[00:07:10.599] 。ドキのドキがムしてきたんだけど。ドラ
[00:07:13.759] 7セールなるの許せない。
[00:07:15.360] ふざけなんでなんでなんで許せいいじゃねえかよ。いいじゃね。
[00:07:18.599] 30
[00:07:18.919] 年すっめア。
[00:07:19.919] いや、さすがにそれはねえだろう。もう何年かかってんね。は、我慢してほしい。
[00:07:24.919] ああ、まあまあまあまあまあまあでも
[00:07:27.280] 40周年やから40周年だから
[00:07:30.440] 40
[00:07:30.800] 周年の頃期間が終わったら多分また普通に戻るっしょ
[00:07:33.160] 自分。
[00:07:33.639] いや、最高。ヒーローズ
[00:07:36.000] 3なあ。ビルダーズ
[00:07:38.360] 3、ヒーローズ3
[00:07:39.319] もあるかもわかんないな。ただそれよりも
[00:07:41.800] やっぱメインのさ、い、俺さ、天空
[00:07:44.800] リメイクは賞味ないと思うんだよね。天空
[00:07:48.039] リメイク来るかだってさ、ボリュームが
[00:07:50.479] 大きすぎるよ。だって天空456ってだっ
[00:07:54.080] てそんなんやボリュームが大きすぎるから
[00:07:58.440] ないとは思うんだけどね。9リメイクが
[00:08:01.199] ワンチャンあるかな。ぐらい。9リメイク
[00:08:03.000] がワンチャンあるかなってく。やべ、もう
[00:08:04.440] 2分だからちょっともう行くぞ。もう行く
[00:08:05.840] ぞ。残り2分。やべえ。クソ楽しみなんだ
[00:08:09.919] けど。10分で
[00:08:11.400] 系列で行けば最初6だからワンある。66
[00:08:14.879] だけ6リメイク
[00:08:17.560] ただどういうリメイクになるかだよな。どういうリメイクになるかだと思うわ。あの
[00:08:23.319] まだおトイレからしてる。待って。
[00:08:25.159] ちょっと待って。今、今、今あと2
[00:08:26.440] 分だぞ。あと2
[00:08:26.919] 分だぞ。衝撃に備えろ。お前ら来るぞ。いや、どうなんだろうな。マジで
[00:08:32.880] 12
[00:08:33.320] の情報は絶対出る。発売時期も多分出る。
[00:08:36.880] あとはその12までのつぎ12出るまでの
[00:08:41.719] ま、なんか絶対あると思うんだよ。なんか
[00:08:44.120] 目玉タイトル12以外のぐらい2個ぐらい
[00:08:47.399] の発表なんじゃねえかな。うん。やべ、
[00:08:50.080] 60秒後、60やべ、来た。来る。どう
[00:08:53.000] なっちめえんだ。おい、どうなっちめえん
[00:08:55.080] だよ俺ら。俺たちどうなっちまうんだ?
[00:08:58.200] 内容によっては内容によってはバニー
[00:09:00.519] ガーデンじゃなくてドラクエの配信になる
[00:09:02.000] ぞ。この後くくおちょ音消すわ。やべえ。
[00:09:07.320] ドキが胸やば。や、久々になんかドキドキしてんな。
[00:09:10.279] 心臓が
[00:09:11.279] どうなるんだよ。モンスターズとかはどうかな。
[00:09:15.480] 3
[00:09:15.640] 入れたばっかだからな。天空リメイクはどうだろうな。どうだろうな。
[00:09:22.920] ま、9のリメイクとかじゃねえのかな。
[00:09:25.120] 1作だしね。
[00:09:26.079] おトイレ終わった。
[00:09:27.040] よし、来るぞ。お前ら来るぞ。く、充実する。
