[00:00:08.800] よし。うわー。
[00:00:12.445] [叫び声]
[00:00:17.560] シークレットってことは
[00:00:25.920] 出ねえな。
[00:00:26.560] なんかここめっちゃ覚えてる。
[00:00:29.039] ここもね、すごい厄介なんだよ。ここ
[00:00:31.359] 眠けどう?
[00:00:32.439] あ、眠くないよ。大丈夫。
[00:00:34.840] 水の高さ変わるとこだ。
[00:00:36.520] そう、そう、そう、そう、そう。眠け大丈夫。
[00:00:44.399] 3、あと2個。あと2個。あと2
[00:00:46.239] 個。どっかにあんだよ。水の高さ変えてみるか。
[00:01:00.719] 子供の時あのビリビリボールの顔怖かった。
[00:01:03.680] 分かるわかるわかる。怖いよね。何気に怖いんだよな。マリオの時って
[00:01:06.155] [泣き声]
[00:01:09.360] 出た。あのりみたいなひっくり返してくるやつ。
[00:01:12.880] あいつうざいんだよ。さっきからあいつうざいのよ。これね、これね。ちょっと待って。もう
[00:01:22.530] [叫び声]
[00:01:24.680] 1回。もう1回。
[00:01:31.360] これか。
[00:01:32.439] マリオって本当にBGMがいいね。
[00:01:35.159] そうなの。近藤浩司さんというね、素晴らしき任天堂の伝説的コンポーの
[00:01:42.320] される感じもあるけど。刑派刑派じゃない。それはコなミね。それはコなミね。近藤工事ね。
[00:01:50.719] これはマリオとゼルダとすごいんだから。
[00:01:55.520] 知らんな、そいつ。
[00:01:57.240] そいつって言うなよ。[笑い]
[00:01:58.880] 無名
[00:02:01.039] お前おマリオのあのデてデって作った人だぞ。無名なわけあるか。
[00:02:07.000] 笑笑。
[00:02:08.119] なんでそんな偉そうやねん。
[00:02:09.200] フォロワー何人?笑笑。[笑い]
[00:02:11.080] もうフォロワーとかそういうレベルにいねえよ。なめんなお前。知らんだそいつ。
[00:02:19.879] 無名なわけあるかどクソびあれだよ。めちゃく
[00:02:31.599] 難しい宿題の答え考えてる時ここの
[00:02:34.760] BGM脳内再生されてきたんべ
[00:02:39.000] ねえ。あともう1個なんだよな。
[00:02:41.120] っていきたい。
[00:02:42.441] [笑い]
[00:02:43.519] 知らんな、そいつ無名。確かに確かに使、使いどころある。使いどころあるな。知らんな、そいつ。無名フォロワーズまず自分が
[00:02:56.196] [笑い]
[00:02:58.560] て言いたい。
[00:02:59.440] 自分が誇れるほどいますかって話なんですけど。そう。
[00:03:08.480] 近藤工事がもう知らんな。そいつ呼ばりですか?伝説やぞ。
[00:03:15.400] ミスったら揉めそう。
[00:03:17.920] 確かにミスったら揉めそうやね。モロハの剣だね、これ。もしかしてこれ押すとかある?これ。もしかしてこのブロック
[00:03:33.640] あんまカリカリするなよ。このブロック
[00:03:35.640] 押せるとかある?もしかして
[00:03:49.799] このさ、このさ、
[00:03:53.519] こいつこれ押せたりする?もしかして
[00:03:56.799] 押せるじゃない。押せるじゃない。
[00:04:03.680] ヤッホー。
[00:04:05.400] 行く。100。
[00:04:06.799] はい。900。
[00:04:18.600] 本当にどこに出たの?
[00:04:20.519] 割と普通のだな。
[00:04:22.400] ブライン
[00:04:23.880] どこに出たの?そんである。
[00:04:37.039] オよし。うまい。よし。
[00:04:43.000] いいよ。巻いてきてるよ。巻いてきてるよ。巻いてきてるよ。
[00:04:46.238] [音楽]
[00:04:57.960] 急げ。金網エレベーターゴー。
[00:05:02.400] ちょうど12時間か。
[00:05:05.080] ちょうど12時間。75。
[00:05:08.479] 12時間で75
[00:05:09.840] だよ。金網エレベーターな。
[00:05:15.199] 何ですか、それ?
[00:05:20.319] 12
[00:05:20.720] 時間経ったので枠変えますね。
