[00:00:50.800] ひ茶まどびっくり。[音楽]
[00:00:54.840] うい。お疲れ。
[00:01:05.760] 30ね。
[00:02:12.360] 時間通りマジか。
[00:04:24.680] チまドベリーベリークテファ
[00:04:26.280] で
[00:04:48.560] は、どうもこんばんは。ウっす。どうも
[00:04:50.479] ちゃゲームです。はい、どうもやってき
[00:04:52.520] ますよ。やってきます。時間通りに珍しく
[00:04:57.280] 時間通りに始まりました。どうもちゃまけ
[00:04:59.600] です。え、今日はですな、え、わしの私の
[00:05:04.320] 30歳の誕生日とマリオ64の30周年
[00:05:08.759] をきき
[00:05:11.199] 記念しまして、えー、スーパーマリオ64
[00:05:14.479] のね、えー、スーパーマリオ64のなんか
[00:05:17.919] きったねえな。なんだこれ?鼻クソみたい
[00:05:19.520] のついてるけど。えー、スーパーマリオ
[00:05:21.360] 64の、えー、スター120個。
[00:05:26.440] おめでとうございます。
[00:05:27.199] はい、どうもこんばんは。え、あらさんこんばんは。え、別国さん、こんばんは。ひさん、あ、ひさん
[00:05:31.919] 30
[00:05:32.240] 名とこんばんは。え、ペペペロンはとこんにちはかな。こんにちはかな。こんにちはっすね。おめでとうございます。ま、と言っても俺の誕生日まだ
[00:05:39.520] 5日あるんだけど6月11
[00:05:41.639] 日なんだけどね、俺の誕生日ね。ただ
[00:05:43.639] 土平日なんでなんかなんか別になんか
[00:05:46.560] 誕生日配信ってわけでもないんだけど
[00:05:47.880] なんかなんかやるんだったら今週土日か
[00:05:51.280] なっていうのがありましてちょっと早いん
[00:05:53.479] ですけどあと5日間あるんですけどね最後
[00:05:57.080] の[笑い]
[00:05:58.160] 20代あと5日しかないんだけど20代
[00:06:01.520] あと5日しかねえまあやってきますわ。ま
[00:06:04.560] ルールはルールは簡単でございますよ。え
[00:06:06.720] 、スーパーアリ64のね、あのスターを
[00:06:09.479] 120個集めるまでやりますと。言ったは
[00:06:12.720] いいものの、言ったはいいもののそんな
[00:06:15.520] ことできるのか本当に。[笑い]そんな
[00:06:17.840] こと本当にできるんだろうか分かりません
[00:06:19.800] が分かりませんけどもね。はい、やってき
[00:06:22.199] ますか。じゃあもう早速
[00:06:24.280] 多分ね、ちょっとやるのはね、ちょ、やる
[00:06:26.360] のはあれね、あのスバ64のやつなんだ
[00:06:29.599] けど、ちょっとね、あの、こっちでやり
[00:06:31.240] ます。こっちで、あの、3Dコレクション
[00:06:33.599] の方、あの、W、Wじゃねえ、なんだっけ
[00:06:34.840] 、これ?Switchの方。Twitch
[00:06:36.240] の方でやるね。あの、ちょっとね、実況が
[00:06:38.960] ね、さすがにね、20何時間多分かかる。
[00:06:41.720] わかんない。どんぐらいかかるわかんない
[00:06:42.680] んだけど、長時間実機でやんのはちょっと
[00:06:44.680] 怖い。なんかあの、フリーズとかしそうで
[00:06:48.400] 怖いからフリーズとかしそうで怖いんで。
[00:06:51.639] ということでやってきますか。もう別に何
[00:06:54.280] もあの、特にないんで。[笑い]
[00:06:57.319] 特にないんで。30歳なりました。なり
[00:06:59.960] なってないけど、まあ30代のチャワ
[00:07:01.919] ゲームもよろしくお願いします。よろしく
[00:07:03.280] お願いします。はい、いただきます。
[00:07:06.840] さてさてさてやね。てかこのゲームやんのはこの
[00:07:11.360] W版じゃなくてなんだっけ?これ。あの
[00:07:12.800] Switch版やんの初めてなんだけど。
[00:07:15.039] 実機耐久は確かに怖い。
[00:07:16.840] 怖いよね。さすがにね。ちょっと棒読あげよう。実機耐久は怖い。さすに
[00:07:20.960] 名誉おじさんおめでとう。
[00:07:22.400] 就寝名誉おじさんついに俺もおじさんのおじさんの仲間入りですか?
[00:07:26.840] フライング誕生日おめでとう。
[00:07:28.360] お前さんこんばんは。ありがとう。
[00:07:29.720] フライングちょっと5日間まだあるんです
[00:07:31.360] けど、あの最後の20代最後の5日間を
[00:07:35.319] こっから楽しんでいきたい。さあ、やって
[00:07:37.160] きますよ。
[00:07:39.160] 相変わらず似てないミーね。[笑い]
[00:07:42.199] 相変わらず似てないミ。あ、これじゃない
[00:07:45.840] 。俺あれだ。ああマリオサシやるな。そう
[00:07:48.199] いえば誰[笑い]
[00:07:50.599] さやきやき
[00:07:52.240] ますよ。こちらスーパーーパーマリ64
[00:07:54.720] いや、あるんですけどね。さすがに実機
[00:07:56.000] あるんですけど。
[00:07:56.599] 実機のあるんですけど、ま、ちょっとこっちのがやりやすいんじゃないかということで、あと画質もいいしな。画質もいいしな。やっていくぜ。別にあの、時間制限とか
[00:08:05.599] 歳の誕生日おめでとう。
[00:08:07.080] まだ5
[00:08:07.360] 日あるんだけどね。うん。ありがとう。
[00:08:09.240] ありがとう。
[00:08:10.280] みーちゃんこんばんは。やっていくぜ。うお。あれ?あ、これあれか。
[00:08:15.000] 16対9
[00:08:15.960] じゃない。こっちの方がいいな。あ、こっちの方がいいっすね。こっちの方がいいっすね。こっちでやってくか。
[00:08:24.520] チムさん待ってました。ありがとう。プラ
[00:08:26.319] さんもこんばんは。やっていくよ。これで
[00:08:28.520] これね、これってどうやって遊ぶんだっけ
[00:08:30.199] ?なんかさ、あ、
[00:08:32.919] ま、これで1日潰してもいいけど、これで
[00:08:35.919] 1日潰すのもいいんだが、
[00:08:39.279] これDSのやつで俺やってたんだよな。
[00:08:40.880] よくなDSのやつでよくやってたわ、これ
[00:08:42.800] 。DSのやつでよくやってたな、これ
[00:08:45.800] まやこう。買っていく。
[00:08:49.120] おき
[00:08:50.040] 実際どんくらいかかんのかわかんないんだけど。
[00:08:52.399] 120個耐久ってどんくらいかかんの?
[00:08:56.440] お城遊びに来てください。ケーキを作って待っています。
[00:09:00.440] 音ちっちゃくね?なんか音ちっちゃくね?そんなことない。そんなことないな。こんなもんかな?こんなもんだな。俺のイヤホンあげればいいんか?俺のイヤホンちょっとあげるわ。こんなもんか。
[00:09:16.760] ちゃまく誕生日おめでとう。
[00:09:18.240] ありがとう。
[00:09:19.800] 30
[00:09:20.240] 歳になりました。なりましたというかなりますって感じだけどな。あと
[00:09:23.560] 5日間あるんだけど。
[00:09:27.000] 30歳やで。なるんだな。
[00:09:30.519] 30
[00:09:31.000] 歳ってならないもんかと思ったよ、俺。ならないもんかと思ったけど。なるんだな。うわ、久々。マリオ
[00:09:38.880] 64
[00:09:39.200] やんの。ワープドガンをくり抜けのお後ろに着きました。
[00:09:42.320] ドスのやつはやったの?
[00:09:43.519] そうだ。俺、俺もDS
[00:09:44.600] のやつでやってるからさ。
[00:09:46.240] それ64のやつやんの初めてなんだよね。
[00:09:48.800] さてさて。
[00:09:51.600] おお。
[00:09:52.480] はいはいはいはい。これね、[笑い]
[00:09:54.279] これね、スライディング。あれ?違う。あ、こうね。オッケー。オッケー。
[00:09:59.200] あれ?ドスにも移植されてた。そう。
[00:10:02.200] そう。スーパーマリオ64DS
[00:10:04.040] っていうクソ、クソ、あの厄介ななんかタイトルしてるけど。
[00:10:08.079] ちゃまさん頑張ってください。
[00:10:09.560] ありがとう。うんさん、ありがとうございます。うんさん、ありがとう。で、失礼します。
[00:10:13.087] [笑い]
[00:10:13.560] いる。別に言わなくていいやつね。別に言わなくていいから。挨拶だけで失礼しますとか。別にいいよ。そんな言わないで。
[00:10:21.602] [笑い]
[00:10:24.160] ダブル
[00:10:25.040] しもけんちゃんもこんばんは。こんばんは。しもきんちゃんこんばんは。やっていくぜ。ヤッホー。
[00:10:30.279] ま、俺あのあれだからあの奇粋のニコニコっこだからさ。
[00:10:34.320] 必コ中だからさ。あのここにあの緑の悪魔ね。
[00:10:39.000] あのなんだっけ?あの
[00:10:40.959] あ、違った。ここじゃなかった。
[00:10:42.360] 懐かしいな。ま、やらないけどそれは。あ、た、こんばんは。やっていくぞ。ヤッホー。ヤッホー。
[00:10:48.279] お前の配信見るために愛
[00:10:50.200] お、いいね。いいね。俺もジュース買ってきた。ジュース飲もう。
[00:10:53.800] ジュース飲むぜ。午前中ジブに行ってきましたから。
[00:10:57.680] 0kg
[00:10:58.160] サイダートリプル入酸金アルファ。これクソうめえから。
[00:11:03.360] わこつ
[00:11:05.120] わこつんボツ
[00:11:07.959] 見たらし団子食べてる。
[00:11:09.880] サワ。食うわ。サティってあれ?31って
[00:11:12.639] あれ?あのドラクエコラボKP
[00:11:17.320] えま分かります。操作分かるんで大丈夫す。
[00:11:22.240] 行くぜ。
[00:11:23.040] マリオ来た。
[00:11:24.160] 行くぜ。エさんこんばんは。
[00:11:26.560] あ、普通にコンビニなのってようこそいらっしゃいませ。誰もいませんのでとお帰りください。
[00:11:34.360] なちくんくくんやばすぎ。
[00:11:38.160] こんばんは。
