[00:00:20.560] おいす。
[00:00:37.800] うい。お疲れ。
[00:00:42.575] [音楽]
[00:00:50.079] パチパチパチパチパチパチ。
[00:02:37.319] うい。
[00:02:58.760] ララ
[00:03:13.227] [音楽]
[00:03:47.760] てか5分長くね。笑。
[00:04:05.760] 忍のネタバレ禁止。
[00:04:14.920] ウェイ。お疲れ。
[00:04:27.898] [音楽]
[00:04:59.360] はい、どうもこんばんは。ウっす。お疲れ
[00:05:01.600] ちゃまけです。はい、こんばんは。やって
[00:05:04.360] きます。よろしくお願いいたします。遅く
[00:05:06.639] なりましたすいませんね。遅くなりました
[00:05:08.800] けども。遅くなりましたけども。
[00:05:11.128] [音楽]
[00:05:11.160] ちょっと待って。もたがつくか。なんか
[00:05:13.919] 明るくない?今日。ま、ま、こんくらい
[00:05:15.759] 明るくてもいいか。ということでやってく
[00:05:18.600] よ。
[00:05:19.080] やってくというか見るぞ。今日は任天堂イレクトやってるようなんですけど、ちょっと誕生日の送ってもらってるじゃない。
[00:05:26.720] とんでもないんですよ。はい、どうもこんばんは。えっと、おくこんばんは。え、モらこんばんは。に中こんばんは。え、ペロンはえなちゃんこんばんは。リーンさんこんばんは。はい、やってきます。はい、どうもこんばんは。え、皆さんあの誕生日とか送っていただい、なんか色々送っていただいた方ありがとうございます。ありがとうございます。
[00:05:43.878] [笑い]
[00:05:45.479] あの、今日さ、この後任、今、今やってん
[00:05:48.960] だよね。任題ね。今忍さ、多分本放送と
[00:05:52.800] いうか生配信やってんだろうけど、
[00:05:54.560] ちょっとあの、一緒に見たいんすよ、俺
[00:05:57.400] 同時もいい、同時、同時でもいいかなと
[00:06:01.840] 思ったんだけどやっぱさ、画面映みたい
[00:06:04.039] からちょっとあの、あえて本放送を見る
[00:06:06.880] ためにまだ見てない。またプレゼント来た
[00:06:10.240] ね。ありがと。そうなんですよ。ま、
[00:06:11.880] ちょっとこの後ちょっと紹介するんです
[00:06:13.280] けど。そう、ちょっとあの画面に任天堂
[00:06:16.000] ダイレクト映しながらみんなで見たいなと思ったんで、ちょっとここはもう
[00:06:19.800] 1
[00:06:19.880] 個だけTwitter
[00:06:20.759] で貫通された。嘘。やられた。ちょっと言うなよ。何も言うなよ。うん。ちょっとグっと来られて。あ
[00:06:26.440] あ、いいですね。いいですね。ありがとうございます。ま、先にみんな見てね。あれ、俺ともう
[00:06:30.759] 1回一緒におさいするでもいいんだけど
[00:06:33.039] いいんですけども、ま、ちょっとこの後ちょっとおそらく
[00:06:36.039] 11時50
[00:06:36.880] 分ぐらいまでやるんかな。なので、ちょっとそんくらいまではちょっとま、ここで待機ということでいいや、俺もめっちゃ見て。
[00:06:42.240] 今もうここに映って映ってるってかその行く。もうそのサムネだけ映ってんだけど。
[00:06:46.919] しない。
[00:06:47.479] いや、マジ今回やばいぜ。今回ちょっとねやばいと思うよ。なんでかって言うとにあのね
[00:06:57.440] 2026
[00:06:58.080] 年という年はですね、これもうすごい年でどめちゃくちゃやばいゲームが
[00:07:04.800] 40周年30周年25周年
[00:07:07.360] 手遅れ
[00:07:08.160] あのこりこんばんは。
