[00:00:17.800] 来た。
[00:00:45.360] うい。お疲れ。
[00:00:46.760] ゲマち。ゲオあげえマち。ゲオあげえマーチ。
[00:01:05.600] 誕生日おめでとう。
[00:01:45.360] ສ
[00:02:26.239] なんでもない日おめでとう。
[00:03:02.747] [音楽]
[00:03:42.200] 細川孝しさん誕生日おめでとう。
[00:03:59.000] 夢叶えもの
[00:04:04.200] ちゃんかいさんお誕生日おめでとう。
[00:04:41.600] オリバーカンさん、お誕生日おめでとう。
[00:04:44.479] 岡崎さん、誕生日おめでとう。
[00:04:54.753] [咳払い]
[00:04:55.320] はい、どうもこんばんは。はい、どうもこんばんは。です。もうええて誕生日はもう誕生日はもう終わったから誕生日終わりました。あいもこんばんは。え、もこんばんは。え、そのちゃんこんばんは。え、にこんばんは。こ太りんこんばんは。え、もこらこんばんは。え、エンマさんこんばんは。ということではい、どうもこんばんは。ちゃまけです。
[00:05:16.199] おわ、
[00:05:16.520] お久しぶりでございます。おわ、うん、もうね、
[00:05:18.840] 6月11日だったからな。6月11
[00:05:20.919] 日だったからということでちょっとすいませんね。あの色々バタバタしててちょっと配信が
[00:05:26.560] あのあれでしたけどできませんでしたけども今日やってきますからなんか目にゴミがついてますな。目にゴミがついてます。ということで今日は
[00:05:34.400] やだやだ。
[00:05:35.199] 今日はずっとなちゃんこんばんは。なちゃんもこんばんは。ずっとやりたかってんけどなかなかできなかったんですけどもあれが届きました。例のあれが例のあれが届いたんすよ。ちょっと今日これ行っていいすか?はい。ドーン。やべえ。
[00:05:49.319] 霊のあれ、
[00:05:49.919] 霊のあれ。ポリメガリミックスやべえ。今日これ、今日これ、今日これやります。いや、まだ開けてねえんだよ。まだ開けてねえんだよ、これ。ちょっとそれ
[00:06:03.160] どんなもんなんやと。どんなもんなんや。チびこんばんは。どんなもんなんや。ということで落とすわけねえだろ。うんじゃこんばんは。うんじゃこんばんは。何それといい質問ですね。
[00:06:14.000] いい質問ですね。いい質問ですね。
[00:06:16.599] こちらポリメガリミックス言いまして何かと言いますと、えっとですね、レトロゲームな何なん何なんだこれ?説明難しいな。なんなのか何なのかちょっと説明するの難しいですけど我れじゃねえ。我れじゃね、これは何かと言いますと、
[00:06:24.489] [笑い]
[00:06:33.720] あのでもな、まだなてこのあの、え、レトロゲームですね。あの
[00:06:38.720] CD
[00:06:39.199] ゲームでよりディスクのゲームあるじゃないですか。
[00:06:41.039] PlayStation
[00:06:42.560] え、セガサターン、え、
[00:06:44.759] PCエンジンCDロムロム、え、メガ
[00:06:47.360] CDえ、ネオジオCDなどなどなどなど
[00:06:50.560] CDゲームがこれ1
[00:06:52.160] つでパソコンで、え、全部、え、嘘でしょ?令和世代すぎるだろ。
