[00:00:32.680] わこつ
[00:00:44.680] やかまし色さんが5度でサブスク
[00:00:48.160] 47ヶ月目です
[00:00:50.440] にゃけ。
[00:01:06.000] もうすぐ4年
[00:01:09.520] ちゃまさん待ってましたよ。ゲオエマチ。
[00:01:12.640] ゲオエマチ。ゲオマチ。
[00:01:26.159] あと1ヶ月頑張らないと。
[00:01:35.880] ちゃどびっくり。
[00:02:05.200] 今日テリワンめっちゃ楽しみにしてきた。
[00:02:08.239] チマドロケラン。ちゃドロケラン。
[00:04:55.408] [咳払い]
[00:04:55.720] はい、どうもこんばんは。はい、どうも
[00:04:57.840] ちょまゲームです。はい、どうも
[00:04:59.639] こんにちはす。ということで今日はですね
[00:05:02.880] 、今日はですね、はい、どうもこんばんは
[00:05:05.080] 。え、いもこんばんは。え、ハッチ
[00:05:06.800] サブスクありがとう。サブスクありがとう
[00:05:08.720] ございます。47ヶ月アホやな。[笑い]
[00:05:12.880] りさん、こんばんは。え、プさん、
[00:05:14.199] こんばんは。え、あらけさん、こんばんは
[00:05:16.240] 。え、そのちゃんもこんばんは。おつ、
[00:05:18.039] おつ、おつ。ということで今日は、えー、
[00:05:21.360] リバイバル配信ということでですね、
[00:05:23.639] ドラゴンクエストモンスターズ、えー、
[00:05:26.440] テリーのワンダーランド人生縛り
[00:05:30.160] 約45年ぶり、5年ぶりとかにちょっと
[00:05:34.720] やってみようじゃないかということで
[00:05:36.720] だいぶ久々なんすけどリバイバル配信です
[00:05:40.759] な。リバイバル配信やろうつってさ、あの
[00:05:44.680] ドラゴンクエストワ2っていうか、その
[00:05:46.600] ドラゴンクエスト1かモンスターズ1え、
[00:05:50.240] テリドワンダランドやるんだけど、ま、
[00:05:52.039] リバイバル配信なんぼちゃんこんばんは。
[00:05:54.240] あのリバイバル配信なんつって俺去年、
[00:05:57.880] 去年ってかその昔いつやったのかなって
[00:05:59.919] チャマゲームキ調べたら2021年12月
[00:06:03.199] にあのやってるんすよ。約5年前ですか?
[00:06:06.479] やってるんすけどあの1日で投げてたね。
[00:06:11.389] [笑い]
[00:06:12.520] これ、これもうリバイバル配信じゃないっす。ほぼほぼほぼ初めてです。やるの。
[00:06:17.840] 笑笑[笑い]
[00:06:19.479] ほぼ初めて。ほぼ初めてみたいですね。うん。やった気になってたけど、もうテリワンなんて絶対俺配信でやったよなって思ったけどやってないみたいほぼなので、ま、ほぼリバイバル配信で言いながらまあ、ま、ま、でもこうでもしないとやる機会なかったと思うんで、ちょっとやってきましょう。ということで今回やるのはこちらなんですがね。
[00:06:29.074] [笑い]
[00:06:38.240] バババン。もう白飛びしちゃって見えませ
[00:06:40.240] んけども。こちらでございます。あの
[00:06:43.280] ドラゴンクエストモンスターズテリワなん
[00:06:45.400] だけど、このプレステ版せっかくあの
[00:06:47.759] ポリメが買ったんで、あのプレステ版
[00:06:50.000] ドラゴンクエストモンスターズ12って
[00:06:51.440] やつにカップリングで入ってるテリワ
[00:06:54.160] テリーのワンダーランドフレステ版なんで
[00:06:56.039] ちょっとレアかなっていうことでちょっと
[00:06:57.400] やってこうかなと思いますよ。
[00:07:00.160] 思いますけどもいいすか?ちゅうことでな。ちゅうことでなやっていく。ちょメがちょね堀メがね、テリワン動かんしな。調整。
[00:07:13.039] あ、そう。レトフリのステリワンなんかちょっとおかしいんだよね。そうだから前もできなかったんかもしんないんで。ま、やってくんですけども。調子どっすか?
[00:07:21.680] いや、ポリメがね、あの、理解した。
[00:07:25.360] だいぶ理解しまして、あの後、あの後理解だいぶしまして。理解
[00:07:30.840] ゲーム、ゲームっちゃインストールしましたわ。うん。理解った。コツ掴んだ。コツ掴みまして。ま、あの、
[00:07:40.400] こんちす。
[00:07:41.360] こんちす。邪魔ゲームとペロお疲れ。
[00:07:42.435] [叫び声]
[00:07:46.360] あの、コツ掴みまして、あの後ちょっとね、あの、
[00:07:50.400] 島ムに教えをこうてるのみ、
[00:07:52.260] [笑い]
[00:07:52.599] いろんな人に、そう、人、あの、ちょっと呟いたら、いろんなそのポリメガ界隈の人たちからちょっと色々教えてもらいまして、
[00:07:58.960] やめるね。
[00:07:59.840] ま、色々あの、教えてもらってましてで、ちょっとコツ掴んだんだけど、あの、イジェクトボタンとか、ま、アプリが落ちんのは、ま、しょうがないんだけど、イジェクトボタン効かないのは、あの、電源タップ、電源あるじゃん。
[00:08:14.639] あの電源コンセントをタコ足とかからで取ってると電源供給の圧が電圧が落ちてこいつがポンコツになるらしいんだよね。だからもう壁コンセントにさしたらもう全くそんなことなくなって
