[00:02:02.680] 4日目だし、そろそろすごい飲みたいね。
[00:02:25.840] うい。お疲れ。
[00:03:06.879] 今日も受け流しワンチャン。
[00:04:34.360] はい、どうもこんばんは。はい、という
[00:04:36.280] ことで今日もやってきます。はい、もう
[00:04:37.840] 今日はもうノータイムでもうあの行きます
[00:04:40.120] から。はい。え、しさんこんばんは。え、
[00:04:42.840] 綾こんばんは。え、もこらこんばんは。
[00:04:44.560] はい。やきます。はい。もう今日もうあの
[00:04:46.680] ない。あの
[00:04:49.039] 今日いっす。もう今日はもうない。やない
[00:04:53.199] 。あの、もうね、あの、今日、あの、4日
[00:04:58.120] 目なんですごいの見たいて言ってるけど、
[00:05:00.960] もう今日はもうナイス。あの、初めから
[00:05:04.440] 行きます。[笑い]
[00:05:06.800] 残念ながら。今日は初めから行くんです。
[00:05:17.678] [笑い]
[00:05:20.199] くそがよ。
[00:05:21.759] もう今日はもうしともうチャマで行きます。もうもう最初からだからな。また
[00:05:35.639] ダブル
[00:05:37.280] 全滅したから前回もう飛ばしてこれもうま、あそこまでだったら今日ガチれば戻せんじゃねえかなと思ってるからもうサクサク行くぞ。
[00:05:51.440] もうこういうのいいから。そういうのいいから。
[00:05:58.280] 2
[00:05:58.520] 回目はグリズリー使って。
[00:06:00.199] いや、もうもうもうもうもうもうもうもうそういうのなくなった。縛りとか縛りとかなくなりました。人生縛りだけ。いやさ、全ての歯車が狂った瞬間があったんだよ。
[00:06:05.494] [笑い]
[00:06:19.319] 全てのかるが狂ったんだよ。あの
[00:06:22.759] なんだっけ?
[00:06:25.520] メガンテ食らってさ。メガンテ食らって
[00:06:28.240] モンスター2匹死んだとこなんだよな。あ
[00:06:31.080] 、ゆきさん、こんばんは。最初からだよ。
[00:06:33.659] [笑い]
[00:06:35.759] 最初からです。こっちの方が早い。俺は
[00:06:39.120] そう判断した。俺はそう判断した。
[00:06:44.560] 最初これチュートリアル長いからな。
[00:06:52.039] もえてえって。
[00:06:52.680] 立て直しは時間がかかる。
[00:06:54.599] あそこからね、ちょっと立て直すのはちょっとちょっとちょっと難しいよね。だったらもう最初からボス敵とかまた仲間にし直し出してそっから立て直しした方が早い。そう思った。まだあそこだったらな。まだあそこだったら
[00:07:08.120] 10
