[00:00:29.080] あ。
[00:00:41.760] そ、タゴさ一のタゴさ一さ1
[00:00:46.039] 呪い出たわね。正直諦めかけてました。
[00:01:09.200] お疲れ。
[00:01:37.280] あれ?5分じゃねえ。
[00:01:59.280] 短
[00:02:16.720] 前回からなってた。
[00:02:42.680] 1分くらいでいいのに
[00:02:54.840] よう
[00:03:01.640] あまりにもすぎる。あれ3分になった。
[00:03:05.560] はい橋本
[00:03:07.560] です。こんばんは。おはようございます。
[00:03:11.239] やってきます。はい、どうもこんばんは。え、いこは言んは。
[00:03:17.959] え、りんナんはみちゃんこんばんは。え、もこらこんばんは。
[00:03:22.920] え、綾たこんばんは。ということではい、やってきますよ。ないと思っただろう。
[00:03:28.720] ないと思っただろうが。おい、ないと思っただろうが。俺めっちゃ迷ったよ。今日もういいかなと思ったけど。いや、あのね、違う。あの、聞いてください。
[00:03:39.000] あのドラゴンクエストモンスターズももういいかなと思ったの
[00:03:42.840] 期待してなかったけどあったね。
[00:03:45.040] もういいかなと思ったんだけど昨日ねモラは
[00:03:50.080] 15回連続勝大したことねえな知た
[00:03:52.720] 大したことねえな、ま、見てもらおうか。あ、もう、ま、見てもらえば分かるかな。見てもらえば分かるかな。
[00:04:07.879] あのね、あの
[00:04:11.159] なんかね、あのね、あ、待って、待って。
[00:04:14.720] めちゃめちゃ早い早い早い。早いし音いし
[00:04:16.799] 音も出してないことがバレる。早いし音も
[00:04:20.280] 出てないってどういうことか。ま、そう
[00:04:21.519] いうことなんですけど
[00:04:23.600] 早く音も出なかったな、今な。
[00:04:26.800] 待って。
[00:04:28.560] うんとね、あの、ガス人間を見ながら
[00:04:33.199] レ上げやりすぎたとかそういうわけじゃないよな。
[00:04:36.160] いや、まあ、ま、ちょ、ま、ま、ちょ、見てくれ。
[00:04:40.360] まあ、ちょっと見てくれよ。え、
[00:04:44.960] 裏4ん。
[00:04:47.240] え、えっとね、プレイ時間、
[00:04:50.759] プレイ時間72時間。ちなみに前回
[00:04:54.000] 60時間でした。
[00:04:58.280] プレ時間72時間になってます。12
[00:05:00.680] 時間増えたわ。
[00:05:01.520] バカ。
[00:05:05.800] ああ。いや、もう終わらせに来たから。
[00:05:08.919] 釣りやってんじゃん。
[00:05:10.080] 終わらせに来た。で、ここであの
[00:05:14.120] Netflix
[00:05:15.000] あのガス人間見ながらこうやってやたらそのまま寝落ちして。今寝落ちして寝落ちして
[00:05:22.080] 7時ぐらいに寝ちゃって今です。
[00:05:24.199] 覚悟が違うわ。
[00:05:25.639] え、え、見てください。はい、見てください。ミルドラース
[00:05:33.199] 74レベ攻撃力999。え、最大HP
[00:05:36.880] 999、MP999です。
[00:05:40.680] なんやこの中。
[00:05:41.919] え、ベホマ、ギガデイン、ザオリク、イデ塚、ベオマズン、ギガスラッシュ、自ゴスパーク、ビッグバンです。で、
[00:05:51.400] すぎ。あの、他にも
[00:05:55.639] えっとね、結局あの後
[00:05:59.240] 竜王竜王もちょパーティーにする。竜王も
[00:06:04.280] いるんすよ。竜王もいてえっと
[00:06:07.319] ね。竜王もいて待ってどうだっけ?王もい
[00:06:10.280] て
[00:06:12.360] ロムのとんでもなくて
[00:06:15.800] こんばんはさんこんばんは。
[00:06:17.919] もう昨日さ、あれに勝てなかったんだよ。モンスター
[00:06:21.680] G
[00:06:21.840] さんにムかついたんで、もう今日もそれだけやってくわ。えー、竜王レベル
[00:06:27.840] 99。
[00:06:29.479] レベル99。
[00:06:31.639] やりすぎだろ。
[00:06:32.599] えー、攻撃力
[00:06:34.240] 982、守備力746。
[00:06:36.440] えー、はい、最強です。でね、今んところ竜王と竜王とミルドラスのミルタンク最強なんすけど、え、ここに見てください。
[00:06:46.479] え、後ろに、え、ジャミラスと、え、
[00:06:49.240] ジャミラスとローズバトラー作ってきまし
[00:06:51.440] た。え、こいつとこいつをくっつけること
[00:06:53.080] で指導ができるので、え、これから指導を
[00:06:55.440] 最強に仕立てあげてモンスタージさを殺し
[00:06:57.240] て終わりたいと思います。はい、行きます
[00:06:58.680] 。はい、行きます。
[00:07:02.240] さすがに指導は
[00:07:05.039] 、指導はね、ここで作ろうかなと。
[00:07:07.560] ジャミナス作ったとこで終わったんだな。
[00:07:08.960] でもボれま
[00:07:11.680] 、ま、ワトラはめちゃめちゃ強いんです。
[00:07:14.360] 毎回毎回言ってるけど裏でやんなってい
[00:07:17.039] お前これ裏でやんなきゃ裏でやんなかったらこっから
[00:07:20.120] 4パートぐらい4倍速で4
[00:07:23.160] パートぐらいかかるんだぞ。無理だよこれ。裏でやんねえと無理無理無理。ラさんこんばんは。おわしに来ました。終わらせし物。終わら終わらせし物。
[00:07:34.680] デイスコで垂れ流しでも
[00:07:36.400] やだよ。
[00:07:37.759] おだいぶ揃ってきたね。
[00:07:39.599] もうこれで終わりにするからな。もうこれで終わりにするかな。
[00:07:43.599] ガス人間見ながらやってたんだ。めっちゃ面白かったよ、あれ。
[00:07:46.080] 夢叶金し、
[00:07:47.440] 夢叶えしも
[00:07:49.960] こんばんは。
[00:07:50.599] でもまたでもまたここからだからな。もう飽きたってどうなの?
[00:07:55.159] え、めっちゃ面白かった。めっちゃ面白かった。オグシがある。あれなんだ?主人公なんだ。もうね、もう正味ねよ。もうね、もういい。もう、もう俺も成したくないわ。
[00:08:09.319] もうこの1
[00:08:09.919] 週間ずっとここにこもりっきりだからもういいわ。もう今日でマジで終わりにする。
[00:08:16.720] もうええて、
[00:08:17.440] もうええて。もう無理。ただただ
[00:08:25.680] 新しい景色を
[00:08:27.360] 2026もう無理。
[00:08:29.120] あ、オリハルゴンっていうモンスターね。
[00:08:33.479] オリハルゴンっていうモンスターを
[00:08:35.519] 捕まえることができれば竜王とくっつける
[00:08:38.599] と新竜王っていうのになるらしいんだよな
[00:08:41.640] 。
[00:08:43.159] いやもうでもいい。もうやめよう。もう
[00:08:44.920] 無理。もう無理だよ。もうもう切りない。
[00:08:49.519] 切りないよ。
[00:08:52.160] 見たいなあ。よもやだよ。
[00:08:58.320] ホリハルゴンだってなんだっけな。また
[00:09:00.640] かっけえぞ。また新龍作んだけなんだっけ
[00:09:04.240] ?えっとね、ギガントドラゴンと新龍で
[00:09:08.240] オリハルゴンらしいんだけど
[00:09:11.040] もう良くない?
[00:09:15.000] もういいよ。
