[00:00:55.520] おはちゃまちゃまドンちゃに
[00:00:57.520] ね。
[00:01:27.280] Ohoh
[00:02:56.599] ສ
[00:03:10.720] え、どうもこんばんは。ウイスっすまゲームです。はい、みーちゃんこんばんは。はい、やってきます。やってきますよ。え、ちょっと今日は新しいヘアバンドでやってきますけども。
[00:03:24.120] 切りは暑すぎだろ。
[00:03:26.920] いや、もう最近そんなよ。最近そんな感じなんで。
[00:03:32.760] ほんますっきねんな。リさんもこんばんは。リさんもこんばんは。はい、やっていきます。よろしく。もう前回の続きや
[00:03:39.879] 部屋バンド
[00:03:40.640] やっていきますから。やっていきますから。これ今あのあれだか?あの、あのなんだっけ?村であのドラクエコラボ中なんで皆さん是非ね島村で買えますんで。島村いいぞ。
[00:03:53.879] デートに入り込む真男。
[00:03:57.799] じゃ、やってきますよ。やってきます。もうちょっとサクサク行きたいんで、今日はもう即開始。即開始でよろしい。頼んますわ。つなっちゃねやってきますから。えー、続きね。前回の続きやってきますよ。はい。よし。
[00:04:14.720] 今日0721の日らしい。
[00:04:17.120] 何?0721?何?
[00:04:19.040] 0721
[00:04:19.759] ってちょっと待って。なんかおい、これ。
[00:04:23.199] あ、ん、もうちょっと待って。
[00:04:25.960] 21
[00:04:29.240] ちょっと待って。毎回これさ、なんかさ、ちょっと待って。なんかあ、ちょ、なんなんこれ?ちょっと待ってもう。
[00:04:51.280] ああ、いた、いた。ごめん。はい、
[00:04:54.960] よろしす。0721ってそういうこと?
[00:05:00.360] 0721の日なの?今日?
[00:05:06.039] そうなんや。じゃあもう今日はあれだな。
[00:05:09.160] 今日はもう限界突破して
[00:05:13.240] いつもの2倍ぐらいやっちゃってもいいん
[00:05:15.440] じゃないですかね。はい。やってきねえ。
[00:05:17.800] もうこのコントローラーもだなんかさ、なんなんお前?もうなんなんだよ。
[00:05:33.520] ちゃまだリえん。
[00:05:36.319] いや、だめ。動かねえ。
[00:05:37.360] タイプC偽
[00:05:39.319] な。持ってないんや。タイプCのタイプC
[00:05:41.400] のコントローラー持ってねえんだ。買ってくれよ。じゃあ持ってないんだよ。
[00:05:46.720] タイプCのコントロールやるんだけどさ、
[00:05:48.520] なんかタイプCのコントローラーだとさ、
[00:05:51.039] あれなんだってなんかあのプレステ5の
[00:05:53.919] コントローラーだとさ、なんかマイクの
[00:05:55.319] 設定がなんか音量がそっちに取られちゃっ
[00:05:57.960] てさ、なんか音聞こえなくなっちゃうんだ
[00:05:59.400] よ。ま、やってきますか。はい。ポイーン
[00:06:02.680] 。
[00:06:04.400] はい。よろします。
[00:06:08.680] やってくぞ。
[00:06:11.039] はい。ベロ疲れ。やってくぜ。アーク2
[00:06:14.680] キュア。9ってんのかな?前回アクト
[00:06:20.720] 1
[00:06:20.919] 終わったところで切りよく終わったんだよな。
[00:06:24.880] すっご。
[00:06:25.960] いや、すごいよね。今のちょうどあれじゃない?なんかあれから始まんじゃない?
[00:06:30.599] それでは君の報告をもう一度していく。
[00:06:34.800] ではメタルギア頼むよ。
[00:06:37.199] はい。それでは私が記録した映像を流します。
[00:06:41.599] ちょっともうちょっと音聞しよか。
[00:06:45.479] ギブスンからの連絡を受けた君たちは
[00:06:48.919] M地区の工場後へと直行した。
[00:06:51.479] これ1番最初な。
[00:06:52.240] ギブスンはその工場後地内で何者かに殺害す。
[00:06:56.280] ちょうどいいや。
[00:06:57.000] なんかあらすから検出した猛発皮膚組織により男女
[00:07:02.919] 2名のスナッチャーによる反抗と
[00:07:07.199] 一方ギブスンの調査内容を記録したクロッピーディスクよりスナッチャーの重大な弱点が分かった。
[00:07:14.720] えっと紫戦なスはそれを知ったに逆にスナッチャーに殺されたらしい。
[00:07:22.360] スナッチャーの弱点。つまりそれは本物の人間との相意点にある。
[00:07:28.240] はい。はい。
[00:07:29.319] 彼らの人工皮膚は市者に弱く長時間が当たるとガネタバレ派だ。
[00:07:35.639] 一種の悪生黒色種のようになるのだ。
[00:07:38.680] ネタバレじゃないからそれ。
[00:07:40.560] そのために彼らの行動範囲時間が制約される。
[00:07:45.400] つまり日生時間の短い真冬のしかも夜に限られる。少なくとも彼らの人工費が定着するまで半年はかかる。
[00:07:57.319] うん。
[00:07:59.280] 彼らの弱点
[00:08:00.479] スナッチャーはいっぱい同ってきゃいけない。
[00:08:04.120] 被害線から身を隠す必要がある。
[00:08:07.080] 音でかい。でかいかな?
[00:08:08.520] 技術がある。
[00:08:09.560] 音でかい。
[00:08:10.800] 元サイエンスとしての才能を生かして突き止めたにあるまで
[00:08:15.960] うん。この配信で通ってくれる。
[00:08:17.280] そのために真冬の
[00:08:18.759] このも
[00:08:20.360] 日焼け止めサンスクリーンを塗っていたの。以上のことにより彼らの存続には欠かせない
[00:08:26.879] 1
[00:08:27.039] つの条件が必要となる。それは彼らの願化した人工メンテナンスできうる施設病院である。
[00:08:37.680] なるほどな。そしてギブスンはその
[00:08:39.959] メンテナンスを行っている病院を見つけた
[00:08:42.760] 可能性がある。
[00:08:45.560] ギブスンの足取りを負うべく彼の胃袋内に残っていたクジの肉からクジ料理を唯一食べさせる店アウターヘブンへと調査は進展した。
[00:08:57.000] はい。はい。
[00:09:07.120] 全部全部やってくれるんだよ。ありがたい。
[00:09:10.120] イザベラベルトの証言によりギブスンが追っていたという男のモンジュを作戦。
[00:09:16.720] はい。作りましたね。
[00:09:19.760] 出来上がったモンタージュ写真を本部のマザーコンピューターガウディと称号。モンタージュ該当者イユンロドリゲス。
[00:09:28.720] グレデイの2名が戦に浮かび上がる。
[00:09:33.519] そのうちユワンロドリゲスはその皮膚の焼け具合により白と判定。
[00:09:40.120] 彼の皮膚には白国色は認められなかった。
[00:09:44.800] リギッドスカイの件は麻薬取り締まり特家に引き渡す。
[00:09:48.800] ただの役のバイヤーでしたと。
[00:09:50.519] その後
[00:09:51.160] お
[00:09:51.680] グレディニール家の固操作により大量の日焼け止めを発見。ニール線の妻ニール線がスナッチャーと判明。
[00:10:00.360] 昨日乳たでこれな。ああの間から歴史された細胞は
[00:10:05.800] これbanれないの大丈夫なのかな?
[00:10:08.360] 会館
[00:10:09.440] フレディニール戦同じくスナッチャーと判明
[00:10:12.920] 処理
[00:10:14.000] ギブスンの手に握られていた猛発はフレディのものと
[00:10:17.880] 顔で萎えた
[00:10:18.800] ギブスンはリサとフレディスナッチャーにられたことになる。
[00:10:24.920] 問題はイリアンを助けたこのバウンティハンターランダムハ
[00:10:30.120] ランダムハジルね。
[00:10:31.160] バウンティハンターの登録時に記されている各データは全て嘘のデータで実在しないと分かった。
[00:10:38.800] うん。
[00:10:40.000] 果たして敵か味方か。
[00:10:43.720] バウンティ量の振り込み講座からは
[00:10:47.440] バウンティ王の共通講座。そこから歩されている。手明かりはない。
[00:10:54.680] あ、メタルギアり。お疲れ。
[00:10:58.519] アリルさん。お疲れちゃ。これからが本番だがブスが追ってきたスナッチャーの病院。そこを叩けば奴らのスナッチ進行を食い止められるかもしれん。あるいはカルテらしきもが発見できるはわざわざスナッチを探す。ちゃうわ。スライムのヘアバッカリーはリトルジョンのメモリー。
[00:11:20.399] そうだ。
[00:11:21.399] 運が良ければリトルジョンのメモリーに何か残メモリーな。リトルジョンのメモリーな。
[00:11:29.440] あ、ランディじゃん。ランディも疲れの時のために
[00:11:33.079] 毎日の時ね、それが起こったということか。
[00:11:37.000] スナッチやってるぜ。
[00:11:38.519] 再生できている頃だろ。ウさんのところ行ってみてくれ。それではギリアン、その奴らの病院の操作を始めてくれ。
[00:11:50.279] 今回はそのあれだな、スナツーの皮膚を
[00:11:53.079] 直してる病院を探すというのが目標ですわ
[00:11:56.360] な。じゃ、メモリーをちょっと
[00:11:59.800] また効かなくなってる。もうダメやこれ。
[00:12:02.399] なんやねんこれ。おい、なんこれ?ま、1
[00:12:06.880] 回このコントローラー、ま、もらいなんで
[00:12:09.079] あんまもく言えないんですけど。
[00:12:10.959] もらいもんなんであんま文句言えないん
[00:12:12.399] ですけど。もらいもんだからな。あんま
[00:12:15.480] 文句言えねえんだけどさ。
[00:12:18.560] 2日目見逃したのかな?
[00:12:20.760] そう。昨日やってたよ。昨日やってた。昨日やってたんです、実は。ちょっと待ってな。ま、サクっと通してやっちゃおうよってとこなんで、あの、ま、ほ、本当はこの後にある
[00:12:36.639] SD
[00:12:37.079] スナッチャーのためにやってるとこあるんで、ま、最悪それは。
[00:12:40.360] お前何してたっけ?
[00:12:41.519] 知らないよ。知らないよ。
[00:12:44.480] 何してたん昨日?オ、じゃあちょっと
[00:12:49.399] メカニック室行きますかね。
[00:12:55.800] ちょっと勘弁して。ま、ちょっと
[00:12:57.440] コントローラー変えるわ、さすがに。
[00:12:59.800] さすがにちょっとこれはちょっとひどいわ
[00:13:02.079] 。コントローラー変えるね。なんだよ。
[00:13:05.839] もう
[00:13:08.399] さすがにこんなに接触ちゃん違う配信にい
[00:13:11.560] てたよ。あ、そうなんだ。
[00:13:13.279] 女の配信たんだろ、どうせ。まあでも分かる。俺もどうせ見るなら女の配信見るしな。ま、俺も俺もどうせ配信見るんだったら女の配信見てるからな。
[00:13:25.560] 笑笑
[00:13:26.199] うん。男の配信見てもくれてるみんなの前で言うのは申し訳ないんだけど。みんなの前で言うのは申し訳ないんだけどね。このこの
[00:13:39.079] ガチでつまげ配信気づかんかったわ
[00:13:41.519] ね。これさ、
[00:13:43.760] ちょっと待って。コントローラー問題なん
[00:13:45.720] ですけど、まずなん?おい、
[00:13:49.199] これなん?
[00:13:54.079] うわ、何?マジでもうめんどくせえな。な
[00:13:57.279] 、何なんだよ。ちょっと待ってね。
[00:14:01.839] これ使えねえわ。えー、コントローラーが
[00:14:05.480] 使われへん。コントローラーがない。
[00:14:09.160] 使えるコントローラーがないんですけど。
[00:14:13.600] 配信者の機嫌をねんなよ。
[00:14:15.839] 本当だよ。あまり俺の俺をあまり怒らせるなよ。シールドさんもこんばんは。ごめん。
[00:14:21.079] C
[00:14:21.279] ゼロさんって言ってなかった。こんばんは。
[00:14:24.360] そのかぶり物見て思い出したけどクリーパーの着ぐるみどうなったの?
[00:14:28.279] 何クリーパーの着ぐるみって?てきさんこんばんは。
[00:14:31.000] こん
[00:14:32.320] こんさんもこんばんは。何クリーパーの着ぐるみちょっと待ってもいいや。
[00:14:40.360] こいつ。
[00:14:40.680] 罰ゲーム
[00:14:41.440] 何?バ何何?何?罰ゲームって何の話?何の罰ゲーム?え?なん?何?罰ゲームって?ちょっと待ってくださいね。
[00:14:58.079] マイクラの
[00:15:00.480] 何?マイクラの罰ゲームって?これマジ?マジで?何のことかわかんねけど。
[00:15:06.759] マイクラBチームリーダー。
[00:15:08.399] マイクラBチームリーダー。え、何?罰
[00:15:10.759] ゲームなんかあったっけ?罰ゲームなんか
[00:15:13.240] あったんだっけ?
[00:15:21.959] なんで?なんでこれ使えね?なかったこと
[00:15:25.320] 。え、そんな話ありましたっけ?全然
[00:15:27.839] 分かってないんだけど。
[00:15:32.720] その話なんだっけ?ごめん。全然覚えて
[00:15:35.040] ない。
[00:15:36.800] え、全然覚えてない。え、何?負けた方が
[00:15:38.959] 何?クリーパーの着ぐるみを切るって
[00:15:42.880] そんな話になってたっけ?
[00:15:45.639] ごめん。マジで全然覚えてないわ。もう
[00:15:48.319] ちょっと待ってよ。な、何なの今日?もう
[00:15:50.399] これ
[00:15:58.120] え、なんこれ?え、ちょ、俺忘れ、忘れて
[00:16:00.360] 、え、これ俺って結構まずい。これ忘れ、
[00:16:02.480] 忘れてちゃまずいのかな、これ。
[00:16:05.839] ちょ、K
[00:16:06.199] チャンネルに確認取んないとなんか、え、そんな話になったんだっけって。これでできなかったらもう結無理やな。あ、来た、来た。もうちょ勘弁して。もう
[00:16:18.600] ケと話してたやん。
[00:16:20.000] お、してたっけ?
[00:16:20.839] 来たかい。ギリ
[00:16:21.720] ないや。
[00:16:22.720] リトルジョンのメモリーチップの再生ができたぞ。
[00:16:25.480] お、来た。
[00:16:25.920] で、何か映っていたのか?
[00:16:28.279] 覚えてないし。
[00:16:29.199] 覚えてない。今から再生する。モニターを見る
[00:16:33.240] じゃなかったのか。
[00:16:34.079] メモリーはほとんど修復不可能な方に破壊されておった。
[00:16:38.560] 勝ち負けとかじゃないじゃ。もなかなかやりおるわ。
[00:16:41.880] というとも勝ち負けとかじゃないから。
[00:16:43.639] 残ってなかったのか。
[00:16:44.839] みんな仲間だから。
[00:16:45.759] ああ、待て。
[00:16:46.800] そう焦るな。こで
[00:16:48.680] ワだけ。
[00:16:49.639] はい。ということでこの話終わり。
[00:16:51.800] 映像だけだがどういうことを意味しとるのかわにはわからん。
[00:16:58.880] しかしジャンが体験した一部であることは確かじゃ。いいか。
[00:17:03.959] これがそうじゃ。これがなんだか分かるかね。
[00:17:09.480] ホスピタルオリン。
[00:17:10.799] ホスピタルオリン。オリン病院。オリン病院。これが義スンが探し当てた病院だろうか。スナッチャーラが選拠しているという。
[00:17:24.039] ガウディで調べてみるといい。じゃが正規の病院でない場合データは当てにはできんぞ。
[00:17:32.080] このネオベシティには闇の病院は
[00:17:35.559] 5万とあるからの。
[00:17:37.320] もしかしてこの際は満していてオリーンの続きがあるのかもしれないな。
[00:17:44.480] 画像を取り込みました。でも見られます。コマンドは持ち物の中の映像メモリーにあります。
[00:17:52.400] このオリン病院。まあもうもうダめやこれ。コントローラー。
[00:17:59.440] もうちょコントローラーちょ変えたいんだ
[00:18:02.080] けど。変えたいんだけどないんですよね、
[00:18:05.559] コントローラー。
[00:18:08.360] ちょっとこれはそ
[00:18:37.559] 元今泉のセブンのニュース見た?
[00:18:39.880] 見てない。何それ?
[00:18:42.799] 何のニュース?
[00:18:47.600] 元今泉のセブン
[00:18:54.520] ちょっとこれまずいよ。全ちょっと
[00:18:57.000] コントローラーの調子バカ悪い。マジで
[00:19:04.240] も頼むよ。
[00:19:10.200] あ、違う。これじゃない。これじゃない。何?セブンのニュースって
[00:19:16.080] 逆と揉めて脅迫。
[00:19:17.679] 何それ?何それ?え、映像メモリー。え、リトロのメモリー残す映像です。はい。はい。はい。これ調べることはできないの?ホスタルオリンって読めます。え、病院のネオンサインでしょう。うーん。
[00:19:44.679] 自分の気持ち。おいさん、俺ジャンカやっ
[00:19:47.640] てきるかな?局長しの目には間違っておら
[00:19:50.919] ん。あんたなら来てやられるさ。
[00:19:55.320] 俺は怖くなる。いつか本当の人間を間違っ
[00:19:57.679] て殺してしまうんじゃないかって。お前
[00:19:59.640] さんに本当の人間は殺せんよ。優しいから
[00:20:01.919] の。それよりその優しさが命のになるかも
[00:20:04.640] しれん。うん。全然事件のことはちょっと
[00:20:08.760] 事件のことはちょっと何の話もないんだな
[00:20:10.720] 。
[00:20:13.400] あ、違う違う違う。間違えた。
[00:20:16.919] ああ、これキャンセルできないんかい、
[00:20:18.760] これ。
[00:20:21.080] ハリーはガウディで調べろとか言った。あ
[00:20:22.559] 、はい。
[00:20:25.720] ナポレオンでナポレオンに聞いてみろ。さ
[00:20:28.919] な電話してみるか。
[00:20:35.840] ナポレオン何番でしたっけ?
[00:20:38.520] 395644オッケー。
[00:20:56.159] なんだあんたがいい情報かい?そうだ。力
[00:20:58.400] がかかりたい。その間に暗号と行こうか。
[00:21:00.320] だる革命は終わったな。
[00:21:14.120] ナポレオン顔じゃなさすぎる。
[00:21:18.400] 化けモみたいな顔してるからな。で、ものんとこで落ちちゃいますかね。
[00:21:44.240] え、なんか、あの、今になってちょっと
[00:21:48.240] あれなんだけどさ、え、そのマイクラ、
[00:21:50.440] ごめ、話超戻るけど。え、マイクラの罰
[00:21:52.960] ゲームってなんか結構そんな代々的に
[00:21:54.600] なんかやる流れなっけ?俺全然覚えてない
[00:21:57.520] んだけどさ。そのやんないのまずい。
[00:22:02.520] やんないのまずいかな?
[00:22:05.279] やんないの?まずい。まずいんかな?
[00:22:11.720] あ、もうおりますやん。あれやろ、絶対。
[00:22:15.480] サンタがいますやん。
[00:22:24.960] スカリークリスマスムードですね。サンタクロースがいますよ。怪しいな。サンタクロースの格好したサンドイッチマンがティッシュを食わっています。
[00:22:35.880] あ、冬が濃いしい。
[00:22:38.520] マジで暑すぎるもんな。ん?アロサンドイッチマン。え?どうかしましたか?いや、気のせいかな?調べてみますか?
[00:22:47.440] なんか今怪しい音したよ。
[00:22:50.039] よし、あのサンタクロースを調べてみよう。
[00:22:52.919] あ、お前は今行きたい。
[00:22:56.200] よくわかったな。
[00:22:57.600] 川遊びしてよな。
[00:22:59.039] なんだその格好は。
[00:23:01.039] なんだじゃねえ。よい仕事もう降りるぜ。誰かに狙われているような。
[00:23:09.000] ナポレオンや。本当にナポレオンか。
[00:23:11.960] リブスンの旦那みたいに殺される。
[00:23:17.720] なんか子供の頃遊び行った川ってあれどこ
[00:23:20.360] だったんだろうな。なんかあのなんか
[00:23:23.080] ちょうど膝ぐらいしかない浅い川に遊び
[00:23:25.880] 行ったやん。遊び行ったやんて全員共通の
[00:23:28.840] 記憶みたい話けどあの川どこだったん
[00:23:31.559] だろうな。
[00:23:33.039] あの、なんか床が全部ツルツルの石でさ、なんかゴツゴツしてなくて、もう子供が
[00:23:40.559] 子供が遊ぶためだけの皮あったや。は
[00:23:42.840] 言ってるよ。行った。
[00:23:44.240] なんか言ったよな。なんか行った記憶ない。なんか、なんか地面があのオレンジ色の岩みたいな感じになっててさ、
[00:23:50.600] 1
