[00:00:11.559] Да
[00:00:43.320] ສเฮ
[00:02:12.959] あ
[00:03:31.159] あ。
[00:04:59.160] はい、やってきます。
[00:05:27.880] ウース
[00:05:29.560] うい
[00:05:30.880] すねないですね。まあそういうこともあるよね。
[00:05:41.240] やってきますか?
[00:06:00.000] きっこ5kgっこ
[00:06:02.039] 5kg。
[00:06:03.720] これどんくらい噛んだろうな。もうクリアできんのかな?どうだろうね。
[00:06:09.120] ちょっとあんまりね、あの、あんまりあのね、
[00:06:13.800] 何これ?
[00:06:14.680] 長いとさ、
[00:06:15.880] でも好きなの?
[00:06:16.720] でも好きなの?新しいチャンネルポイントだけど、俺がゲームに対してめちゃくちゃ
[00:06:25.919] でも好きな
[00:06:26.720] 文句を言いまくった後にそれをやってもらうっていう。そうするとなんかちょっと柔らぐっていうな、このゲーム。クソゲー。
[00:06:37.759] って言って
[00:06:40.960] 僕誰?
[00:06:42.039] え、これね、これはなんかあの誰とかじゃない。知らない。知らない。あ、なんつうか、そのネットでミームであるのよね。そのこのこの声ネットミームっていうかなんて言うんだろうね。なんかニコニコのネタに
[00:06:52.360] あるのよ。
[00:06:53.280] ありさんお疲れ。ちょっと久々になっちゃいましたけどやってきますよ。やってきますよ。もうついに開始
[00:07:00.639] 5
[00:07:00.840] 分誰も来なくなっちゃった。受けが悪すぎるだろ、このゲーム。
[00:07:07.599] はあ。
[00:07:08.319] 笑笑。
[00:07:10.400] なんかさ、俺前も思ったんだけどさ、前も思ったんだけどさ、あれなんだよ。ヴンパイアキラーのメガドライブの俺あれ、あれも
[00:07:21.759] 8
[00:07:22.080] 万ぐらいしたんだけどゲームね。高けゲームやると人全然来れんだよな。
[00:07:27.080] パーカーの色当てクイズしてたやつらどこ行った?
[00:07:29.919] 本当だ。許せねえよ、あいつらな。あいつら許せねえよな。
[00:07:34.039] マジでもうよなしですか?そうですか。もうよなしですか?ゲームやるか。
[00:07:44.080] 安いゲームなんかあのもう高いゲーム買うのやめようかな。違う。あのこれで俺が本当にやりたいゲームとちょっと受けを狙うゲームってやっぱやっぱちゃうよね。買があるよね。その辺ね。キングヌーモってたわ。
[00:08:00.199] キングヌーも売れたいために自分たちのやりたい音楽を封印したって言ってた。そういうことなんだろうな。そういうことなんだと思う。うん。売れるためにはなんか俺も
[00:08:12.080] Apex
[00:08:12.599] とかやった方がいいんかもしれない。
[00:08:16.759] 最近俺キングヌーのあの新しい曲めっちゃ聞いてるわ。あの広角起動体の広角起動のあのオープニングあの曲良すぎな。あの曲良すぎ。これ開けねえんか?ここ開かねえわ。
[00:08:30.280] 今日ここクリアてか今日ちょっと長めにやろうと思ってるから
[00:08:34.120] 始めたら足のきそう
[00:08:36.519] 逆にね逆にね。
[00:08:38.719] うい。お疲れ。
[00:08:40.000] お疲れちゃん。やってきますよ。やってきます。やってきます。はい。はい。もう受けが悪いですから。さっさとこれクリアしましょう。はい。もうさっさとクリアしましょうね。ま、確かにテ舗悪いからね。このロードとかね。ロードあったりのセーブが消えたりとかさ。確かに確かに
[00:08:57.279] 店舗悪いんで分かります。
[00:08:59.200] でも好きなの?
[00:09:00.600] ちゃまさん、こんばんは。
[00:09:01.880] でも好きなの?このゲーム。むいちゃんこんばんは。むいちゃんもこんばんは。やってきますよ。
[00:09:08.480] SDスナッチ。
[00:09:10.360] 9万円分の
[00:09:12.360] 9
[00:09:12.680] 万円分のあれはあれしてくんないと困るよ。
[00:09:14.880] え、なんすか?
[00:09:15.959] え、なんすか?本当にまあいいんだ。
[00:09:20.800] でも好きなの?
[00:09:25.120] 人が来なくてもいい。俺はこのゲームやりてんだ。
[00:09:29.680] 俺はこのゲームやりてえ。あ、ロソ消し
[00:09:32.360] てかなきゃいけねえんだよな。確かな。
[00:09:33.839] ロソを消してかなきゃいけないんだよ。あ
[00:09:36.480] 、あれ?あ、1回消えたとこ消えてくれて
[00:09:39.959] んじゃん。あ、ありがてえ。なんだ。
[00:09:43.000] あ、やだ。もうちょ、戦闘ぶっちゃけもう
[00:09:45.600] いいつわ。あの、皆さん覚えてないかも
[00:09:48.200] しれないですけど、僕、あの、裏でまた
[00:09:49.279] レベル上げました。これレベル3ぐらい。
[00:09:52.320] 3ぐらいレベル上げたのと、あとお金も見
[00:09:54.519] て2万8000貯まってるから、もう今日
[00:09:57.160] ガツで行きますよ。次武器買ってきても
[00:10:00.160] よかったかもな。武器買ってきてもよかっ
[00:10:02.560] たかもな。武器買ってこうかな。新しい
[00:10:05.200] 武器どうしよっかな。
[00:10:08.160] ただここクリアしちゃいたいんだよね。
[00:10:09.880] もうね、めんどくさいんだよね。ここ敵多
[00:10:12.120] すぎて
[00:10:15.000] このダンジョンに入るまでに敵が多すぎる
[00:10:19.079] のよ。街中に敵が多すぎてまたその本部に
[00:10:22.200] 戻れないっていう。なんでちょっともう
[00:10:23.680] ここクリアしちゃいましょう。
[00:10:27.560] ルルルルルルルルルルルルルルルルルルルルル
[00:10:34.519] ロソ消して回りますよ。
[00:10:39.120] 今日ちょっと長めにやってちょっとわかん
[00:10:40.839] ない。くりドン。これさ、ちょマジでこの
[00:10:43.000] ゲーム
[00:10:44.839] ネットに情報がなさすぎて今俺この
[00:10:47.560] ゲームどんだけ敵んだよ。バカじゃねえの
[00:10:51.800] 。おかしいだろこれ。もう間違えて戻っ
[00:10:54.440] ちゃった。びっくりして。笑笑。
[00:10:57.040] おかしいって。敵の置き方。シンボルエンカウントの敵の湧き方じゃねえよ。俺もうここないやろ。多分
[00:11:07.880] 人海戦術プ中けや。
[00:11:10.399] ギチギチだったよ、今。やだ、やだ、やだ。ここだるいからやだ。お前と戦いたくないね。よしよし。
[00:11:17.079] でも好きなん。
[00:11:18.839] ま、でも好き。ま、でも好きなんだけど。うん。りさんこんばんは。りさんじゃ間違った。ごめん。シさん、こんばんは。
[00:11:26.480] やってくよ。もうちょっとこのゲーム、今
[00:11:28.440] 俺が何パーセン攻略してるのかマジで
[00:11:30.680] 分からないんだよね。どんくらいなんです
[00:11:32.920] かね?これも半分以上来てんのかな?ただ
[00:11:35.680] まだディスク2なんだよな。おそらく
[00:11:38.320] ディスク3まであるってことはディスク3
[00:11:40.839] で最終勝みたいな感じなんかな。あ、
[00:11:43.480] 捕まっちゃった。
[00:11:46.959] 逃げます。
[00:11:52.800] これどうやって行くんだったかな?ここか
[00:11:55.720] 。
[00:11:57.279] やだよ。やだ。もう勝って戦うよ。お金
[00:12:01.560] 結構純宅だから武器買ってもいいな。
[00:12:06.040] マッドマキシマムもあります。
[00:12:12.920] ちょっとすいませんね。あの昨日昨いと
[00:12:15.360] 配信ができなくて昨日家帰ってきたら11
[00:12:17.920] 時だからさ。ふざけんなよ。てどんだけ
[00:12:21.760] ブラック企業やね。もう
[00:12:24.480] 飯11時に飯食って帰ってきて飯食ったら
[00:12:28.680] そのまんまあのソファーで寝ちゃった。お
[00:12:30.800] 風呂お風呂も入ってなかったで起きて風呂
[00:12:33.880] 入って
[00:12:38.399] もそんな会社だ。
[00:12:40.040] いやいやいやいやいやいやそれはない。
[00:12:41.519] それはない。それはない。それはない。
[00:12:44.160] それはない。
[00:12:48.440] でも好きなのにはならんよ。でも好きなのにはならん。それはま、俺今年なんか給料
[00:12:57.639] 2万上がったけど昇給してなんか給料
[00:13:01.040] 2
[00:13:01.199] 万上がったけどね。ちょっと好きかも。ちょっと好きかもな。
[00:13:05.519] ええやん。
[00:13:06.199] うん。なんか、なんかしんねえけど2
[00:13:07.800] 万も上がった今年認められたっちゅうことかもしれねえな。
[00:13:13.560] 日々の日々の俺の
[00:13:15.800] 努力が何がいい何がいいことやね。貴様らに還元するつもりは猛ないよ。このこの
[00:13:23.360] 2万は俺のだ。
[00:13:33.279] 焼肉行こう。
[00:13:36.600] いや、いいけど。俺は次焼肉行くとしたら
[00:13:39.199] まだ声優さんの家に行って俺は俺財布持っ
[00:13:41.839] てかないからね。俺知らないよみんなの
